staging_id,legacy_record_id,document_no,document_date,project_id,project_name,partner_id,partner_name,amount_total,classification,target_model,action
7045,c5249c1b80e94835a75461f04711bbc9,FK-202311131444,2023-11-10,33,崴和路一标段,335,四川建设发展股份有限公司,-728125.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1337,26951c17f6094ecf8ffdb75af0af5c12,FKD-20231116-002,2023-11-16,27,高地搅拌站,482,德阳市海森物资有限公司,-41013.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
5183,9332b5443d814aeca6ca4863d1cf3331,FKD-20231124-003,2023-11-24,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,303,四川乾径交通工程有限公司,-11670.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
8225,e609d572f3a043f98e769be3b166330d,FKD-20231207-001,2023-12-06,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,174,中江能鑫建材有限公司,-129200.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1731,31bdfab791044e0189bfa07aa1ad4f7d,FKD-20231220-001,2023-12-20,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,34,绵阳市安州区桑枣豪熙百货销售有限责任公司,-24603.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1008,1cc6deffe6bf4aea80a6c4e84f7c4fc2,FKD-20240821-021,2023-12-31,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,44,德阳亚东水泥销售有限责任公司,-1680.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
552,0f73eaf80c9b49baae70f62b45311c9c,FKD-20240108-002,2024-01-08,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,34,绵阳市安州区桑枣豪熙百货销售有限责任公司,-49371.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2791,4f4937a455594545ba4d303a4ef8f6d7,FKD-20240204-017,2024-01-09,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,423,工资,-2185.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2784,4ef33dbdde6f480795bb6da9ba6bb74d,FKD-20240124-001,2024-01-24,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,58,成都揽星照明工程有限公司,-8000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4321,7ac2edbbaae6457ba16a8514b54525cd,FKD-20240125-001,2024-01-25,14,崴和路滑坡整治工程,297,四川三和源招标代理有限公司,-9415.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
7849,daf2e6930fcb4026b9240eb293e53e2d,FKD-20240130-002,2024-01-30,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,344,四川旌宸项目管理有限公司,-29224.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
5677,a05b5801434549d5998375e1516cc434,FKD-20240204-011,2024-02-01,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,69,挂靠单位,-7935.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
600,10bbbb07687c475ca14906ed206a1c6f,FKD-20240207-002,2024-02-04,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,17,代付工资,-9000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2960,53bb24243bcc41beabd482f8b768ab4e,FKD-20240207-003,2024-02-04,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,17,代付工资,-24600.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2165,3e3dafe6d0df4e83be341e1c2bbc2266,FKD-20240207-016,2024-02-05,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,17,代付工资,-75200.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6710,bc493c6d55df47a49336cb09f685dbfd,FKD-20240205-008,2024-02-05,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,312,四川利龙建筑工程有限公司,-1000000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3381,5f7b00add1ed443eaef55b945d3a237f,FKD-20240207-001,2024-02-07,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,269,临时水电组,-12558.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4433,7dba4564f65641069f01c43499928b6f,FKD-20240208-005,2024-02-07,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,423,工资,-7910.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6197,ae72ab03b78b478683f4c730b1eebc65,FKD-20240226-006,2024-02-08,45,SCBS未指定项目 - 四川宏政嘉斯建筑工程有限公司,268,中铁二十四局集团西南建设有限公司,-500000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
7741,d83e30e465184b4a9f548f7a45eff18d,FKD-20240410-006,2024-04-10,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,222,德阳建投建材有限公司,-40000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2543,48839e9e014b41fb97412e7658eea0cf,FK-202404181020,2024-04-15,18,烈士陵园装修项目,265,中江县凯江镇王师白铁经营部,-4975.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2116,3cfd5195e9e64728a34982fa3cb85b25,FKD-20240417-005,2024-04-17,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,553,成都市劳瑞斯移动板房有限公司,-4428.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4384,7c994a5207284429b69ac7e8481bfcf4,FK-202404221425,2024-04-22,18,烈士陵园装修项目,11,赵伟,-1012.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4589,8255d29b7f9a4002a2b623c9d6e391f0,FK-202404301644,2024-04-30,1,旌阳区供水项目——柏隆净水厂,429,徐州大有灌排设备有限公司,-9856.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6051,aa8c8cdf06cc4db59b25e68409647678,FK-202405221927,2024-05-20,13,玉山街道路工程,222,德阳建投建材有限公司,-54346.51,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1308,25aa05887cab4146a6b37ae6358be036,FKD-20240527-001,2024-05-23,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,15,税费,-5809.43,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2895,52109915fadb47bc803e23af59af76cf,FKD-20240611-016,2024-06-11,1,旌阳区供水项目——柏隆净水厂,17,代付工资,-5600.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4177,76efff4f466c4e039b6582fe8be5e2fd,FKD-20240611-014,2024-06-11,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,17,代付工资,-5776.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1263,24780fd9e1d447219b221825b53451c9,FKD-20240618-004,2024-06-18,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,455,德阳市区百润油漆店,-10765.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1579,2d15a25f05d84a09b521e2a7ae374977,FK-202407151411,2024-07-11,9,2024高标准农田建设项目-龙泉村,23,四川祥坤新材料有限公司,-200000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3711,68f4086dbe4a46d5afc6a95f46e8ce8c,FKD-20240715-002,2024-07-15,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,307,四川住杰建设工程有限公司,-12120.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3290,5d00b16b320b45c4abecac82c136277f,FKD-20240723-001,2024-07-23,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,222,德阳建投建材有限公司,-60000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4236,7881393815854cd1a2ffbf65375f4e3b,FKD-20240821-029,2024-08-21,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,173,中国第二重型机械集团(德阳)万安物业发展有限公司,-1000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4872,8ac121783bae44c3b9f664530e267e20,FKD-20240823-001,2024-08-23,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,173,中国第二重型机械集团(德阳)万安物业发展有限公司,-1000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
261,07b6e8cc70104e7b9492381a87968e9c,FKD-20240906-002,2024-09-06,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,223,德阳泰诚硕商贸有限公司,-1000000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
5209,93c46f9d9e984f8d91cca35ca9485126,FK-202409111602,2024-09-10,10,龙泉山路二段(赣江路-信江路),46,四川旌运康钢材商贸有限责任公司,-11076.45,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3463,61e7583a53a94396952cd635fcd82085,FK-202409191608,2024-09-18,10,龙泉山路二段(赣江路-信江路),332,四川展塑科技有限公司,-50000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
5624,9eb95b2b71bb49cc99a281e72780fb53,FKD-20240924-002,2024-09-24,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,121,四川世旺鑫润商贸有限公司,-50000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6681,bb3326afbbda4c1aa1a664160f5ebe4b,FK-202409261137,2024-09-24,10,龙泉山路二段(赣江路-信江路),332,四川展塑科技有限公司,-100000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6954,c29b800f192f42d1a0d1a57eada20bb7,FK-202409291028,2024-09-26,10,龙泉山路二段(赣江路-信江路),332,四川展塑科技有限公司,-31527.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1623,2e7daefd6aea410bac52486248028c05,FK-202409291020,2024-09-27,10,龙泉山路二段(赣江路-信江路),518,德阳正弘金属材料有限公司,-80000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
466,0d4acf1d750f4d10b7101633fddad374,FK-202410161133,2024-10-16,23,寿崴路,335,四川建设发展股份有限公司,-505824.67,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1120,201f506013954ec58e79fd98a7d7985f,FK-202410161247,2024-10-16,29,崴和路二标段,335,四川建设发展股份有限公司,-481142.05,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
8912,f9aa6dccacce480287d02fd725c387bd,FK-202410161216,2024-10-16,33,崴和路一标段,335,四川建设发展股份有限公司,-640902.46,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6750,bd7c9b8a145f4c6cba5f67b546ab682b,FKD-20241017-001,2024-10-17,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,17,代付工资,-9000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
283,0853be0b0dd844c4852e471617bf61ab,FKD-20241021-002,2024-10-21,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,121,四川世旺鑫润商贸有限公司,-300000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6450,b4801fcabd4948fc8fc89173afecf023,FKD-20241024-002,2024-10-24,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,223,德阳泰诚硕商贸有限公司,-250000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1430,29396a5df9f9477fbab53a903c9c32ea,FKD-20241101-002,2024-11-01,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,121,四川世旺鑫润商贸有限公司,-300000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2774,4ec5afe3e6ec4d94a6b62276e0cb5678,FKD-20241106-002,2024-11-06,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,377,四川翔驰恒瑞商贸有限公司,-200000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6972,c30da85f3eea4fdb829615cd62158bad,FKD-20241125-002,2024-11-25,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,462,德阳市博众建材销售有限公司,-300000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1701,30d2c7748d2e42638207c6036f451215,FKD-20241206-001,2024-12-06,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,83,四川福泽蓉新材料有限公司,-180404.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3679,6811277470dd4987b9ad5049a474821a,FKD-20241211-005,2024-12-11,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,223,德阳泰诚硕商贸有限公司,-600000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
7706,d70326094b2b4806b94153684ae52300,FKD-20241211-004,2024-12-11,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,121,四川世旺鑫润商贸有限公司,-1450000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
7894,dc7cb847d78b4d8e97abcb2300c9c9a0,FK-202412191412,2024-12-18,2,高新产业园配套项目（包2）,400,四川鑫裕康商贸有限公司,-50000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3811,6bba0f64e5ec4e07b2ddb9a02f6f69f9,FK-202412241851,2024-12-24,4,三星堆环线基础设施改造,409,四汇建设集团有限公司,-134394.15,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4362,7befc8bcadc44189a83bc61068f7dab8,FK-202412241851,2024-12-24,4,三星堆环线基础设施改造,409,四汇建设集团有限公司,-1119951.25,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
797,1687e51a726448a6b547c8d5434d11e1,FKD-20241225-002,2024-12-25,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,223,德阳泰诚硕商贸有限公司,-30000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
406,0b86d15f6c5646259c494ecc0f276de1,FKD-20241227-007,2024-12-27,52,SCBS未指定项目 - 四川宏川建筑劳务有限公司,78,四川宏川建筑劳务有限公司(民生）,-50000.0,account_or_internal_adjustment,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
