staging_id,legacy_record_id,document_no,project_id,project_name,header_amount,line_rows,line_amount,target_model,action,reason
11264,c247e10686a743d0b0fa2819fa0a01cf,RKD-20230706-006,811,三星堆环线基础设施改造,3780.0,1,3780.0,sc.material.inbound,create_material_inbound,
11042,78f50ddadf474046aa57e5dc765ca063,RKD-20231011-026,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,54230.0,6,54230.0,sc.material.inbound,create_material_inbound,
11268,c5521e889b2f4204a2f36d0c21a283f4,RKD-20231011-027,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,46835.0,3,46835.0,sc.material.inbound,create_material_inbound,
11425,ffc28a31ece04c0d86552af52726f497,RKD-20230921-001,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,20524.0,3,20524.0,sc.material.inbound,create_material_inbound,
10832,2abb959f5acc4741a01677a19993a4b0,RKD-20231011-028,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,9000.0,1,9000.0,sc.material.inbound,create_material_inbound,
10872,3bf4122f0dc74dd1ae92d37742043457,RKD-20230921-002,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,27382.0,2,27382.0,sc.material.inbound,create_material_inbound,
10920,4f346eb00f994d3ca90eec5955eccc5e,RKD-20230922-018,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,63720.0,2,63720.0,sc.material.inbound,create_material_inbound,
10950,5703c77f7b5040efb9a1101875a8b577,RKD-20230922-019,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,378072.0,2,378072.0,sc.material.inbound,create_material_inbound,
10731,0397f14943194c2cafe5d9bec07a1b47,RKD-20230925-008,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,99805.0,1,99805.0,sc.material.inbound,create_material_inbound,
10802,2005a02e81b240fb991c5c5fd5cd0421,RKD-20230925-042,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,74786.2,1,74786.2,sc.material.inbound,create_material_inbound,
11312,d4c66c27701946ebacc68eba06771291,RKD-20230605-003,823,面粉厂等小区改造项目,11951.0,2,11951.0,sc.material.inbound,create_material_inbound,
11396,f630c7af63e2430ba344054666d3c24b,RKD-20230612-001,823,面粉厂等小区改造项目,64010.0,1,64010.0,sc.material.inbound,create_material_inbound,
11126,96019dca10dc4d7eb91b72611c5f17ef,RKD-20230922-042,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,2650.0,2,2650.0,sc.material.inbound,create_material_inbound,
11267,c52eec0191c74071bdbdd4493ac891ef,RKD-20230727-004,811,三星堆环线基础设施改造,17117.92,2,17117.92,sc.material.inbound,create_material_inbound,
11116,937b1b7590d3495483e01ef2a70d91a9,RKD-20230921-007,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,390530.0,4,390530.0,sc.material.inbound,create_material_inbound,
10884,41d2eeb315e24ab6bfa66fe895aa8cad,RKD-20230925-024,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,95617.0,1,95617.0,sc.material.inbound,create_material_inbound,
