role,action_xmlid,action_name,res_model,view_mode,has_groups,groups_xmlids,visible
demo_cost,digest.digest_digest_action,Digest Emails,digest.digest,"tree,form",1,smart_construction_core.group_sc_super_admin,0
demo_cost,digest.digest_tip_action,Digest Tips,digest.tip,"tree,form",1,smart_construction_core.group_sc_super_admin,0
demo_cost,payment.action_payment_provider,Payment Providers,payment.provider,"kanban,tree,form",0,,1
demo_cost,payment.action_payment_method,Payment Methods,payment.method,"tree,kanban,form",0,,1
demo_cost,account.action_account_payments,Customer Payments,account.payment,"tree,kanban,form,graph,activity",0,,1
demo_cost,account.action_account_payments_payable,Vendor Payments,account.payment,"tree,kanban,form,graph,activity",0,,1
demo_cost,account.action_move_out_invoice_type,Invoices,account.move,"tree,kanban,form,activity",0,,1
demo_cost,account.action_move_out_refund_type,Credit Notes,account.move,"tree,kanban,form,activity",0,,1
demo_cost,account.action_move_in_invoice_type,Bills,account.move,"tree,kanban,form,activity",0,,1
demo_cost,account.action_move_in_refund_type,Refunds,account.move,"tree,kanban,form,activity",0,,1
demo_cost,account.action_account_journal_form,Journals,account.journal,"tree,kanban,form",1,smart_construction_core.group_sc_cap_finance_manager,0
demo_cost,account.action_account_journal_group_list,Journal Groups,account.journal.group,"tree,form",1,smart_construction_core.group_sc_cap_finance_manager,0
demo_cost,account.action_tax_form,Taxes,account.tax,"tree,kanban,form",0,,1
demo_cost,account.action_payment_term_form,Payment Terms,account.payment.term,"tree,kanban,form",0,,1
demo_cost,account.action_account_supplier_accounts,Bank Accounts,res.partner.bank,"tree,form",0,,1
demo_cost,account.product_product_action_sellable,Products,product.template,"kanban,tree,form,activity",0,,1
demo_cost,account.product_product_action_purchasable,Products,product.template,"kanban,tree,form,activity",0,,1
demo_cost,account.action_account_invoice_report_all,Invoices Analysis,account.invoice.report,"graph,pivot",0,,1
demo_cost,account.action_account_config,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_cost,account.action_account_fiscal_position_form,Fiscal Positions,account.fiscal.position,"tree,kanban,form",0,,1
demo_cost,account.res_partner_action_customer,Customers,res.partner,"kanban,tree,form",0,,1
demo_cost,account.res_partner_action_supplier,Vendors,res.partner,"kanban,tree,form",0,,1
demo_cost,account.action_incoterms_tree,Incoterms,account.incoterms,"tree,form",1,smart_construction_core.group_sc_cap_finance_manager,0
demo_cost,project.project_share_wizard_action,Share Project,project.share.wizard,form,1,smart_construction_core.group_sc_super_admin;base.group_system,0
demo_cost,project.action_send_mail_project_project,Send Email,mail.compose.message,form,1,smart_construction_core.group_sc_super_admin;base.group_system,0
demo_cost,project.open_view_project_all,Projects,project.project,"kanban,tree,form",1,smart_construction_core.group_sc_cap_project_read,1
demo_cost,project.open_view_project_all_config,Projects,project.project,"tree,kanban,form",0,,1
demo_cost,project.action_view_all_task,All Tasks,project.task,"tree,kanban,form,calendar,pivot,graph,activity",0,,1
demo_cost,project.project_tags_action,Tags,project.tags,"tree,form",0,,1
demo_cost,project.project_config_settings_action,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_cost,project.mail_activity_plan_action_config_project_task_plan,Activity Plans,mail.activity.plan,"tree,form",0,,1
demo_cost,project.mail_activity_type_action_config_project_types,Activity Types,mail.activity.type,"tree,form",0,,1
demo_cost,project.action_project_task_user_tree,Tasks Analysis,report.project.task.user,"graph,pivot",0,,1
demo_cost,spreadsheet_dashboard.spreadsheet_dashboard_action_configuration_dashboards,Dashboards,spreadsheet.dashboard.group,"tree,form",0,,1
demo_cost,stock.action_stock_scrap,Scrap Orders,stock.scrap,"tree,form,kanban,pivot,graph",0,,1
demo_cost,stock.action_warehouse_form,Warehouses,stock.warehouse,"tree,form",0,,1
demo_cost,stock.stock_move_line_action,Moves History,stock.move.line,"tree,kanban,pivot,form",0,,1
demo_cost,stock.action_picking_tree_incoming,Receipts,stock.picking,"tree,kanban,form,calendar,activity",1,stock.group_stock_user,0
demo_cost,stock.action_picking_tree_outgoing,Deliveries,stock.picking,"tree,kanban,form,calendar,activity",1,stock.group_stock_user,0
demo_cost,stock.action_picking_type_list,Operations Types,stock.picking.type,"tree,form",0,,1
demo_cost,stock.stock_picking_type_action,Inventory Overview,stock.picking.type,"kanban,form",0,,1
demo_cost,stock.stock_move_action,Move Analysis,stock.move,"tree,form",0,,1
demo_cost,stock.action_product_stock_view,Stock,product.product,"tree,form",0,,1
demo_cost,stock.product_template_action_product,Products,product.template,"kanban,tree,form",0,,1
demo_cost,stock.action_orderpoint,Reordering Rules,stock.warehouse.orderpoint,"tree,kanban,form",0,,1
demo_cost,stock.action_stock_config_settings,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_cost,project_sms.project_project_act_window_sms_composer,Send SMS Text Message,sms.composer,form,1,smart_construction_core.group_sc_super_admin;base.group_system,0
demo_cost,purchase.product_normal_action_puchased,Products,product.template,"kanban,tree,form,activity",0,,1
demo_cost,purchase.purchase_rfq,Requests for Quotation,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",0,,1
demo_cost,purchase.purchase_form_action,Purchase Orders,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",0,,1
demo_cost,purchase.action_purchase_configuration,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_cost,purchase.action_purchase_order_report_all,Purchase Analysis,purchase.report,"graph,pivot",1,purchase.group_purchase_user,0
demo_cost,stock_account.stock_valuation_layer_action,Stock Valuation,stock.valuation.layer,"tree,form,pivot",0,,1
demo_cost,stock_account.inventory_aging_action,Inventory Aging,stock.valuation.layer,"pivot,tree,graph",0,,1
demo_readonly,base.action_decimal_precision_form,Decimal Accuracy,decimal.precision,"tree,form",0,,1
demo_readonly,base.ir_sequence_actions,Actions,ir.actions.actions,"tree,form",0,,1
demo_readonly,base.ir_action_report,Reports,ir.actions.report,"tree,form",0,,1
demo_readonly,base.ir_action_window,Window Actions,ir.actions.act_window,"tree,form",0,,1
demo_readonly,base.ir_client_actions_report,Client Actions,ir.actions.client,"tree,form",0,,1
demo_readonly,base.action_server_action,Server Actions,ir.actions.server,"tree,form",0,,1
demo_readonly,base.act_ir_actions_todo_form,Configuration Wizards,ir.actions.todo,"tree,form",0,,1
demo_readonly,base.action_asset,Assets,ir.asset,"tree,form",0,,1
demo_readonly,base.ir_config_list_action,System Parameters,ir.config_parameter,"tree,form",0,,1
demo_readonly,base.ir_cron_act,Scheduled Actions,ir.cron,"tree,form,calendar",0,,1
demo_readonly,base.ir_cron_trigger_action,Scheduled Actions Triggers,ir.cron.trigger,"tree,form",0,,1
demo_readonly,base.actions_ir_filters_view,User-defined Filters,ir.filters,"tree,form",0,,1
demo_readonly,base.action_model_model,Models,ir.model,"tree,form",0,,1
demo_readonly,base.action_model_fields,Fields,ir.model.fields,"tree,form",0,,1
demo_readonly,base.action_model_fields_selection,Fields Selection,ir.model.fields.selection,"tree,form",0,,1
demo_readonly,base.ir_access_act,Access Rights,ir.model.access,"tree,form",0,,1
demo_readonly,base.action_attachment,Attachments,ir.attachment,"kanban,tree,form",0,,1
demo_readonly,base.action_rule,Record Rules,ir.rule,"tree,form",0,,1
demo_readonly,base.ir_sequence_form,Sequences,ir.sequence,"tree,form",0,,1
demo_readonly,base.grant_menu_access,Menu Items,ir.ui.menu,"tree,form",0,,1
demo_readonly,base.action_ui_view,Views,ir.ui.view,"tree,form",0,,1
demo_readonly,base.action_ui_view_custom,Customized Views,ir.ui.view.custom,"tree,form",0,,1
demo_readonly,base.ir_default_menu_action,User-defined Defaults,ir.default,"tree,form",0,,1
demo_readonly,base.ir_logging_all_act,Logging,ir.logging,"tree,form",0,,1
demo_readonly,base.open_module_tree,Apps,ir.module.module,"kanban,tree,form",0,,1
demo_readonly,base.action_view_base_import_language,Import Translation,base.language.import,form,0,,1
demo_readonly,base.action_wizard_lang_export,Export Translation,base.language.export,form,0,,1
demo_readonly,base.action_menu_ir_profile,Ir profile,ir.profile,"tree,form",0,,1
demo_readonly,base.action_res_company_form,Companies,res.company,"tree,kanban,form",0,,1
demo_readonly,base.res_lang_act_window,Languages,res.lang,"tree,form",0,,1
demo_readonly,base.action_currency_form,Currencies,res.currency,"tree,kanban,form",0,,1
demo_readonly,base.action_res_users,Users,res.users,"tree,kanban,form",0,,1
demo_readonly,base.ir_property_form,Company Properties,ir.property,"tree,form",0,,1
demo_readonly,base_setup.action_general_configuration,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_readonly,web_tour.edit_tour_action,Tours,web_tour.tour,"tree,form",0,,1
demo_readonly,iap.iap_account_action,IAP Account,iap.account,"tree,form",0,,1
demo_readonly,uom.product_uom_categ_form_action,Units of Measure Categories,uom.category,"tree,form",0,,1
demo_readonly,onboarding.action_view_onboarding_onboarding,Onboardings,onboarding.onboarding,"tree,form",0,,1
demo_readonly,onboarding.action_view_onboarding_step,Onboarding Steps,onboarding.onboarding.step,"tree,form",0,,1
demo_readonly,resource.action_resource_resource_tree,Resources,resource.resource,"tree,form",0,,1
demo_readonly,resource.action_resource_calendar_leave_tree,Resource Time Off,resource.calendar.leaves,"tree,form,calendar",0,,1
demo_readonly,resource.action_resource_calendar_form,Working Schedules,resource.calendar,"tree,form",0,,1
demo_readonly,mail.action_view_message_subtype,Subtypes,mail.message.subtype,"tree,form",0,,1
demo_readonly,mail.action_view_mail_tracking_value,Tracking Values,mail.tracking.value,"tree,form",0,,1
demo_readonly,mail.action_view_mail_message,Messages,mail.message,"tree,form",0,,1
demo_readonly,mail.mail_message_schedule_action,Scheduled Messages,mail.message.schedule,"tree,form",0,,1
demo_readonly,mail.action_view_mail_mail,Emails,mail.mail,"tree,form",0,,1
demo_readonly,mail.action_ice_servers,ICE servers,mail.ice.server,"tree,form",0,,1
demo_readonly,mail.discuss_channel_rtc_session_action,RTC sessions,discuss.channel.rtc.session,"tree,form",0,,1
demo_readonly,mail.mail_link_preview_action,Link Previews,mail.link.preview,"tree,form",0,,1
demo_readonly,mail.discuss_gif_favorite_action,GIF favorite,discuss.gif.favorite,"tree,form",0,,1
