action_type,action_id,xmlid,name,res_model,view_mode,binding_type,has_groups,groups
act_window,324,project.mail_activity_type_action_config_project_types,Activity Types,mail.activity.type,"tree,form",action,0,
act_window,327,project.action_project_task_user_tree,Tasks Analysis,report.project.task.user,"graph,pivot",action,0,
act_window,330,spreadsheet_dashboard.spreadsheet_dashboard_action_configuration_dashboards,Dashboards,spreadsheet.dashboard.group,"tree,form",action,0,
act_window,367,stock.action_stock_scrap,Scrap Orders,stock.scrap,"tree,form,kanban,pivot,graph",action,0,
act_window,375,stock.action_warehouse_form,Warehouses,stock.warehouse,"tree,form",action,0,
act_window,377,stock.stock_move_line_action,Moves History,stock.move.line,"tree,kanban,pivot,form",action,0,
act_window,379,stock.action_picking_tree_incoming,Receipts,stock.picking,"tree,kanban,form,calendar,activity",action,1,stock.group_stock_user
act_window,380,stock.action_picking_tree_outgoing,Deliveries,stock.picking,"tree,kanban,form,calendar,activity",action,1,stock.group_stock_user
act_window,395,stock.action_picking_type_list,Operations Types,stock.picking.type,"tree,form",action,0,
act_window,396,stock.stock_picking_type_action,Inventory Overview,stock.picking.type,"kanban,form",action,0,
act_window,397,stock.stock_move_action,Move Analysis,stock.move,"tree,form",action,0,
act_window,399,stock.action_product_stock_view,Stock,product.product,"tree,form",action,0,
act_window,400,stock.product_template_action_product,Products,product.template,"kanban,tree,form",action,0,
act_window,408,stock.action_orderpoint,Reordering Rules,stock.warehouse.orderpoint,"tree,kanban,form",action,0,
act_window,412,stock.action_stock_config_settings,Settings,res.config.settings,form,action,1,smart_construction_core.group_sc_super_admin
act_window,418,project_sms.project_project_act_window_sms_composer,Send SMS Text Message,sms.composer,form,action,1,smart_construction_core.group_sc_super_admin;base.group_system
act_window,427,purchase.product_normal_action_puchased,Products,product.template,"kanban,tree,form,activity",action,0,
act_window,429,purchase.purchase_rfq,Requests for Quotation,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",action,0,
act_window,430,purchase.purchase_form_action,Purchase Orders,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",action,0,
act_window,436,purchase.action_purchase_configuration,Settings,res.config.settings,form,action,1,smart_construction_core.group_sc_super_admin
act_window,439,purchase.action_purchase_order_report_all,Purchase Analysis,purchase.report,"graph,pivot",action,1,purchase.group_purchase_user
act_window,440,stock_account.stock_valuation_layer_action,Stock Valuation,stock.valuation.layer,"tree,form,pivot",action,0,
act_window,442,stock_account.inventory_aging_action,Inventory Aging,stock.valuation.layer,"pivot,tree,graph",action,0,
