partner_id,legacy_partner_source,legacy_partner_id,name,customer_rank,supplier_rank,action
8835,xlsx_supplier_cooperat_company,name:重庆市南川区财政局,重庆市南川区财政局,0,1,create_new_xlsx_identity
8836,xlsx_supplier_cooperat_company,name:重庆建发建筑劳务有限公司,重庆建发建筑劳务有限公司,0,1,create_new_xlsx_identity
8837,xlsx_supplier_cooperat_company,name:重庆戴杨合建材有限公司,重庆戴杨合建材有限公司,0,1,create_new_xlsx_identity
8838,xlsx_supplier_cooperat_company,name:重庆柯腾建筑劳务有限公司,重庆柯腾建筑劳务有限公司,0,1,create_new_xlsx_identity
8839,xlsx_supplier_cooperat_company,name:重庆汇尔固机电设备有限公司,重庆汇尔固机电设备有限公司,0,1,create_new_xlsx_identity
8840,xlsx_supplier_cooperat_company,name:重庆泸酒阁商贸有限公司,重庆泸酒阁商贸有限公司,0,1,create_new_xlsx_identity
8841,xlsx_supplier_cooperat_company,name:重庆象征建筑设备租赁有限公司,重庆象征建筑设备租赁有限公司,0,1,create_new_xlsx_identity
8842,xlsx_supplier_cooperat_company,name:重庆鑫亚坤新型环保建材有限公司,重庆鑫亚坤新型环保建材有限公司,0,1,create_new_xlsx_identity
8843,xlsx_supplier_cooperat_company,name:重庆零零柒工程担保有限公司,重庆零零柒工程担保有限公司,0,1,create_new_xlsx_identity
8844,xlsx_supplier_cooperat_company,name:金牛区浩辉建材经营部,金牛区浩辉建材经营部,0,1,create_new_xlsx_identity
8845,xlsx_supplier_cooperat_company,name:铜梁区渝铜电脑商行,铜梁区渝铜电脑商行,0,1,create_new_xlsx_identity
8846,xlsx_supplier_cooperat_company,name:麦盖提县盛源水利电力工程有限公司,麦盖提县盛源水利电力工程有限公司,0,1,create_new_xlsx_identity
