model,id,legacy_material_id,name,code
sc.material.catalog,207,3c044b9d71cb4ed8ade86a95ba670acc,樟子松防腐木,SCBS-3c044b9d71cb4ed8ade86a95
sc.material.catalog,208,156cfc284b9246a09ce43ff468805d9e,反光背心,SCBS-156cfc284b9246a09ce43ff4
sc.material.catalog,209,8966c021c2fa4a6f8033f31aa66b8185,稀料,SCBS-8966c021c2fa4a6f8033f31a
sc.material.catalog,210,6536889a2c9b43ba8e266cbf37737b63,开关插座,SCBS-6536889a2c9b43ba8e266cbf
sc.material.catalog,211,36600,蹲便器,SCBS-36600
sc.material.catalog,212,2fdb1d7183b34e4cbef8931912c5890b,运费,SCBS-2fdb1d7183b34e4cbef89319
sc.material.catalog,213,4bc346dc982e46f684a2aea22252c62f,配电箱,SCBS-4bc346dc982e46f684a2aea2
sc.material.catalog,214,d9364cee71a249db9e5d149e3fbcde39,镀锌钢丝网,SCBS-d9364cee71a249db9e5d149e
sc.material.catalog,215,e771a2eb9739411d8603f6dfb53af0de,庭院灯,SCBS-e771a2eb9739411d8603f6df
sc.material.catalog,216,de8179fea8ee4808abd235d88ce1b33b,警示带,SCBS-de8179fea8ee4808abd235d8
sc.material.catalog,217,7334ca73276d4d8aa6fabe246231b9f4,镀锌钢板,SCBS-7334ca73276d4d8aa6fabe24
sc.material.catalog,218,6905bce44de044728d66f97f5dfa2927,白水泥,SCBS-6905bce44de044728d66f97f
sc.material.catalog,219,388e23f00b2d47b997d152f1df3d66aa,回路板,SCBS-388e23f00b2d47b997d152f1
sc.material.catalog,220,127ba685e0904de3b22ed73940db8567,吸顶灯,SCBS-127ba685e0904de3b22ed739
sc.material.catalog,221,69a1da66c18d488da130f011e1aea73b,配电柜,SCBS-69a1da66c18d488da130f011
sc.material.catalog,222,7412d02c1c8c47399daac67fad390cd9,PVC管,SCBS-7412d02c1c8c47399daac67f
sc.material.catalog,223,f7f6b47c051b49f797b5bfd55e2610ed,拖布池,SCBS-f7f6b47c051b49f797b5bfd5
sc.material.catalog,224,19ade380a57941a984502cde1db57c91,路沿石,SCBS-19ade380a57941a984502cde
sc.material.catalog,225,fb4c002d9c0240119b705dc7955175ac,原子灰,SCBS-fb4c002d9c0240119b705dc7
sc.material.catalog,226,9de7faf9823440c492897d846fb62ea1,辅材,SCBS-9de7faf9823440c492897d84
sc.material.catalog,227,47fd969ae7854def8941c2a83560a8be,游标卡尺,SCBS-47fd969ae7854def8941c2a8
sc.material.catalog,228,7121ef58fd6f4de3b9e3927c4a9e9df9,镀锌圆管,SCBS-7121ef58fd6f4de3b9e3927c
sc.material.catalog,229,8307597ab83248468133be7c64a883d4,继电器,SCBS-8307597ab83248468133be7c
sc.material.catalog,230,9f641468eb054fc2946e86bc412d7e09,开关,SCBS-9f641468eb054fc2946e86bc
sc.material.catalog,231,0fea98f6ff444b01975a8851c04356f4,三通,SCBS-0fea98f6ff444b01975a8851
sc.material.catalog,232,008c2a38ea5c4979b07b8998f41628e6,波纹管,SCBS-008c2a38ea5c4979b07b8998
sc.material.catalog,233,2f4e39d47c114eb5ba6b6c0467a70fb8,点火开关,SCBS-2f4e39d47c114eb5ba6b6c04
sc.material.catalog,234,bf4ed16205984bd798eb5a071e2a7622,斜口钳,SCBS-bf4ed16205984bd798eb5a07
sc.material.catalog,235,7a1ba563352a42ee9cef55dc4b835e06,线手套,SCBS-7a1ba563352a42ee9cef55dc
sc.material.catalog,236,97d2614f0048493489db72c75f6c8dd6,白面板,SCBS-97d2614f0048493489db72c7
sc.material.catalog,237,33383,雾炮机,SCBS-33383
sc.material.catalog,238,85744c0a5bcb40fbbfc208f7c6000014,螺纹钢HRB400E,SCBS-85744c0a5bcb40fbbfc208f7
sc.material.catalog,239,60025b4215b8459aadea560591e7ecc4,京式护栏,SCBS-60025b4215b8459aadea5605
sc.material.catalog,240,c54a563a55864fb5829e1e9b353f6848,微生物肥料,SCBS-c54a563a55864fb5829e1e9b
sc.material.catalog,241,66113d08ac1d44f8bec1a30799edf85b,沥青,SCBS-66113d08ac1d44f8bec1a307
sc.material.catalog,242,b09144f61dcf4991ac2e9d2e613ce239,elastopave C,SCBS-b09144f61dcf4991ac2e9d2e
sc.material.catalog,243,874243de208941f08ed2289f6a67b75c,水泥,SCBS-874243de208941f08ed2289f
sc.material.catalog,244,9c9343ddc8ac47bc9a41c5a8ea43e84c,地面砂浆,SCBS-9c9343ddc8ac47bc9a41c5a8
sc.material.catalog,245,677a7264a48c4cf195087427d90148e1,非焦油聚氨酯防水涂料,SCBS-677a7264a48c4cf195087427
sc.material.catalog,246,1f2adbed9716416aa7d40cf93481bca6,热镀锌矩管,SCBS-1f2adbed9716416aa7d40cf9
sc.material.catalog,247,44b312e455c5482dae9f4b27ee68a974,塑料浮筒（含配件）,SCBS-44b312e455c5482dae9f4b27
