fact_family,staging_id,legacy_record_id,document_no,project_id,project_name,amount_total,reason
payment_negative,2791,4f4937a455594545ba4d303a4ef8f6d7,FKD-20240204-017,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-2185.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2784,4ef33dbdde6f480795bb6da9ba6bb74d,FKD-20240124-001,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-8000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4321,7ac2edbbaae6457ba16a8514b54525cd,FKD-20240125-001,14,崴和路滑坡整治工程,-9415.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7849,daf2e6930fcb4026b9240eb293e53e2d,FKD-20240130-002,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,-29224.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5677,a05b5801434549d5998375e1516cc434,FKD-20240204-011,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-7935.0,negative_payment_requires_refund_or_reversal_target
payment_negative,600,10bbbb07687c475ca14906ed206a1c6f,FKD-20240207-002,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-9000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2960,53bb24243bcc41beabd482f8b768ab4e,FKD-20240207-003,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-24600.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2165,3e3dafe6d0df4e83be341e1c2bbc2266,FKD-20240207-016,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-75200.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6710,bc493c6d55df47a49336cb09f685dbfd,FKD-20240205-008,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-1000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,3381,5f7b00add1ed443eaef55b945d3a237f,FKD-20240207-001,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-12558.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4433,7dba4564f65641069f01c43499928b6f,FKD-20240208-005,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-7910.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6197,ae72ab03b78b478683f4c730b1eebc65,FKD-20240226-006,45,SCBS未指定项目 - 四川宏政嘉斯建筑工程有限公司,-500000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7741,d83e30e465184b4a9f548f7a45eff18d,FKD-20240410-006,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-40000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2543,48839e9e014b41fb97412e7658eea0cf,FK-202404181020,18,烈士陵园装修项目,-4975.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2116,3cfd5195e9e64728a34982fa3cb85b25,FKD-20240417-005,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-4428.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4384,7c994a5207284429b69ac7e8481bfcf4,FK-202404221425,18,烈士陵园装修项目,-1012.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4589,8255d29b7f9a4002a2b623c9d6e391f0,FK-202404301644,1,旌阳区供水项目——柏隆净水厂,-9856.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6051,aa8c8cdf06cc4db59b25e68409647678,FK-202405221927,13,玉山街道路工程,-54346.51,negative_payment_requires_refund_or_reversal_target
payment_negative,1308,25aa05887cab4146a6b37ae6358be036,FKD-20240527-001,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-5809.43,negative_payment_requires_refund_or_reversal_target
payment_negative,2895,52109915fadb47bc803e23af59af76cf,FKD-20240611-016,1,旌阳区供水项目——柏隆净水厂,-5600.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4177,76efff4f466c4e039b6582fe8be5e2fd,FKD-20240611-014,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-5776.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1263,24780fd9e1d447219b221825b53451c9,FKD-20240618-004,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,-10765.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1579,2d15a25f05d84a09b521e2a7ae374977,FK-202407151411,9,2024高标准农田建设项目-龙泉村,-200000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,3711,68f4086dbe4a46d5afc6a95f46e8ce8c,FKD-20240715-002,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-12120.0,negative_payment_requires_refund_or_reversal_target
payment_negative,3290,5d00b16b320b45c4abecac82c136277f,FKD-20240723-001,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-60000.0,negative_payment_requires_refund_or_reversal_target
