source_sequence,project_name,normalized_project_name,source_operation_mode,operation_strategy,operation_strategy_label,source_file,source_received_date
226,重庆轨道交通15号线一期土建工程03标绣湖路DN400给水管道迁改工程,重庆轨道交通15号线一期土建工程03标绣湖路DN400给水管道迁改工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
227,喀什地区塔什库尔干县曲什曼检查站至垃圾处理厂道路路灯采购项目（二次）,喀什地区塔什库尔干县曲什曼检查站至垃圾处理厂道路路灯采购项目(二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
228,绵阳市游仙区魏城镇竹柳村（原柳塔村3组）通组道路硬化工程项目,绵阳市游仙区魏城镇竹柳村(原柳塔村3组)通组道路硬化工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
229,2023年德阳经开区保障性安居工程城镇老旧小区主体改造项目劳务分包第十二标段,2023年德阳经开区保障性安居工程城镇老旧小区主体改造项目劳务分包第十二标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
230,五里坪站场发停车区域调整综合改造工程,五里坪站场发停车区域调整综合改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
231,喀什地区英吉沙县2022年停车场建设项目工程总承包,喀什地区英吉沙县2022年停车场建设项目工程总承包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
232,德阳市中心城区照明改造工程-10KV配电工程,德阳市中心城区照明改造工程-10KV配电工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
233,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
234,李家沱战场入口地面修复工程,李家沱战场入口地面修复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
235,中国农业发展银行什邡市支行雨、污管道改造项目,中国农业发展银行什邡市支行雨、污管道改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
236,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包,二重厂西路(华山路-衡山路)等4条路砂石工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
237,德阳高新区万福棚改二期大门改造工程机电安装专业分包,德阳高新区万福棚改二期大门改造工程机电安装专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
238,2023年南岸区城市桥隧设施病害整治工程,2023年南岸区城市桥隧设施病害整治工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
239,伽师县工业园区空气源供热建设项目（二次）,伽师县工业园区空气源供热建设项目(二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
240,龙洲湾公交站场排水沟沟盖板维修,龙洲湾公交站场排水沟沟盖板维修,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
241,南木林县拉布普乡皮布岔口东娘村公路工程项目,南木林县拉布普乡皮布岔口东娘村公路工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
242,某部车库建设项目,某部车库建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
243,汉源县生态农副产品产业园区基础配套设施建设项目-孵化园一标段,汉源县生态农副产品产业园区基础配套设施建设项目-孵化园一标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
244,北新国际冷链商贸物流项目E地块E3#-1、E4#-1综合项目,北新国际冷链商贸物流项目E地块E3#-1、E4#-1综合项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
245,何东中石油煤层气公司新疆后峡项目,何东中石油煤层气公司新疆后峡项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
246,40万吨高强包装纸扩建项目余土/渣土外运专业分包工程,40万吨高强包装纸扩建项目余土/渣土外运专业分包工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
247,欧麓花园入口地面维修,欧麓花园入口地面维修,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
248,德阳市旌阳区八角井镇卫生院-各类设施零星维护管理,德阳市旌阳区八角井镇卫生院-各类设施零星维护管理,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
249,德阳市旌阳区涪江路小学校校舍维修工程,德阳市旌阳区涪江路小学校校舍维修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
250,松垭商业城保障性住房提升改造项目--装修施工项目,松垭商业城保障性住房提升改造项目--装修施工项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
251,中国航发公司郝小成零星工程,中国航发公司郝小成零星工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
252,四川保盛贵州茅台酒采购平台,四川保盛贵州茅台酒采购平台,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
253,城口县明通镇中心小学改扩建及幼儿园建设项目,城口县明通镇中心小学改扩建及幼儿园建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
254,建筑工程实训基地室外改造提升,建筑工程实训基地室外改造提升,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
255,西南大数据创新应用中心项目-深潜土石方工程,西南大数据创新应用中心项目-深潜土石方工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
256,龙江大酒店装修改造项目,龙江大酒店装修改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
257,莎车县低压电力设施改造项目施工第二标段,莎车县低压电力设施改造项目施工第二标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
258,莎车县低压电力设施改造项目施工第一标段,莎车县低压电力设施改造项目施工第一标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
259,绵竹何高春项目,绵竹何高春项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
260,重庆轨道交通15号线一期土建工程果塘路站二期给水管线迁改工程,重庆轨道交通15号线一期土建工程果塘路站二期给水管线迁改工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
261,阿克陶县人民医院医技楼配电安装工程项目,阿克陶县人民医院医技楼配电安装工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
262,建筑工程实训管改造提升采购项目,建筑工程实训管改造提升采购项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
263,长虹金嶺1号项目二期高层外墙装饰工程（二标段）,长虹金嶺1号项目二期高层外墙装饰工程(二标段),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
264,四川省区域应急救援雅安基地项目综合业务大楼外墙铝格栅专业分包工程,四川省区域应急救援雅安基地项目综合业务大楼外墙铝格栅专业分包工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
265,三标段旌湖路（秦岭山路至峨眉山南路）10kv下地改造工程,三标段旌湖路(秦岭山路至峨眉山南路)10kv下地改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
266,石柱县沿溪镇滨江社区居住环境改善工程,石柱县沿溪镇滨江社区居住环境改善工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
267,渝数科技公司重庆数字大厦第6层办公用房装修改造项目,渝数科技公司重庆数字大厦第6层办公用房装修改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
268,江陵路快速化改造一期工程PB0+560-PB1+180庞北恢复及拆除残桥工程,江陵路快速化改造一期工程PB0+560-PB1+180庞北恢复及拆除残桥工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
269,梧桐·骊府土方专业分包项目,梧桐·骊府土方专业分包项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
270,杨永田项目,杨永田项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
271,引入社会资金共同打造游泳高水平运动员后备人才培养项目,引入社会资金共同打造游泳高水平运动员后备人才培养项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
272,三星堆旅游环线工业游基地基础设施改造项目（一期）设计施工总承包项目,三星堆旅游环线工业游基地基础设施改造项目(一期)设计施工总承包项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
273,德阳市什邡市社会福利救助中心护理能力提档升级项目,德阳市什邡市社会福利救助中心护理能力提档升级项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
274,开挖修复359机位消防主管道爆管项目,开挖修复359机位消防主管道爆管项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
275,重庆轨道交通15号线一期工程01标合同段供水管道迁改工程,重庆轨道交通15号线一期工程01标合同段供水管道迁改工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
276,百合公园维修工程,百合公园维修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
277,四川建筑职业技术学院德阳校区综合办公楼西侧会议室等维修改造项目,四川建筑职业技术学院德阳校区综合办公楼西侧会议室等维修改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
278,德阳智茂润亚电子科技有限公司3C配件及终端制造项目厂房装修工程,德阳智茂润亚电子科技有限公司3C配件及终端制造项目厂房装修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
279,二重厂西路（华山路-衡山路）市政道路工程、衡山路（二重厂西路-韩江路）市政道路工程、琴江路、武江路（华山路-规划路）市政道路工程 沥青路面、水稳基层专业分包,二重厂西路(华山路-衡山路)市政道路工程、衡山路(二重厂西路-韩江路)市政道路工程、琴江路、武江路(华山路-规划路)市政道路工程沥青路面、水稳基层专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
280,安宁新能源磷铁项目,安宁新能源磷铁项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
281,塔什库尔干县达布达尔乡农业灌溉管道建设项目,塔什库尔干县达布达尔乡农业灌溉管道建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
282,绵阳高新区普明街道古泉社区居民委员会普明街道古泉社区农业灌溉水利设施整治提升项目,绵阳高新区普明街道古泉社区居民委员会普明街道古泉社区农业灌溉水利设施整治提升项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
283,中建四局集团-唐颖刚项目,中建四局集团-唐颖刚项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
284,米易东站屋顶花园项目,米易东站屋顶花园项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
285,2023年中江县普兴镇村社道路建设项目,2023年中江县普兴镇村社道路建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
286,马尔康市卓克基水厂挡墙恢复工程,马尔康市卓克基水厂挡墙恢复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
287,德阳凯州新城检验检测创新产业园建设项目-实验室装修项目,德阳凯州新城检验检测创新产业园建设项目-实验室装修项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
288,旌阳区综合管廊项目庐山路段支护及防水3标,旌阳区综合管廊项目庐山路段支护及防水3标,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
289,生态岛智能智造成果转化空间工程钢结构专业分包,生态岛智能智造成果转化空间工程钢结构专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
290,青龙工业园区污水管网改造项目（第二期） 劳务分包,青龙工业园区污水管网改造项目(第二期)劳务分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
291,德阳市寿丰河截污干管工程、中江县城 镇污水处理设施及配套管网项目等四个项目厂站及管网维修、服务单位的采购项目,德阳市寿丰河截污干管工程、中江县城镇污水处理设施及配套管网项目等四个项目厂站及管网维修、服务单位的采购项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
292,德阳市旌阳区中医院门诊综合大楼项目及住院综合大楼项目,德阳市旌阳区中医院门诊综合大楼项目及住院综合大楼项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
293,美林康城售楼部绿化改造,美林康城售楼部绿化改造,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
294,青衣江小学东侧绿化带整治,青衣江小学东侧绿化带整治,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
295,凯州新城城乡一体化项目配套建设工程钢结构工程专业分包（第二次）,凯州新城城乡一体化项目配套建设工程钢结构工程专业分包(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
296,德阳市罗江区万安南塔社区多功能运动场建设项目,德阳市罗江区万安南塔社区多功能运动场建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
297,马踏洞安置房停车场相关基础设施项目,马踏洞安置房停车场相关基础设施项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
298,德阳文德湖屿树花园项目总承包工程大区土方开挖分包合同,德阳文德湖屿树花园项目总承包工程大区土方开挖分包合同,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
299,绵竹应急周转房项目3#点位,绵竹应急周转房项目3#点位,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
300,郫都区安德街道崇德沟黑臭水体整治项目,郫都区安德街道崇德沟黑臭水体整治项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
301,德阳市委党校整体迁建工程区域工程-给排水专业分包(第二次),德阳市委党校整体迁建工程区域工程-给排水专业分包(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
302,广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）,广东南华工商职业学院清远校区二期建设工程(学生生活区、教学行政区),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
303,50万吨年食品级PET高分子新材料项目,50万吨年食品级PET高分子新材料项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
304,渭河路（庐山北路至秦岭山北路）道路改造工程道路沥青砼路面专业分包施工,渭河路(庐山北路至秦岭山北路)道路改造工程道路沥青砼路面专业分包施工,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
305,渭河路（庐山北路至秦岭山北路）道路改造工程道路水稳层材料供应和施工项目,渭河路(庐山北路至秦岭山北路)道路改造工程道路水稳层材料供应和施工项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
306,重庆机场航空口岸综合指定监管场地增设防护解除区项目,重庆机场航空口岸综合指定监管场地增设防护解除区项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
307,巴中恩阳临港产业园建设项目-制造业组团项目 21、22 号厂房防水保温工程,巴中恩阳临港产业园建设项目-制造业组团项目21、22号厂房防水保温工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
308,明源电力公寓小区路灯维修改造,明源电力公寓小区路灯维修改造,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
309,璧山区 2022 年广普镇丘陵山区高标准农田改造提升示范工程试点项目五标段,璧山区2022年广普镇丘陵山区高标准农田改造提升示范工程试点项目五标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
310,德阳经济技术开发区产城融合示范园区基础设施建设 旌湖路 、 太湖路道路改造工程,德阳经济技术开发区产城融合示范园区基础设施建设旌湖路、太湖路道路改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
311,绵阳市游仙区盐泉镇道碑观索桥危桥改造工程项目,绵阳市游仙区盐泉镇道碑观索桥危桥改造工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
312,经开区应急周转房项目（2#）工程,经开区应急周转房项目(2#)工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
313,德阳市旌阳区乡镇通组道路工程(双东镇),德阳市旌阳区乡镇通组道路工程(双东镇),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
314,西南大数据创新应用中心项目土石方,西南大数据创新应用中心项目土石方,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
315,米易县南部新城市政道路及生态湿地公园PPP项目-绿化工程补充协议,米易县南部新城市政道路及生态湿地公园PPP项目-绿化工程补充协议,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
316,德阳市罗江区老旧小区改造项目四标段（二期）,德阳市罗江区老旧小区改造项目四标段(二期),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
317,白鹤花园棚户区改造项目一期工程,白鹤花园棚户区改造项目一期工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
318,模锻厂45MN泵站降温改造,模锻厂45MN泵站降温改造,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
319,中核中原建设 2022-2023 年度华北、西北区域脚手架专业分包框架协议,中核中原建设2022-2023年度华北、西北区域脚手架专业分包框架协议,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
320,旌城印象更换单元门,旌城印象更换单元门,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
321,绵阳市游仙区魏城镇竹柳村（原柳塔村二组）通组路建设工程项目,绵阳市游仙区魏城镇竹柳村(原柳塔村二组)通组路建设工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
322,棉县高层安置小区消防系统维修项目（向阳小区）消防专业分包,棉县高层安置小区消防系统维修项目(向阳小区)消防专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
323,德阳高新区万福棚户区改造工程一期一标段“8.11”特大暴雨灾后修复工程,德阳高新区万福棚户区改造工程一期一标段“8.11”特大暴雨灾后修复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
324,环壁南路至环湖北路（青白江河）DN800管安装工程,环壁南路至环湖北路(青白江河)DN800管安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
325,什邡市方亭街道老旧小区改造项目六标段,什邡市方亭街道老旧小区改造项目六标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
326,德阳市人民医院门诊大楼装饰工程,德阳市人民医院门诊大楼装饰工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
327,中江县御河中学校新建学生宿舍、附属工程及设备购置建设项目,中江县御河中学校新建学生宿舍、附属工程及设备购置建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
328,德阳市烈士陵园建设项目专业分包（总平）,德阳市烈士陵园建设项目专业分包(总平),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
329,蓬莱镇城乡一体化建设项目四标段项目模板脚手架专业分包,蓬莱镇城乡一体化建设项目四标段项目模板脚手架专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
330,德阳市旌阳区医养结合中心及精神病院区建设项目新增电缆及给排水管工程,德阳市旌阳区医养结合中心及精神病院区建设项目新增电缆及给排水管工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
331,四川建筑职业技术学院成都校区迁建工程（二期）室内外消防工程,四川建筑职业技术学院成都校区迁建工程(二期)室内外消防工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
332,重庆机场集团有限公司李俭锋零星综合项目,重庆机场集团有限公司李俭锋零星综合项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
333,米易中心城一二期架空层及入户大堂软装采购工程,米易中心城一二期架空层及入户大堂软装采购工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
334,荣昌区盘龙镇黄桷滩水库库区集体经济产业基础设施配套,荣昌区盘龙镇黄桷滩水库库区集体经济产业基础设施配套,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
335,伽师县综合物流园建设项目-新建10KV配电工程,伽师县综合物流园建设项目-新建10KV配电工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
336,博雅学校小学部1号楼屋面装饰改造功能用房采购项目施工合同,博雅学校小学部1号楼屋面装饰改造功能用房采购项目施工合同,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
337,德阳市罗江区一根松应急抢险工程,德阳市罗江区一根松应急抢险工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
338,【广清城际轨道交通项目（花都段）安置区工程 （狮岭镇军田安置区一期工程）施工总承包】项目 【挡土墙】工程专业分包合同,【广清城际轨道交通项目(花都段)安置区工程(狮岭镇军田安置区一期工程)施工总承包】项目【挡土墙】工程专业分包合同,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
339,罗江区城镇污水垃圾治理-城区垃圾中转站改造项目,罗江区城镇污水垃圾治理-城区垃圾中转站改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
340,巴中临港产业园项目13#-16#楼标准厂房室内消防（BZS2022-73）,巴中临港产业园项目13#-16#楼标准厂房室内消防(BZS2022-73),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
341,绵阳高新医院（肺病医院）建设项目之办公室装饰装修分包合同,绵阳高新医院(肺病医院)建设项目之办公室装饰装修分包合同,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
342,2022年日常维护项目（竞标12）,2022年日常维护项目(竞标12),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
343,德阳市罗江区救助管理站新建救助接待大厅新项目,德阳市罗江区救助管理站新建救助接待大厅新项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
344,龙岗001-20井气田水回注土建工程,龙岗001-20井气田水回注土建工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
345,龙岗001-20井气田水回注安装工程,龙岗001-20井气田水回注安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
346,德阳市第一小学校通风换气设备采购及配套用电设施改造项目,德阳市第一小学校通风换气设备采购及配套用电设施改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
347,旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）,旌阳区长江流域可持续发展(沱江上游-绵远河段)综合治理(4、5号地块地下室)(DYS2022-65),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
348,重庆市城投路桥管理有限公司2022年日常维护（竞标12）项目,重庆市城投路桥管理有限公司2022年日常维护(竞标12)项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
349,荣昌区仁义中学校舍建设项目,荣昌区仁义中学校舍建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
350,渝北区龙泉水库大坝公路西侧人行便道扶助工程,渝北区龙泉水库大坝公路西侧人行便道扶助工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
351,大足区2022年宝兴镇等（2）个镇丘陵山区高标准农田改造提升示范工程试点项目,大足区2022年宝兴镇等(2)个镇丘陵山区高标准农田改造提升示范工程试点项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
352,某部机关院内及教导队营房维修项目,某部机关院内及教导队营房维修项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
353,四川建筑职业技术学院德阳校区学生公寓粉刷维修项目,四川建筑职业技术学院德阳校区学生公寓粉刷维修项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
354,德阳九源燃气工程有限公司德阳市旌阳区老旧小区改造安全隐患治理中土方工程施工单位（第二批）,德阳九源燃气工程有限公司德阳市旌阳区老旧小区改造安全隐患治理中土方工程施工单位(第二批),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
355,德阳市旌阳区东山社区卫生服务中心基层防治能力提升项目,德阳市旌阳区东山社区卫生服务中心基层防治能力提升项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
356,丰都县峡南溪片区兴都公园大道西环线(K1+300—K2+611.409) 段市政道路工程,丰都县峡南溪片区兴都公园大道西环线(K1+300-K2+611.409)段市政道路工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
357,成青路（S105）、河黄路、子汉路路面维修工程,成青路(S105)、河黄路、子汉路路面维修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
358,信达国际A栋1、2、3号电梯，D栋1、2号电梯井土建改造工程,信达国际A栋1、2、3号电梯，D栋1、2号电梯井土建改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
359,永川区卫星中型灌区续建配套与节水改造工程,永川区卫星中型灌区续建配套与节水改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
