source_sequence,project_name,normalized_project_name,source_operation_mode,operation_strategy,operation_strategy_label,source_file,source_received_date
37,雅安市雨城区生活垃圾资源化利用项目劳务班组采购项目包件2钢结构,雅安市雨城区生活垃圾资源化利用项目劳务班组采购项目包件2钢结构,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
38,PET-CT安装工程,PET-CT安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
39,医院商业服务配套安装工程,医院商业服务配套安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
40,德阳市旌阳区供水建设项目（柏隆净水厂）,德阳市旌阳区供水建设项目(柏隆净水厂),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
41,陈小刚零星劳务工程,陈小刚零星劳务工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
42,绵竹市城乡供水一体化项目(高柏、红旗)劳务、机械协作单位.,绵竹市城乡供水一体化项目(高柏、红旗)劳务、机械协作单位,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
43,重庆2025年度零星维修服务项目,重庆2025年度零星维修服务项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
44,绵阳市安州区高级职业中学空调电力改造安装工程,绵阳市安州区高级职业中学空调电力改造安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
45,工程部油料化工组后油库油罐防腐层检修合同,工程部油料化工组后油库油罐防腐层检修合同,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
46,东湖街道老旧街区改造城市更新项目（一期）-秦岭山路（黄河路-玉泉路）提升改造工程,东湖街道老旧街区改造城市更新项目(一期)-秦岭山路(黄河路-玉泉路)提升改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
47,A项目-建筑幕墙专业分包,A项目-建筑幕墙专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
48,沸水小学空调电力改造安装工程,沸水小学空调电力改造安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
49,绵阳市安州区公办学校空调电力改造安装工程(桑枣小学),绵阳市安州区公办学校空调电力改造安装工程(桑枣小学),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
50,某部队年度零星工程建设项目,某部队年度零星工程建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
51,喀什某单位锅炉房锅炉扩容改造项目,喀什某单位锅炉房锅炉扩容改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
52,修剪田坝村、中南村、西铁村社区老旧小区存量违法建筑周边树木,修剪田坝村、中南村、西铁村社区老旧小区存量违法建筑周边树木,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
53,安州高新区数字经济产业园基础设施补短板项目--地块二专业分包招标,安州高新区数字经济产业园基础设施补短板项目--地块二专业分包招标,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
54,C4-3-1、C4-3-2等3宗地块整治工程水泥稳定碎石层铺筑,C4-3-1、C4-3-2等3宗地块整治工程水泥稳定碎石层铺筑,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
55,德阳市旌合建设工程有限公司3#、4#、5#、6#楼幕墙工程专业分包,德阳市旌合建设工程有限公司3#、4#、5#、6#楼幕墙工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
56,中核城建德阿项目(EPC)工程27#地块钢结构厂房屋面光伏安装施工专业分包,中核城建德阿项目(EPC)工程27#地块钢结构厂房屋面光伏安装施工专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
57,德阳市罗江区公路建设养护所2025农村公路维修,德阳市罗江区公路建设养护所2025农村公路维修,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
58,绵阳市安州区2025年制种大县项目-生产基地设施建设工程,绵阳市安州区2025年制种大县项目-生产基地设施建设工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
59,驻渝某单位废油罐拆装工程（第三次）,驻渝某单位废油罐拆装工程(第三次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
60,长虹技佳重庆分公司彩钢棚搭建项目,长虹技佳重庆分公司彩钢棚搭建项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
61,潼南支行双江分理处营业网点主体装修工程项目,潼南支行双江分理处营业网点主体装修工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
62,渝北区石船镇龙胆路石船段公交站新建工程,渝北区石船镇龙胆路石船段公交站新建工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
63,国网新疆电力有限公司阿勒泰供电公司省管产业单位2024年第一次服务类区域联合授权框架招标采购,国网新疆电力有限公司阿勒泰供电公司省管产业单位2024年第一次服务类区域联合授权框架招标采购,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
64,区级机关综合办公大楼车库地坪整治项目,区级机关综合办公大楼车库地坪整治项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
65,塔什库尔干县塔什库尔干乡托格伦夏村村容村貌整治提升项目,塔什库尔干县塔什库尔干乡托格伦夏村村容村貌整治提升项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
66,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包7 泸州,中国移动四川公司市州分公司2025年-2028年管理用房及生产枢纽楼公共区域零星维修项目的标包7泸州,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
67,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,中国移动四川公司市州分公司2025年-2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22天府,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
68,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包13 南充,中国移动四川公司市州分公司2025年-2028年管理用房及生产枢纽楼公共区域零星维修项目的标包13南充,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
69,德阳市罗江区乡村水务供水建设项目钢筋、模板、混凝土、管道及阀门安装劳务分包二标段,德阳市罗江区乡村水务供水建设项目钢筋、模板、混凝土、管道及阀门安装劳务分包二标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
70,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包1 成都,中国移动四川公司市州分公司2025年-2028年管理用房及生产枢纽楼公共区域零星维修项目的标包1成都,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
71,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目(标包4-乐山分公司)框架协议,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
72,石船镇农村公路（关兴村）井环路堡坎修复工程,石船镇农村公路(关兴村)井环路堡坎修复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
73,某部家属楼暖气更换项目,某部家属楼暖气更换项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
74,四川致远锂业有限公司生产厂房土建零星及维修工程,四川致远锂业有限公司生产厂房土建零星及维修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
75,西部(重庆)科学城保障性住房(一期)室外 综合管网、景观、绿化、围墙、精装修及 标识标牌系统工程,西部(重庆)科学城保障性住房(一期)室外综合管网、景观、绿化、围墙、精装修及标识标牌系统工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
76,瑜园小区配套基础设施及环境改造工程,瑜园小区配套基础设施及环境改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
77,城南壹号3区·央堂（一期）专业分包包2安装工程,城南壹号3区·央堂(一期)专业分包包2安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
78,城南壹号·熙悦府（一期）专业分包包2安装工程,城南壹号·熙悦府(一期)专业分包包2安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
79,智慧之心项目2#、3#、4#、5#楼及裙楼景观绿化工程专业分包项目,智慧之心项目2#、3#、4#、5#楼及裙楼景观绿化工程专业分包项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
80,四川省绵阳外国语学校综合中心初中部图书室改造项目,四川省绵阳外国语学校综合中心初中部图书室改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
81,德阳市经开区再生资源利用园区基础设施项目九标段项目市政安装工程,德阳市经开区再生资源利用园区基础设施项目九标段项目市政安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
82,中铁十九局集团有限公司1415项目P、T 点位,中铁十九局集团有限公司1415项目P、T点位,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
