legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code
14b62e4158d24596a0e04828e39362b5,17539294565280000,旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）,,,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,1,,3a33a2aa6399c222184170b4d982ebd9,,,,223775,17543642811060000
14c4325bb56b408788e6f442f4384374,10796,广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）,,正式项目,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,0,601,26d6d699f53c4f9e836690eb1f666ca8,,,,109433,16982984843680001
14fe0f48d2af4716b1b3b24f8a4286c8,10301,广汉市郑州路东段雨污水管网工程,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,149,26b4628f32e549ccb438e96bd252e4e1,,,,109807,16982986205380000
1524f421b94c41698305394cf8691f44,17586762288880000,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,,,1,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,1,,aa4ba6e78c0a3f9728f6da4b4dade57a,,,,238993,17659359758260000
152f26736dd64da29f1b4f494fcfef41,10700,西昌卷烟厂2021年厂区环境改造工程综合经营业务用房配套设施改造标段,,正式项目,1,四川保盛建设集团有限公司,9430001,装饰装修,1,自营,,,,0,505,fefe94b3d5154b108f6090ebdb2c1cd2,,,,109512,16982984941180001
15bc8bfa1f964a609140a3c52c72efaa,10283,重庆江北国际机场飞行区服务综合服务外包项目,重庆江北国际机场飞行区服务综合服务外包项目,正式项目,141,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,132,322d6f4534e84d8dafb395782c92a14e,,,,109825,16982986227880000
15f176434d074d2ab18710410f83bd92,17654237017170000,秦岭山道路项目道路照明专业分包工程,,,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,1,,1388d6a7715f75e7876fa0cc43a213c7,,,,,
162fdc7c89564d5189f449bce9454395,10710,162井场外墙,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,515,61141f8f47a54d0d95cff0f989ee8a51,,,,109505,16982984932430001
16979c84c8ba410eab2e7117be52eddf,17014175341340000,旌阳区综合管廊项目泰山路段支护及防水工程二标,,,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,0,,c795e31d4968a74ee4fad9498579a3b7,,,,115130,17018337589970001
16d5db4fb73845ab92b4b2c5bcaf9488,17701082605020000,绵竹市农业科技碳循环双创产业融合示范园项目(二期)一标段-大棚B区劳务、机械采购项目(第二次),,,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,1,,a2aee817e2ef90d48443f9547c7da5c8,,,,259218,17702768634550000
16fce53311764d6c84b08f1357acf0ba,10596,四川省绵阳外国语学校高中部教学综合楼室外电梯工程,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,404,dd6f532bb88e40d59a0e4376fd403e52,,,,109599,16982985635070001
1710364e78bc40b48396fe20e5f0e9bd,10334,南充市高坪区恒大悦龙台至三环6期厂区段损毁道路恢复工程建材及配套服务采购项目,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,173,48e2709b03db4a16aa2e4027b7eb63d6,,,,109782,16982986173500001
17510e7ec153446ca14f6efa72d6c899,10286,天府国际机场航站区配套市政工程施工三标段（二工区）雨污管网及土石方回填工程,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,135,0dc163e00c8347ecbd802501729046aa,,,,109822,16982986223970001
1791ed98bcc5407a9476f93365909791,17333701607690000,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,,,1,四川保盛建设集团有限公司,460001,专业分包,0,联营,,,,0,,77d817e449e7f9375d11c5093aceb8b0,,,,190047,17339744805360000
17cfa82ebcfb4d15baf187890f9e934d,10536,经开物业小区门卫翻新工程,,正式项目,1,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,344,49c1184523d04b22b72d21d87efa606d,,,,109655,16982985709920001
18345028af09432ab7505fe2ce46d2b1,10553,水韵江南小区维修,,正式项目,1,四川保盛建设集团有限公司,9430001,装饰装修,1,联营,,,,0,361,956dca3f7e21475dbcc3826293ef8414,,,,109639,16982985686480001
18b103d698be404b80f9bf782c1a174d,17629974645720000,德阳市旌合建设工程有限公司3#、4#、5#、6#楼幕墙工程专业分包,,,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,1,,c253c928eb52ad8f2772e427b46a46b9,,,,237363,17633452084000000
1914e7b88af24bf0adc89495e5233c60,17677560364180000,德阳市旌阳区供水建设项目（柏隆净水厂）,,,1,四川保盛建设集团有限公司,256f5fcf25944b49b9f6bc3c86f71510,内部,1,自营,,,,1,,214d4a72c868732f09bf6c78cf5a9a13,,,,258462,17691387959010000
1989ad3a331c42308a06490ef6d777b0,17669767228710000,绵阳市安州区高级职业中学空调电力改造安装工程,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,c506aef5db669ddeab26b1e91f766085,,,,239737,17670614336840000
19b80dff5f32439cbbf6a31107f05832,10695,金谷油脂项目进场道路工程二标段,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,500,6407c2954edb43ed907de81fc8d4631c,,,,109517,16982984947270000
