payment_request_id,external_id,name,old_state,old_validation_status,amount,old_ledger_count,old_ledger_sum,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids
5425,legacy_outflow_sc_01762c01b2de495bb0824539c06bcac8,PRQ2605425,done,validated,9768.00,1,9768.00,1,9768.00,legacy_actual_outflow_sc_d7c06c6095084aff9ff6c71e7bd6745b
5426,legacy_outflow_sc_0178bc1c14a947988eb32a1a884af526,PRQ2605426,done,validated,94489.00,1,94489.00,1,94489.00,legacy_actual_outflow_sc_66e641447e434c069ca1a91128931369
5427,legacy_outflow_sc_017d007a8dc84fb39ca2e9022d52fa4b,PRQ2605427,done,validated,50000.00,1,50000.00,1,50000.00,legacy_actual_outflow_sc_bbff337d694c4e80850c3aab31bb2460
5428,legacy_outflow_sc_0180ec0f04954251af121459506feb8d,PRQ2605428,done,validated,50310.00,1,50310.00,1,50310.00,legacy_actual_outflow_sc_bfd06891ee894a8f905f02dc6427d431
5429,legacy_outflow_sc_0188719f01274a7cb9b49b3c65cae719,PRQ2605429,done,validated,1252.00,1,1252.00,1,1252.00,legacy_actual_outflow_sc_3b91f6e2f51049119924c67be044e633
5430,legacy_outflow_sc_018bbef0fac24ef499ecfa1050831d36,PRQ2605430,done,validated,90000.00,1,90000.00,1,90000.00,legacy_actual_outflow_sc_63f57af9d3db45809980052008dda182
5431,legacy_outflow_sc_018c271c9dcd4b3886161d687698461e,PRQ2605431,done,validated,93500.00,1,93500.00,1,93500.00,legacy_actual_outflow_sc_e8459c035e19401daf40f88c91039b3c
5432,legacy_outflow_sc_01906b8530944397a7595828eaefe9a9,PRQ2605432,done,validated,3372.00,1,3372.00,1,3372.00,legacy_actual_outflow_sc_4658af16f82d4faf8af8326be08ad173
5433,legacy_outflow_sc_0196460a0af945f980c85f19dda793c4,PRQ2605433,done,validated,100000.00,1,100000.00,1,100000.00,legacy_actual_outflow_sc_c3aa63044c354e0c9f0d651f0d2fdeae
5434,legacy_outflow_sc_01983a7d2bc849ffba5e9bc9b5b69baa,PRQ2605434,done,validated,23375.00,1,23375.00,1,23375.00,legacy_actual_outflow_sc_b4ff6636422c4fc6afaa004f6621ea2a
5435,legacy_outflow_sc_019a04ae4e104818b2797ef96610be71,PRQ2605435,done,validated,219500.00,1,219500.00,1,219500.00,legacy_actual_outflow_sc_21c1b1b70d8c4fb884353d0e5f35ff34
5436,legacy_outflow_sc_01a73d87df7446368a781c1e5f96aeb8,PRQ2605436,done,validated,9636.00,1,9636.00,1,9636.00,legacy_actual_outflow_sc_e4e6a910ccae490098ac5d5942c423a2
5437,legacy_outflow_sc_01b5617d73414ee18dd995fad2ed766e,PRQ2605437,done,validated,100000.00,1,100000.00,1,100000.00,legacy_actual_outflow_sc_ca2b9f953b2446f98963011a218bca13
5438,legacy_outflow_sc_01b7a68857044a6e83909b463fb06a96,PRQ2605438,done,validated,66243.79,1,66243.79,1,66243.79,legacy_actual_outflow_sc_6a55052789b34e0bbc469e9202b3fc40
5439,legacy_outflow_sc_01b7e9edd5df4199b0f65e6d726e235b,PRQ2605439,done,validated,16700.00,1,16700.00,1,16700.00,legacy_actual_outflow_sc_ea8ee8fb6bb046608cf612e8cb86a23a
5440,legacy_outflow_sc_01be5cb6656f4671b60ba25a1e1d7f96,PRQ2605440,done,validated,26257.00,1,26257.00,1,26257.00,legacy_actual_outflow_sc_c1d4c32f5916411694d11f3b61cb47b2
