external_id,legacy_contract_id,sequence,qty_contract,price_contract,note,idempotency_key,replay_action
legacy_contract_line_summary_sc_04286d3b1cda4cbb9c63ec4b43d20c4a,04286d3b1cda4cbb9c63ec4b43d20c4a,10,1.0,8668552.0000,summary line from legacy contract header amount; legacy_contract_id=04286d3b1cda4cbb9c63ec4b43d20c4a; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_04286d3b1cda4cbb9c63ec4b43d20c4a,create_if_missing
legacy_contract_line_summary_sc_044d49a798284509825fc35cdd19f71a,044d49a798284509825fc35cdd19f71a,10,1.0,2400.0000,summary line from legacy contract header amount; legacy_contract_id=044d49a798284509825fc35cdd19f71a; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_044d49a798284509825fc35cdd19f71a,create_if_missing
legacy_contract_line_summary_sc_049079477aea4548bc0513373dc4320a,049079477aea4548bc0513373dc4320a,10,1.0,36350.0000,summary line from legacy contract header amount; legacy_contract_id=049079477aea4548bc0513373dc4320a; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_049079477aea4548bc0513373dc4320a,create_if_missing
legacy_contract_line_summary_sc_0537b6b19f3e47d9aa22b69a8c536953,0537b6b19f3e47d9aa22b69a8c536953,10,1.0,5000000.0000,summary line from legacy contract header amount; legacy_contract_id=0537b6b19f3e47d9aa22b69a8c536953; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0537b6b19f3e47d9aa22b69a8c536953,create_if_missing
legacy_contract_line_summary_sc_05578ff7f27540e7998e1e07996d23b6,05578ff7f27540e7998e1e07996d23b6,10,1.0,13048438.9700,summary line from legacy contract header amount; legacy_contract_id=05578ff7f27540e7998e1e07996d23b6; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_05578ff7f27540e7998e1e07996d23b6,create_if_missing
legacy_contract_line_summary_sc_0576ab6274b342a7ae8fa30d45fb5ed5,0576ab6274b342a7ae8fa30d45fb5ed5,10,1.0,6900.0000,summary line from legacy contract header amount; legacy_contract_id=0576ab6274b342a7ae8fa30d45fb5ed5; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0576ab6274b342a7ae8fa30d45fb5ed5,create_if_missing
legacy_contract_line_summary_sc_058a36bee2b54ec38260a9ae2794e4f6,058a36bee2b54ec38260a9ae2794e4f6,10,1.0,10883.0000,summary line from legacy contract header amount; legacy_contract_id=058a36bee2b54ec38260a9ae2794e4f6; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_058a36bee2b54ec38260a9ae2794e4f6,create_if_missing
legacy_contract_line_summary_sc_05936c896ad9457ea7c4a61277e5d861,05936c896ad9457ea7c4a61277e5d861,10,1.0,0.0100,summary line from legacy contract header amount; legacy_contract_id=05936c896ad9457ea7c4a61277e5d861; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_05936c896ad9457ea7c4a61277e5d861,create_if_missing
legacy_contract_line_summary_sc_061cb7d1466f41c38685780367d13c1e,061cb7d1466f41c38685780367d13c1e,10,1.0,25573.7000,summary line from legacy contract header amount; legacy_contract_id=061cb7d1466f41c38685780367d13c1e; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_061cb7d1466f41c38685780367d13c1e,create_if_missing
legacy_contract_line_summary_sc_061fac39592e451e918c50006def9dff,061fac39592e451e918c50006def9dff,10,1.0,87200.0000,summary line from legacy contract header amount; legacy_contract_id=061fac39592e451e918c50006def9dff; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_061fac39592e451e918c50006def9dff,create_if_missing
