external_id,legacy_contract_id,sequence,qty_contract,price_contract,note,idempotency_key,replay_action
legacy_supplier_contract_line_sc_00c79c4d96a14c28a3e3cfdb6cdfcf9e,00c79c4d96a14c28a3e3cfdb6cdfcf9e,10,1,11680.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00c79c4d96a14c28a3e3cfdb6cdfcf9e; amount_source=ZJE; source_amount=11680.0000; legacy_qty=103.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00c79c4d96a14c28a3e3cfdb6cdfcf9e,create_if_missing
legacy_supplier_contract_line_sc_00d7b8218d394f99bec59dd3fa157bda,00d7b8218d394f99bec59dd3fa157bda,10,1,56980.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00d7b8218d394f99bec59dd3fa157bda; amount_source=ZJE; source_amount=56980.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00d7b8218d394f99bec59dd3fa157bda,create_if_missing
legacy_supplier_contract_line_sc_00d942f325a04faabf27853d66d4b237,00d942f325a04faabf27853d66d4b237,10,1,62800.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00d942f325a04faabf27853d66d4b237; amount_source=ZJE; source_amount=62800.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00d942f325a04faabf27853d66d4b237,create_if_missing
legacy_supplier_contract_line_sc_00e2a12b3ca641e495a19369139f3a04,00e2a12b3ca641e495a19369139f3a04,10,1,311422.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00e2a12b3ca641e495a19369139f3a04; amount_source=ZJE; source_amount=311422.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00e2a12b3ca641e495a19369139f3a04,create_if_missing
legacy_supplier_contract_line_sc_00ec56d324d7421ab4205f21a5460c59,00ec56d324d7421ab4205f21a5460c59,10,1,156400.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00ec56d324d7421ab4205f21a5460c59; amount_source=ZJE; source_amount=156400.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00ec56d324d7421ab4205f21a5460c59,create_if_missing
legacy_supplier_contract_line_sc_00ee22f10e154ceab7d7fb89ff46c652,00ee22f10e154ceab7d7fb89ff46c652,10,1,12432.1800,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00ee22f10e154ceab7d7fb89ff46c652; amount_source=ZJE; source_amount=12432.1800; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00ee22f10e154ceab7d7fb89ff46c652,create_if_missing
legacy_supplier_contract_line_sc_00f7fb0f76d0416f8a7d1b80504b1d77,00f7fb0f76d0416f8a7d1b80504b1d77,10,1,44000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00f7fb0f76d0416f8a7d1b80504b1d77; amount_source=ZJE; source_amount=44000.0000; legacy_qty=474.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00f7fb0f76d0416f8a7d1b80504b1d77,create_if_missing
legacy_supplier_contract_line_sc_0110c23a21b84386a98039da717f9ee4,0110c23a21b84386a98039da717f9ee4,10,1,86044.5000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=0110c23a21b84386a98039da717f9ee4; amount_source=ZJE; source_amount=86044.5000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_0110c23a21b84386a98039da717f9ee4,create_if_missing
legacy_supplier_contract_line_sc_014717bb9ebc4c9da99322ea9575a279,014717bb9ebc4c9da99322ea9575a279,10,1,308475.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=014717bb9ebc4c9da99322ea9575a279; amount_source=ZJE; source_amount=308475.0000; legacy_qty=4185.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_014717bb9ebc4c9da99322ea9575a279,create_if_missing
legacy_supplier_contract_line_sc_0148823f8ab44edd8f99977047135d7b,0148823f8ab44edd8f99977047135d7b,10,1,14000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=0148823f8ab44edd8f99977047135d7b; amount_source=ZJE; source_amount=14000.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_0148823f8ab44edd8f99977047135d7b,create_if_missing
