external_id,legacy_partner_source,legacy_partner_id,name,company_type,is_company,legacy_partner_name,legacy_source_evidence,idempotency_key,replay_action
legacy_contract_counterparty_sc_9fea8096853f9b43,contract_counterparty,contract_counterparty:9fea8096853f9b43,中国移动通信集团四川有限公司泸州分公司,company,1,中国移动通信集团四川有限公司泸州分公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:9fea8096853f9b43,create_if_missing
legacy_contract_counterparty_sc_bf9ca90165ddf370,contract_counterparty,contract_counterparty:bf9ca90165ddf370,中国第二重型机械集团万航模锻有限责任公司,company,1,中国第二重型机械集团万航模锻有限责任公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:bf9ca90165ddf370,create_if_missing
legacy_contract_counterparty_sc_e73b3cdad8d89dbc,contract_counterparty,contract_counterparty:e73b3cdad8d89dbc,中国第二重型机械集团德阳我哪行模锻有限责任公司,company,1,中国第二重型机械集团德阳我哪行模锻有限责任公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:e73b3cdad8d89dbc,create_if_missing
legacy_contract_counterparty_sc_dff38fae42917ccb,contract_counterparty,contract_counterparty:dff38fae42917ccb,中国联合网络通信有限公司成都市分公司,company,1,中国联合网络通信有限公司成都市分公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:dff38fae42917ccb,create_if_missing
legacy_contract_counterparty_sc_38ce4887481f5e50,contract_counterparty,contract_counterparty:38ce4887481f5e50,中国铁建大桥工程局集团有限公司 旌阳区城市地下综合管廊建设项目经理部,company,1,中国铁建大桥工程局集团有限公司 旌阳区城市地下综合管廊建设项目经理部,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:38ce4887481f5e50,create_if_missing
legacy_contract_counterparty_sc_7b6300f99b56aa95,contract_counterparty,contract_counterparty:7b6300f99b56aa95,中岗第二重型机械集团德阳万航模锻有限责任公司,company,1,中岗第二重型机械集团德阳万航模锻有限责任公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:7b6300f99b56aa95,create_if_missing
legacy_contract_counterparty_sc_343a51835a707df4,contract_counterparty,contract_counterparty:343a51835a707df4,中建二局第二建筑工程有限公司,company,1,中建二局第二建筑工程有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:343a51835a707df4,create_if_missing
legacy_contract_counterparty_sc_70f2690a1140cec3,contract_counterparty,contract_counterparty:70f2690a1140cec3,中建四局建设发展有限公司,company,1,中建四局建设发展有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:70f2690a1140cec3,create_if_missing
legacy_contract_counterparty_sc_6f85e48e496f112d,contract_counterparty,contract_counterparty:6f85e48e496f112d,中建四局第一建设有限公司,company,1,中建四局第一建设有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:6f85e48e496f112d,create_if_missing
legacy_contract_counterparty_sc_e1767fb8d58eff21,contract_counterparty,contract_counterparty:e1767fb8d58eff21,中江凯兴建设投资有限公司,company,1,中江凯兴建设投资有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:e1767fb8d58eff21,create_if_missing
legacy_contract_counterparty_sc_77e681b152504233,contract_counterparty,contract_counterparty:77e681b152504233,中江县辑庆镇尖寨村股份经济合作联合社,company,1,中江县辑庆镇尖寨村股份经济合作联合社,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:77e681b152504233,create_if_missing
legacy_contract_counterparty_sc_27b4778e677b0b0b,contract_counterparty,contract_counterparty:27b4778e677b0b0b,中石化西南石油工程有限公司油田工程服务分公司,company,1,中石化西南石油工程有限公司油田工程服务分公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:27b4778e677b0b0b,create_if_missing
