model,id,source_table,legacy_record_id
sc.legacy.scbs.fact.staging,89,T_FK_Supplier,02cd0d6450584332ba213da1cc16f89e
sc.legacy.scbs.fact.staging,90,T_FK_Supplier,02dc22a9907b4938bf721ebd5f72ff80
sc.legacy.scbs.fact.staging,91,T_FK_Supplier,02dd419f7d884dad9ab60bf74a682629
sc.legacy.scbs.fact.staging,92,T_FK_Supplier,02f384f41d774bf88816284415a667b8
sc.legacy.scbs.fact.staging,93,T_FK_Supplier,02f4f910f88f4eb08bf255ae678e3f0e
sc.legacy.scbs.fact.staging,94,T_FK_Supplier,02f895cfa58042d7a8b438bfc952edf1
sc.legacy.scbs.fact.staging,95,T_FK_Supplier,02fe7559114e41698de4651b828b6464
sc.legacy.scbs.fact.staging,96,T_FK_Supplier,030a1845d2c94e28b0d9a3e1647a33d5
sc.legacy.scbs.fact.staging,97,T_FK_Supplier,03159de7e9624bb6852bf1bf1165aecd
sc.legacy.scbs.fact.staging,98,T_FK_Supplier,03386157989040d487cd40907985a2ae
sc.legacy.scbs.fact.staging,99,T_FK_Supplier,033ef41aa19c4de1a51720e89c06bcaa
sc.legacy.scbs.fact.staging,100,T_FK_Supplier,034484d9286a4c69a8c5953bd7255b4d
sc.legacy.scbs.fact.staging,101,T_FK_Supplier,03551c66dcb64538bfd93a7e2a9c651a
sc.legacy.scbs.fact.staging,102,T_FK_Supplier,03581664e7624b4bb184522856a0b8f8
sc.legacy.scbs.fact.staging,103,T_FK_Supplier,035cb1711e044f958deff49c3d641543
sc.legacy.scbs.fact.staging,104,T_FK_Supplier,036671ca56f04c64bf7db58713fd954c
sc.legacy.scbs.fact.staging,105,T_FK_Supplier,03681e3df18c4618b20ec8fe45f19366
sc.legacy.scbs.fact.staging,106,T_FK_Supplier,0376ed0e810e4f65963a012ae1e7e8cb
sc.legacy.scbs.fact.staging,107,T_FK_Supplier,037baeadd5c54c45b334a13422d2b609
sc.legacy.scbs.fact.staging,108,T_FK_Supplier,0387102ed5d94fb2912a4e03e456c912
sc.legacy.scbs.fact.staging,109,T_FK_Supplier,0391886754d447239f5e904889ccf41f
sc.legacy.scbs.fact.staging,110,T_FK_Supplier,039ec58bde984cd39b7f8652b19121c9
sc.legacy.scbs.fact.staging,111,T_FK_Supplier,03a3eeef240540bebd298802839cbf41
sc.legacy.scbs.fact.staging,112,T_FK_Supplier,03b3fa3639c7485ab41e091e3088169d
sc.legacy.scbs.fact.staging,113,T_FK_Supplier,03b95523c332462892715e850a961369
sc.legacy.scbs.fact.staging,114,T_FK_Supplier,03bb2af481814c0a854c056181f5b72c
sc.legacy.scbs.fact.staging,115,T_FK_Supplier,03d686c09ae9420a819ffe38f57f359b
sc.legacy.scbs.fact.staging,116,T_FK_Supplier,03efadd0a3e641a9b20202c0b28491b2
sc.legacy.scbs.fact.staging,117,T_FK_Supplier,03f9b8b7de644ca9a282243d1f6f2481
sc.legacy.scbs.fact.staging,118,T_FK_Supplier,03fe0929c4a44c879ef7ba0184f20f36
sc.legacy.scbs.fact.staging,119,T_FK_Supplier,040413d65632428ea3a9ea8a1047fae0
sc.legacy.scbs.fact.staging,120,T_FK_Supplier,04184da1f3b64b8f8c66b97f91c87768
sc.legacy.scbs.fact.staging,121,T_FK_Supplier,0418b861c4504288a380b17d81f0d345
sc.legacy.scbs.fact.staging,122,T_FK_Supplier,041ec1cdb53c4c00b7efff568a8bcd83
sc.legacy.scbs.fact.staging,123,T_FK_Supplier,04276ba6a43d41d5b3b4f8618fcb9ed3
sc.legacy.scbs.fact.staging,124,T_FK_Supplier,0430511e8a8b4b3ca9a1e6758f78c3aa
sc.legacy.scbs.fact.staging,125,T_FK_Supplier,043125f4e2d54b30aed8aa1e89ef44f4
sc.legacy.scbs.fact.staging,126,T_FK_Supplier,043762a9a29540a8927d13d0f202a54e
sc.legacy.scbs.fact.staging,127,T_FK_Supplier,043d82591648499ebe5626bf42699557
sc.legacy.scbs.fact.staging,128,T_FK_Supplier,043f3d3cda4e447296a1ebee940b768f
sc.legacy.scbs.fact.staging,129,T_FK_Supplier,0442aa08ae594d32b6105950170fa5c8
sc.legacy.scbs.fact.staging,130,T_FK_Supplier,044499fd87bf4b59876f2d187559d55c
sc.legacy.scbs.fact.staging,131,T_FK_Supplier,044b31d9fc32470297b00def56665ad9
sc.legacy.scbs.fact.staging,132,T_FK_Supplier,045148ef80164b629e229e87a8c8ea6d
sc.legacy.scbs.fact.staging,133,T_FK_Supplier,0453880ea99448bc9bf797a72fd25db5
sc.legacy.scbs.fact.staging,134,T_FK_Supplier,0456e57481224d4299d94c2901a5252e
sc.legacy.scbs.fact.staging,135,T_FK_Supplier,045e9c21043e47868231d517d79e521f
sc.legacy.scbs.fact.staging,136,T_FK_Supplier,0468e0b4a55544bfa92d0fa6edeabf57
sc.legacy.scbs.fact.staging,137,T_FK_Supplier,046940b3e8d540bdbad2027001cb2e1c
sc.legacy.scbs.fact.staging,138,T_FK_Supplier,0471a14d090e4793915c3dddc79b58b3
sc.legacy.scbs.fact.staging,139,T_FK_Supplier,0479e276287f4f7eab406bcafefac02a
sc.legacy.scbs.fact.staging,140,T_FK_Supplier,047b9a567f5a438b91b53de7a565ebd5
sc.legacy.scbs.fact.staging,141,T_FK_Supplier,04823626047c4bd09980b4aa6e2d51ef
sc.legacy.scbs.fact.staging,142,T_FK_Supplier,048d2bc4e273492fb21c6863543d3fcd
sc.legacy.scbs.fact.staging,143,T_FK_Supplier,048e60167dd84a609db1d1419a700015
sc.legacy.scbs.fact.staging,144,T_FK_Supplier,04917ede66d049feac2a76225dabe061
sc.legacy.scbs.fact.staging,145,T_FK_Supplier,0496d6d7ed044aa692469e2887cdbf48
sc.legacy.scbs.fact.staging,146,T_FK_Supplier,0498ef9ed4e44592b657fcc76b4045ba
sc.legacy.scbs.fact.staging,147,T_FK_Supplier,049ac392cb0948ee8af63a22c6d1d956
sc.legacy.scbs.fact.staging,148,T_FK_Supplier,049c86b6f7ef41079553f3ca4b851246
sc.legacy.scbs.fact.staging,149,T_FK_Supplier,049fe04034074cfca259c9ec7b0c5aa7
sc.legacy.scbs.fact.staging,150,T_FK_Supplier,04a1a13c8b1c41df9d26b6d0b93ad6f9
sc.legacy.scbs.fact.staging,151,T_FK_Supplier,04b70596b1854fcebb02ad3443c44402
sc.legacy.scbs.fact.staging,152,T_FK_Supplier,04bcff15caeb4ac4b06406e2f767dae2
sc.legacy.scbs.fact.staging,153,T_FK_Supplier,04d113a94e994a4393d1298680e279b6
sc.legacy.scbs.fact.staging,154,T_FK_Supplier,04d81ce4e9f348b6b7fdb74aa59a7059
sc.legacy.scbs.fact.staging,155,T_FK_Supplier,04d9791254274f898a7d4d904cc4ba77
sc.legacy.scbs.fact.staging,156,T_FK_Supplier,04e1c39f4fb94a58a289ee7dc56fd05c
sc.legacy.scbs.fact.staging,157,T_FK_Supplier,04f7862c93d9469586075f2ecb8444a9
sc.legacy.scbs.fact.staging,158,T_FK_Supplier,04f7908638c04f89b239dc506221550c
sc.legacy.scbs.fact.staging,159,T_FK_Supplier,04fe0f03440b4ecc90151b1e97e6a6a2
sc.legacy.scbs.fact.staging,160,T_FK_Supplier,04ff09776d8048a295d69a05d27c4146
sc.legacy.scbs.fact.staging,161,T_FK_Supplier,0500e1d31c294aa09d8d6786f04b07c4
sc.legacy.scbs.fact.staging,162,T_FK_Supplier,05140b2f9d1f4c318ca73065cd2c0107
sc.legacy.scbs.fact.staging,163,T_FK_Supplier,05265223bdb64e06b7aff891c2f0a9c9
sc.legacy.scbs.fact.staging,164,T_FK_Supplier,05321a0254054ead9bd05dd4095cbab5
sc.legacy.scbs.fact.staging,165,T_FK_Supplier,0534573ae37042489fc529de30200f51
sc.legacy.scbs.fact.staging,166,T_FK_Supplier,053be756d80f427d93db43a8d78df1a1
sc.legacy.scbs.fact.staging,167,T_FK_Supplier,053e5b8e2e0947dea0b0c7306535bb89
sc.legacy.scbs.fact.staging,168,T_FK_Supplier,055a0790b1f343a7bb20ee3d256ee275
sc.legacy.scbs.fact.staging,169,T_FK_Supplier,055dfff62f3e47fc9a4a01fb9dba68fd
sc.legacy.scbs.fact.staging,170,T_FK_Supplier,055ee85945cb462fb7868c9fb005f9fc
sc.legacy.scbs.fact.staging,171,T_FK_Supplier,0562770637b54257806b50b9368b8c3b
sc.legacy.scbs.fact.staging,172,T_FK_Supplier,0568b636e6a44e7e99fe8d9da579a262
sc.legacy.scbs.fact.staging,173,T_FK_Supplier,0569cc169aa241c8960758abcaa6a4b7
sc.legacy.scbs.fact.staging,174,T_FK_Supplier,056fb36b79b04b9d85b30d76a56590ce
sc.legacy.scbs.fact.staging,175,T_FK_Supplier,057b154167c44edaad8a337afa503467
sc.legacy.scbs.fact.staging,176,T_FK_Supplier,05811d9a8db04e4ba1ce66c03235468e
sc.legacy.scbs.fact.staging,177,T_FK_Supplier,0583b91c71cc4560af45ea702add8c56
sc.legacy.scbs.fact.staging,178,T_FK_Supplier,05863bb93b094d8b8ca7a3b307fd770c
