legacy_member_id,legacy_project_id,legacy_user_ref,project_ref,user_ref,role_fact_status,import_batch,evidence,notes,active,replay_action
b8f23f3880cb437d964a7c9db303d688,dddffb953eee4f1fbba18a5b462ffb1a,10000033,legacy_project_sc_dddffb953eee4f1fbba18a5b462ffb1a,legacy_user_sc_10000033,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8f23f3880cb437d964a7c9db303d688,neutral staging only; role fact missing,1,create_if_missing
b8f2a923ab36497d9338eb02f71130d6,38c01559277a45fb94bb9ed9f5786812,10000041,legacy_project_sc_38c01559277a45fb94bb9ed9f5786812,legacy_user_sc_10000041,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8f2a923ab36497d9338eb02f71130d6,neutral staging only; role fact missing,1,create_if_missing
b8f2f117b74a416e834fe84ea184a9c4,a066ecd41c8a4c52b51338d3c00115e1,10000034,legacy_project_sc_a066ecd41c8a4c52b51338d3c00115e1,legacy_user_sc_10000034,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8f2f117b74a416e834fe84ea184a9c4,neutral staging only; role fact missing,1,create_if_missing
b8fb7914822b4e9a877b2aedcd0fcdb2,0cdd82e96265456494a1de15f36c433e,10000031,legacy_project_sc_0cdd82e96265456494a1de15f36c433e,legacy_user_sc_10000031,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8fb7914822b4e9a877b2aedcd0fcdb2,neutral staging only; role fact missing,1,create_if_missing
b8fd44e18ea44140a15c9b64e604ad66,fafad4e03da24e98b7f8cf26706127b8,10000017,legacy_project_sc_fafad4e03da24e98b7f8cf26706127b8,legacy_user_sc_10000017,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8fd44e18ea44140a15c9b64e604ad66,neutral staging only; role fact missing,1,create_if_missing
b8ffc374_115d_4ce7_9d34_c4fc5f03264d,682991317e43497dbb4119f9990fe0ce,10000076,legacy_project_sc_682991317e43497dbb4119f9990fe0ce,legacy_user_sc_10000076,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B8FFC374-115D-4CE7-9D34-C4FC5F03264D,neutral staging only; role fact missing,1,create_if_missing
b9162ab03e8a45c39d748146775de6e8,513f713857db46e196f61d6df8257fd1,10000026,legacy_project_sc_513f713857db46e196f61d6df8257fd1,legacy_user_sc_10000026,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9162ab03e8a45c39d748146775de6e8,neutral staging only; role fact missing,1,create_if_missing
b92b1e9cf88a4c0c86bbe7e494bea8cf,d502c2489723449486522eca798884fa,10000012,legacy_project_sc_d502c2489723449486522eca798884fa,legacy_user_sc_10000012,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b92b1e9cf88a4c0c86bbe7e494bea8cf,neutral staging only; role fact missing,1,create_if_missing
b950be887b8d429d8602e56c73cf769b,2cd51f2a8f064ef691347e5fee5d83fb,10000020,legacy_project_sc_2cd51f2a8f064ef691347e5fee5d83fb,legacy_user_sc_10000020,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b950be887b8d429d8602e56c73cf769b,neutral staging only; role fact missing,1,create_if_missing
b955c12a149a45778c242116df1a6bd7,a2188cd16afa4137a6672d5b21995152,10000041,legacy_project_sc_a2188cd16afa4137a6672d5b21995152,legacy_user_sc_10000041,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b955c12a149a45778c242116df1a6bd7,neutral staging only; role fact missing,1,create_if_missing
b95960dbfdfc49298cd22a7a5a5bab6e,4a4ed31a48164cee80671c16275f4ad7,10000041,legacy_project_sc_4a4ed31a48164cee80671c16275f4ad7,legacy_user_sc_10000041,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b95960dbfdfc49298cd22a7a5a5bab6e,neutral staging only; role fact missing,1,create_if_missing
b95d829c157b48838aca30eed8672680,ee58e169dc56474284f6bb85b6e0d51f,10000038,legacy_project_sc_ee58e169dc56474284f6bb85b6e0d51f,legacy_user_sc_10000038,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b95d829c157b48838aca30eed8672680,neutral staging only; role fact missing,1,create_if_missing
b96028c9_2d23_42c1_9ae5_e31fb8e35e8b,4c93e1d422624fcf830d807d95e272a9,10000079,legacy_project_sc_4c93e1d422624fcf830d807d95e272a9,legacy_user_sc_10000079,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B96028C9-2D23-42C1-9AE5-E31FB8E35E8B,neutral staging only; role fact missing,1,create_if_missing
b9604053_6841_4818_9c91_447a0755a38c,f317a95150bd4989a3a673a4796c3c9c,10000079,legacy_project_sc_f317a95150bd4989a3a673a4796c3c9c,legacy_user_sc_10000079,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B9604053-6841-4818-9C91-447A0755A38C,neutral staging only; role fact missing,1,create_if_missing
b961fad51d754236ac78e82877eea099,7454e9d853394d9991f8bf3b110b2e2a,10000034,legacy_project_sc_7454e9d853394d9991f8bf3b110b2e2a,legacy_user_sc_10000034,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b961fad51d754236ac78e82877eea099,neutral staging only; role fact missing,1,create_if_missing
b9643c24c0314230a91a3c513823156f,5c4db999649c43aa91e9a94014abfbc5,10000080,legacy_project_sc_5c4db999649c43aa91e9a94014abfbc5,legacy_user_sc_10000080,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9643c24c0314230a91a3c513823156f,neutral staging only; role fact missing,1,create_if_missing
b965ee3817d240548bb28e09ece23965,d6a4d48ebb62405baf97d36e9e4e228a,10000003,legacy_project_sc_d6a4d48ebb62405baf97d36e9e4e228a,legacy_user_sc_10000003,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b965ee3817d240548bb28e09ece23965,neutral staging only; role fact missing,1,create_if_missing
b96a4429c27346978d7dfba70bf769be,88e26d8ae253462cbcfc30e462f2da7f,10000041,legacy_project_sc_88e26d8ae253462cbcfc30e462f2da7f,legacy_user_sc_10000041,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b96a4429c27346978d7dfba70bf769be,neutral staging only; role fact missing,1,create_if_missing
b96c53b036914d3d9928492a2208695c,5a4ab1da8abf45089d9b6b24e07b1296,10000051,legacy_project_sc_5a4ab1da8abf45089d9b6b24e07b1296,legacy_user_sc_10000051,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b96c53b036914d3d9928492a2208695c,neutral staging only; role fact missing,1,create_if_missing
b971449fbd55463f9ce1846f58128d5d,23cc90c8afb441639a37ac3d7a9e4fe5,10000051,legacy_project_sc_23cc90c8afb441639a37ac3d7a9e4fe5,legacy_user_sc_10000051,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b971449fbd55463f9ce1846f58128d5d,neutral staging only; role fact missing,1,create_if_missing
