write_design_id,proposed_action,legacy_partner_source,legacy_partner_id,partner_name,legacy_credit_code,legacy_tax_no,dedup_key_type,dedup_key,sources,source_row_count,merge_strategy,customer_flag,supplier_flag,rollback_key_source,rollback_key_legacy_id,source_screen_row_no,db_write
partner_l4_same_tax_company_supplier_canonical_0020,create_company_supplier_partner_with_canonical_tax_number,company_supplier,f877c0b3aaa84ed98411961df95cab1d,重庆汇尔固机电设备有限公司,91500108MA60BFUBX6,91500108MA60BFUBX6,tax_number,91500108MA60BFUBX6,company;supplier,2,merge_by_tax_number,true,true,company_supplier,f877c0b3aaa84ed98411961df95cab1d,4067,false
partner_l4_same_tax_company_supplier_canonical_0021,create_company_supplier_partner_with_canonical_tax_number,company_supplier,1d191421d93044c485fbc83347e476d4,重庆扬升建筑劳务有限公司,91500112759265880M,91500112759265880M,tax_number,91500112759265880M,company;supplier,4,merge_by_tax_number,true,true,company_supplier,1d191421d93044c485fbc83347e476d4,4096,false
partner_l4_same_tax_company_supplier_canonical_0022,create_company_supplier_partner_with_canonical_tax_number,company_supplier,a1b34e3467d64105bf66ee5768479e9e,重庆刚宏鑫茂科技有限公司,91500112MA61B3PN42,91500112MA61B3PN42,tax_number,91500112MA61B3PN42,company;supplier,4,merge_by_tax_number,true,true,company_supplier,a1b34e3467d64105bf66ee5768479e9e,4115,false
partner_l4_same_tax_company_supplier_canonical_0023,create_company_supplier_partner_with_canonical_tax_number,company_supplier,3455d5f07fde4aa496e9614044295fbd,丰恒正（重庆）能源有限责任公司,91500120MA7N68U73J,91500120MA7N68U73J,tax_number,91500120MA7N68U73J,company;supplier,4,merge_by_tax_number,true,true,company_supplier,3455d5f07fde4aa496e9614044295fbd,4200,false
partner_l4_same_tax_company_supplier_canonical_0024,create_company_supplier_partner_with_canonical_tax_number,company_supplier,8c3f326a01a9443cb2cc3d84532ace49,重庆何怡建工程机械租赁有限公司,91500120MACE5KD49L,91500120MACE5KD49L,tax_number,91500120MACE5KD49L,company;supplier,4,merge_by_tax_number,true,true,company_supplier,8c3f326a01a9443cb2cc3d84532ace49,4205,false
partner_l4_same_tax_company_supplier_canonical_0025,create_company_supplier_partner_with_canonical_tax_number,company_supplier,1cbcd7f32d594744aaee03640a626c29,重庆源顺建筑设备租赁有限公司,91500153MAABT77J2W,91500153MAABT77J2W,tax_number,91500153MAABT77J2W,company;supplier,4,merge_by_tax_number,true,true,company_supplier,1cbcd7f32d594744aaee03640a626c29,4217,false
partner_l4_same_tax_company_supplier_canonical_0026,create_company_supplier_partner_with_canonical_tax_number,company_supplier,b06c49da759d423dbabe914f1a780d18,重庆容睿通塑业有限公司,915002263048050436,915002263048050436,tax_number,915002263048050436,company;supplier,4,merge_by_tax_number,true,true,company_supplier,b06c49da759d423dbabe914f1a780d18,4240,false
partner_l4_same_tax_company_supplier_canonical_0027,create_company_supplier_partner_with_canonical_tax_number,company_supplier,26bbda49abaa4554a572a815db073340,重庆市荣昌区鑫垚建材厂,91500226759267253N,91500226759267253N,tax_number,91500226759267253N,company;supplier,4,merge_by_tax_number,true,true,company_supplier,26bbda49abaa4554a572a815db073340,4248,false
partner_l4_same_tax_company_supplier_canonical_0028,create_company_supplier_partner_with_canonical_tax_number,company_supplier,5466db6b347d4172a203ed467db82a37,重庆鑫勇钢材销售有限公司,91500226MA611F9N0X,91500226MA611F9N0X,tax_number,91500226MA611F9N0X,company;supplier,3,merge_by_tax_number,true,true,company_supplier,5466db6b347d4172a203ed467db82a37,4265,false
partner_l4_same_tax_company_supplier_canonical_0029,create_company_supplier_partner_with_canonical_tax_number,company_supplier,4bb615702d7e4c65be6035c40c485ab1,四川利森建材经营部,91510000MA61Y0MF77,91510000MA61Y0MF77,tax_number,91510000MA61Y0MF77,company;supplier,4,merge_by_tax_number,true,true,company_supplier,4bb615702d7e4c65be6035c40c485ab1,4408,false
