legacy_contract_id,legacy_project_id,subject,coverage_route,blockers,policy_route,policy_note
2da461b9fabf406f8f61e6265404e80a,9b66381d3eab487fa180887ba7ee343c,补录老项目合同,discard_deleted_source,deleted_flag|direction_defer|partner_unresolved,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
2e9bfcf0107a4c60bbe81d34ddc4c107,b7f07bc4b72c4cd29b5d1b445b499386,混凝土浇筑合同,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
2ea52e6259144cc6a8b9c07267e0b5f0,57403a8c67e64bd3a163ff4b5feee0ea,WBHTGL-20200227-008,project_anchor_blocked,direction_defer|partner_unresolved|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
2ee276de6d704a34b7d30d2ef667410c,62f933a9f88a4c71909a4d26bfa765a3,昭觉县2019年彝家新寨基础设施建设,project_anchor_blocked,direction_defer|partner_unresolved|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
30ea518c2a09455cb40f4559c675dbe7,1b714bfd78a14049b98c6f2b8a63073e,合阳城街道2024年老旧小区改造工程（二期）,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
32837dc26c344e8cbf9b3a9346f8a3ec,3ddb4ef7f09a4280b7ef904a6f6e5275,德阳市八角井镇卫生院-新建附属用房,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
32d04f89e8fe427786b4130a8fd1845b,918683f439b8487cadb404658ab90785,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包7 泸州,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
32d5dd0f64a248da8cc4acf444fad609,432bb7a6a36e4ec38819ec2a5f1e0bff,补录老项目合同,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3398a526e9bd455cab9766429093dcef,00a4bb196d944fa5a8c56e3bd3f1e448,德阳市罗江区鄢家镇高垭村山坪塘整治项目,discard_deleted_source,deleted_flag|direction_defer|partner_unresolved,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
342249263f3c4dff9d93af896946c649,d673283d7f064228aa3bcdb822c8d425,广东南华工商职业学院清远校区二期人防工程一期,discard_deleted_source,deleted_flag|partner_ambiguous,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
34322d7f3dc245d8b74e091c51a12fdf,dcd315ee82ba47d6a463c3090abd9577,深圳友唱技术有限公司门店门头基装,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3592ba0780794f0092d83e332b3a42aa,3ddb4ef7f09a4280b7ef904a6f6e5275,德阳市旌阳区八角卫生院新建项目附属用房,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
365adf197caa4590bb71e2fd5b6fc8d0,d235db1a8f3046d597923c51000171db,龙泉山路（黄河路至青衣江路）改造工程（路面工程）,project_anchor_blocked,direction_defer|partner_unresolved|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
365c3ff055054963b2750f063fcbebf4,d673283d7f064228aa3bcdb822c8d425,天弓智慧城产业园（一期）总承包工程精装修工程工程专业分包,discard_deleted_source,deleted_flag|partner_unresolved,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
