source_table,legacy_record_id,project_name,other_system_id,company_id,fact_family,amount_total
T_FK_Supplier,26ade2f9f1ee40daa3e30ce374f5f4d6,四川宏政嘉斯建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,,payment,37.5
T_FK_Supplier,26b4187538084c21b15baf78d61fd6a6,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,-13.2
T_FK_Supplier,272a383fa39b4f37bedee534373ec89d,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,30
T_FK_Supplier,27ae50666bda4ea99e8bee870e06ed09,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,2914.84
T_FK_Supplier,282f4e9c7b2a4d608c53dbfa22a45877,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,9000
T_FK_Supplier,2837bdf01cd34fcd95f82d97fc80cd13,德阳经开区科纳机械租赁部,SCBS:BASE_SYSTEM_PROJECT:dc02610d76d441c1b74ad9e9b878d598,,payment,203700
T_FK_Supplier,284bb611c30c4bb6b6bfb1684eddb109,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,80000
T_FK_Supplier,286486783bbf4f679c702bbd3d343f1f,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,4.5
T_FK_Supplier,28baf16b570d4ecfb302f31aaf9fe756,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,200000
T_FK_Supplier,28bfd35958f246a0a2f5ab33f9a69e80,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,-32996
T_FK_Supplier,28c6f5497d884815a18b34de64919999,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,1446.84
T_FK_Supplier,28d5e1a0b3764f4f94dea6ba7d4ab9d1,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,42790
T_FK_Supplier,28eba8bc1754465eb888cf36828b149c,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,130120
T_FK_Supplier,291933d735774ba9946cff61208388c3,旌阳区加卓建筑材料经营部,SCBS:BASE_SYSTEM_PROJECT:ece713da76ed478e9db00944f170890a,,payment,110000
T_FK_Supplier,2928437b32e74b45ac31fff01d4ffc37,德阳森元路面工程有限公司,SCBS:BASE_SYSTEM_PROJECT:0d7cd766eb9f4d23b53761e593148e25,,payment,20
