legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code,legacy_stage_id,legacy_stage_name,legacy_region_id,legacy_region_name,legacy_state,legacy_deleted_flag,legacy_project_manager_name,legacy_technical_responsibility_name,current_db_project_id,evidence_file,idempotency_key,replay_action
0c8c213e89204a6fb61a4c8ac79f0d4a,16956351409840000,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包,,,1,四川保盛建设集团有限公司,460001,专业分包,0,自营,,,,0,,481c8515e212a856fc28894d55956ad3,,,,109363,16982984755550001,,,,,,0,,,2148,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0c8c213e89204a6fb61a4c8ac79f0d4a,create_if_missing
0cdd82e96265456494a1de15f36c433e,10613,何埂小学生化池及室外污水管网,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,421,b9d3edb542294a3da281e427cce9fdd6,,,,109583,16982985614760001,,,,,,0,,,2149,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0cdd82e96265456494a1de15f36c433e,create_if_missing
0d21826a7ebb4dbfb7317338baaf57a0,17534262554200000,重庆文理学院2025年附属工程项目(不可预测的零星维修工程),,,570,保盛重庆分公司,390001,房建工程,1,联营,,,,1,,c5d78cf70e527ec435234ff019c426f7,,,,223773,17543642802930000,,,,,0,0,,,2150,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0d21826a7ebb4dbfb7317338baaf57a0,create_if_missing
0dac2896cb43443eaaf4d5247683a40b,17458324018050000,2025年西南石油工程公司钻前主体工程劳务框架招标（6标段：罗江、黄许等地区）项目,,,1,四川保盛建设集团有限公司,450001,劳务工程,1,联营,,,,1,,eecc34a343980ab32656993f50085d9c,,,,212778,17468599323600000,,,,,0,0,,,2151,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0dac2896cb43443eaaf4d5247683a40b,create_if_missing
0db43c29f642442292d30f6b34c328a9,10679,巫山县大昌镇树木修剪及路灯更换服务合同,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,485,f618c1547ac44341b275c0bdc2dd51c5,,,,109527,16982984963050000,,,,,,0,,,2152,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0db43c29f642442292d30f6b34c328a9,create_if_missing
0dde523bf5414461b937c9d5d4c220cf,10575,53019工程、3644-3、4、3617消防工程,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,383,65145761e79f4feabbd7a400842ea881,,,,109619,16982985660850001,,,,,,0,,,2153,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0dde523bf5414461b937c9d5d4c220cf,create_if_missing
0e04e445c6304b5f9e3b79ffdde72eb1,10704,绵阳金能集中办公室维修改造项目,,正式项目,1,四川保盛建设集团有限公司,9430001,装饰装修,1,联营,,,,0,509,b077cba8490d419ca13181c92673b31d,,,,109510,16982984938830000,,,,,,0,,,2154,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0e04e445c6304b5f9e3b79ffdde72eb1,create_if_missing
0e4c810fe22644c399650bca0528898a,10655,2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目,,正式项目,1,四川保盛建设集团有限公司,9920001,房建工程,1,联营,,,,0,462,473d23f3b9d6444fa2290897704e5fe1,,,,109549,16982984990550001,,,,,,0,,,2155,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0e4c810fe22644c399650bca0528898a,create_if_missing
0f314b7eb259455f8ad3bb3419f66957,17551425995470000,绵竹市星旺大桥与货运通道连接匝道工程项目,,,1,四川保盛建设集团有限公司,400001,市政工程,1,联营,,,,1,,b55bff60091b30449d08ea2209c53b9a,,,,224475,17554790972650000,,,,,0,0,,,2156,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0f314b7eb259455f8ad3bb3419f66957,create_if_missing
0f3c19a871e446fc8cc9781f108d58e5,10448,米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,256,20564585f3254567ac4a78020d667829,,,,109718,16982985787420001,,,,,,0,,,2157,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0f3c19a871e446fc8cc9781f108d58e5,create_if_missing
