contract_id,legacy_contract_id,legacy_project_id,project_id,project_name,partner_id,partner_name,name,subject,type,state,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,line_count,is_locked
995,b01068d6db9b4a548c61e76067f4b5ca,2f52db447c8f40c386caad3664fade2b,2263,德阳市人民医院门诊大楼装饰工程,5869,德阳市人民医院,CONIN2600958,德阳市人民医院门诊大楼装饰工程,out,draft,DYS2022-89,WBHTGL-20221201-001,1000000826,2,,德阳市人民医院,0,False
996,b04535593b59458bb8c60ebfb05537c4,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,向东工程,5871,德阳市供水安装工程队,CONIN2600959,绿地集团德阳置业有限公司“绿地智慧公园五号地块”施工用水工程,out,draft,DYS2022-16-46,WBHTGL-20220726-024,1000000721,2,,德阳市供水安装工程队,0,False
997,b0681a294fd14b9ea5a7edb78d132ab3,55a317a482484e6fb37f023de6f063e7,2388,凯州新城城乡一体化项目配套建设工程保温工程专业分包,4475,德阳蓉北建设工程有限公司,CONIN2600960,凯州新城城乡一体化项目配套建设工程保温工程专业分包,out,draft,DYS2023-183,WBHTGL-20231204-001,17016615726200000,2,0,德阳蓉北建设工程有限公司,0,False
998,b07290310f43444c8039a8540c9b0c32,3ce020ce08294f8dbdb7c86f5d9ba50a,2302,德阳市泰山路（金沙江路-新收费站）提档升级改造工程,4322,德阳市建设投资发展集团有限公司,CONIN2600961,德阳市泰山路（金沙江路-新收费站）提档升级改造工程,out,draft,DYS2019-05,WBHTGL-20200229-014,1000000048,2,,德阳市建设投资发展集团有限公司,0,False
999,b0aea509a0d9444092dc617727f80a33,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600962,北区家属区合围及铺设人行通道,out,draft,DYS2022-04-13,WBHTGL-20220920-003,1000000764,2,,四川工程职业技术学院,0,False
1000,b0e0f0da22c241009e8068ce893ec66f,65e7a3336fe04151962cc866422cd5fa,2428,中国电信股份有限公司成都分公司2024年大邑县城区电信大楼外墙景观照明项目,2272,中国电信股份有限公司成都分公司,CONIN2600963,中国电信股份有限公司成都分公司2024年大邑县城区电信大楼外墙景观照明项目,out,draft,CDS2024-262,WBHTGL-20241231-001,17356175847560000,2,0,中国电信股份有限公司成都分公司,0,False
1001,b0ff7322d9764700b0837444dff7f91d,9ebba094a48443a39dd7e1421da8dfbb,2588,刘伟零星工程项目,4206,广日电梯（四川）有限公司,CONIN2600964,广日股份数字化示范产业园食堂燃气报警及送排风联动系统安装,out,draft,DYS2022-39-26,WBHTGL-20221208-002,1000000832,2,,广日电梯（四川）有限公司,0,False
1002,b1305a9dd0744971a71644074a964922,96af7424fa7747b48aae24ab669caa3e,2570,旌兴·和悦雲岸1#-11#楼项目公区精装修工程专业分包,3681,中建三局集团有限公司,CONIN2600965,旌兴·和悦雲岸 1#-11#楼项目,out,draft,DYS2026-14,WBHTGL-20260126-001,17693959034700000,2,0,中建三局集团有限公司,0,False
1003,b180c0025c5841c3b99f6476074e0791,5090c7dcbced4376817b6721cf5db568,2369,英吉沙县乡村两级锅炉改造项目第三标段,90,中共英吉沙县委员会组织部,CONIN2600966,英吉沙县乡村两级锅炉改造项目第三标段,out,draft,XJ2024-230,WBHTGL-20241024-001,17297340849400000,2,0,中共英吉沙县委员会组织部,0,False
1004,b1aee8fac5884c9fac710ac3577f6a77,17510e7ec153446ca14f6efa72d6c899,2183,天府国际机场航站区配套市政工程施工三标段（二工区）雨污管网及土石方回填工程,4966,重庆市秀安建筑工程有限公司,CONIN2600967,天府国际机场航站区配套市政工程施工三标段（二工区）雨污管网及土石方回填工程,out,draft,CDS2019-15,WBHTGL-20200229-026,1000000060,2,,重庆市秀安建筑工程有限公司,0,False
1005,b1b187a978ef4dd1a2c73ff7606213e8,9ebba094a48443a39dd7e1421da8dfbb,2588,刘伟零星工程项目,4491,成都七天四季投资管理有限公司德阳文庙广场店,CONIN2600968,成都七天四季投资管理有限公司德阳文庙广场店锅炉房燃气报警系统安装工程,out,draft,DYS2023-92,WBHTGL-20230728-001,1000000979,2,0,成都七天四季投资管理有限公司德阳文庙广场店,0,False
