model,description,count,actions,views,present_pairs,visible_pairs,with_creator,with_time,technical_creator,technical_time,non_business_creator,source_backfill_gaps,accepted_entry_mismatches,state
sc.subcontract.price,分包价格库,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.subcontract.register,分包登记,0,1,7,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.subcontract.request,分包申请,721,3,12,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",710,721,0,0,0,0,0,ok_visible
sc.subcontract.settlement,分包结算,0,1,7,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.tax.deduction.registration,抵扣登记,10231,6,17,"[""creator_name/created_time"", ""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",10221,10231,0,0,0,0,0,ok_visible
sc.treasury.ledger,资金台账,18347,3,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",15825,9413,0,0,0,0,0,ok_visible
sc.treasury.reconciliation,资金对账,20060,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",20060,20060,0,0,0,0,0,ok_visible
sc.workbench.item,工作台事项,159404,2,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",156414,159404,0,0,0,0,0,ok_visible
tender.bid,投标管理,13101,5,9,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",5625,5700,0,0,0,0,0,ok_visible
tender.doc.purchase,投标文件购买申请,240,2,3,"[""legacy_source_created_by/legacy_source_created_at""]","[""legacy_source_created_by/legacy_source_created_at"", ""source_created_by/source_created_at""]",240,240,0,0,0,,0,ok_visible
tender.guarantee,投标保证金,7439,6,16,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
tender.opening,开标登记,2828,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
