map_id,material_key,legacy_material_id,material_name,spec_model,uom_text,company_id,company_name,mapping_state,coverage_state,amount_total,line_rows,header_rows,proposed_action,target_catalog_id,target_catalog_name,apply_status
19,3a96749dd67f4bf4b7a1c9d0db110401|黄金麻||M2,3a96749dd67f4bf4b7a1c9d0db110401,黄金麻,,M2,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,250000.0,1,1,already_linked,1711977,黄金麻,confirmed_existing_link
20,1d9f01a0113148aeb185eadd300de04e|花岗石||M3,1d9f01a0113148aeb185eadd300de04e,花岗石,,M3,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,200000.0,2,2,already_linked,1497123,花岗石,confirmed_existing_link
21,440d53bc5e9d4a2a94071a0ccad5de0a|连砂石||m2,440d53bc5e9d4a2a94071a0ccad5de0a,连砂石,,m2,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,187000.0,1,1,already_linked,1977939,连砂石,confirmed_existing_link
22,8889b25f13a24b4e8da96d3f6f16ad5d|防裂贴||米,8889b25f13a24b4e8da96d3f6f16ad5d,防裂贴,,米,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,142398.0,1,1,already_linked,1856992,防裂贴,confirmed_existing_link
23,8b62db29fa624262a86b00cb9384768f|不锈钢栏杆||㎡,8b62db29fa624262a86b00cb9384768f,不锈钢栏杆,,㎡,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,140400.0,1,1,already_linked,1524501,不锈钢栏杆,confirmed_existing_link
24,42d6b22c111848f1ab5f68341c12fe3b|真石漆||kg,42d6b22c111848f1ab5f68341c12fe3b,真石漆,,kg,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,102227.4,2,2,already_linked,1559212,真石漆,confirmed_existing_link
25,6354409660494a0c82af786604f1bf17|商品混凝土|C20|m3,6354409660494a0c82af786604f1bf17,商品混凝土,C20,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,4512350.84,10,10,create_catalog,6840661,商品混凝土,created_catalog
26,b17fdf37c172431ca2a4d56fa4759d62|商品混凝土|C30|立方米,b17fdf37c172431ca2a4d56fa4759d62,商品混凝土,C30,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,3158699.76,12,12,create_catalog,6840662,商品混凝土,created_catalog
27,eb1f9ff787a24dba9ee20723707f6110|商品混凝土|C35P8|立方米,eb1f9ff787a24dba9ee20723707f6110,商品混凝土,C35P8,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,2801890.0,5,5,create_catalog,6840663,商品混凝土,created_catalog
28,51948c07f10740b69aa4300c2ff62911|商品混凝土|C20|M3,51948c07f10740b69aa4300c2ff62911,商品混凝土,C20,M3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,2037999.74,16,16,create_catalog,6840664,商品混凝土,created_catalog
29,ba944f5415d6498280ee8242ab2d1d9c|商品混凝土|C25|立方米,ba944f5415d6498280ee8242ab2d1d9c,商品混凝土,C25,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,1948676.73,13,13,create_catalog,6840665,商品混凝土,created_catalog
30,0dd03d3aed624015a78645b47cbed417|沥青混凝土|改性AC-13|t,0dd03d3aed624015a78645b47cbed417,沥青混凝土,改性AC-13,t,1,四川保盛建设集团有限公司,confirmed,catalog_missing,1659850.0,1,1,create_catalog,6840666,沥青混凝土,created_catalog
31,9ab5067cd1094dc58704accffdf4b079|承重内保温球墨铸铁井盖|700*75T|个,9ab5067cd1094dc58704accffdf4b079,承重内保温球墨铸铁井盖,700*75T,个,1,四川保盛建设集团有限公司,confirmed,catalog_missing,1508550.0,1,1,create_catalog,6840667,承重内保温球墨铸铁井盖,created_catalog
32,2d0fbc89f3dc434cb6711dd8cfca7856|商品混凝土|C30|m3,2d0fbc89f3dc434cb6711dd8cfca7856,商品混凝土,C30,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,1116476.0,6,6,create_catalog,6840668,商品混凝土,created_catalog
33,b8b5b42b765a4b3bb975fc9a589140b2|砂石|机砂|吨,b8b5b42b765a4b3bb975fc9a589140b2,砂石,机砂,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,1017107.35,7,7,create_catalog,6840669,砂石,created_catalog
34,8d83632cb4f5437395ca5504352e99a3|二灰废料||M3,8d83632cb4f5437395ca5504352e99a3,二灰废料,,M3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,1009716.0,3,3,create_catalog,6840670,二灰废料,created_catalog
35,69043f56addb4e909419e2cce6b5dacc|块石|200mm~800mm|m3,69043f56addb4e909419e2cce6b5dacc,块石,200mm~800mm,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,919010.0,2,2,create_catalog,6840671,块石,created_catalog
36,3cc6d10f287e404ab2b45e39d9fe6c99|仿花岗石芝麻灰pc砖|300*600*50|平方,3cc6d10f287e404ab2b45e39d9fe6c99,仿花岗石芝麻灰pc砖,300*600*50,平方,1,四川保盛建设集团有限公司,confirmed,catalog_missing,875200.88,7,7,create_catalog,6840672,仿花岗石芝麻灰pc砖,created_catalog
37,001764a2bd3a44aa808eeae067a48926|螺纹钢HRB400E|14|吨,001764a2bd3a44aa808eeae067a48926,螺纹钢HRB400E,14,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,863870.24,3,3,create_catalog,6840673,螺纹钢HRB400E,created_catalog
38,75149db58f034e6d8cbc32fdbfd0fd51|烧结普通砖|240*115*53mm|匹,75149db58f034e6d8cbc32fdbfd0fd51,烧结普通砖,240*115*53mm,匹,1,四川保盛建设集团有限公司,confirmed,catalog_missing,826390.44,4,4,create_catalog,6840674,烧结普通砖,created_catalog
39,af2584e2b70e43d78d6c6656d6ca85ce|PC砖||M2,af2584e2b70e43d78d6c6656d6ca85ce,PC砖,,M2,1,四川保盛建设集团有限公司,confirmed,catalog_missing,802563.95,3,3,create_catalog,6840675,PC砖,created_catalog
40,7b02672d31284f8c94be9b74f9aeb567|pc砖||平方米,7b02672d31284f8c94be9b74f9aeb567,pc砖,,平方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,800046.0,1,1,create_catalog,6840676,pc砖,created_catalog
41,b6d5f078843647d2a9833e1bb3a9d7b7|仿花岗岩芝麻灰PC路缘石|1000*300*150|立方,b6d5f078843647d2a9833e1bb3a9d7b7,仿花岗岩芝麻灰PC路缘石,1000*300*150,立方,1,四川保盛建设集团有限公司,confirmed,catalog_missing,782998.19,3,3,create_catalog,6840677,仿花岗岩芝麻灰PC路缘石,created_catalog
42,a889a257c85f446099efbe4eb9a3a37b|地铺石|300*600|,a889a257c85f446099efbe4eb9a3a37b,地铺石,300*600,,1,四川保盛建设集团有限公司,confirmed,catalog_missing,766078.0,7,3,create_catalog,6840678,地铺石,created_catalog
43,ea05d38044194c80b4d1cf39940ff662|砂石|1-3石|吨,ea05d38044194c80b4d1cf39940ff662,砂石,1-3石,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,718978.12,3,3,create_catalog,6840679,砂石,created_catalog
44,40c5048ebeb147c7928e3fca32df455e|中粒式改性沥青砼|AC-20|吨,40c5048ebeb147c7928e3fca32df455e,中粒式改性沥青砼,AC-20,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,697200.0,1,1,create_catalog,6840680,中粒式改性沥青砼,created_catalog
45,15bad534041b4f548dca2f778b8d4955|商品混凝土|C30P8|立方米,15bad534041b4f548dca2f778b8d4955,商品混凝土,C30P8,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,693620.0,3,3,create_catalog,6840681,商品混凝土,created_catalog
46,aa3f846e074a437986ff6bf6eef67c97|标砖|240*115*53|匹,aa3f846e074a437986ff6bf6eef67c97,标砖,240*115*53,匹,1,四川保盛建设集团有限公司,confirmed,catalog_missing,668776.55,7,7,create_catalog,6840682,标砖,created_catalog
47,71c7b525fe54427786dec5f43588453d|商品混凝土|C15|立方米,71c7b525fe54427786dec5f43588453d,商品混凝土,C15,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,659995.98,9,9,create_catalog,6840683,商品混凝土,created_catalog
48,4f5621c67c1a46bcb1ba6c876cb309a1|干混地面砂浆|M20|t,4f5621c67c1a46bcb1ba6c876cb309a1,干混地面砂浆,M20,t,1,四川保盛建设集团有限公司,confirmed,catalog_missing,616614.29,8,7,create_catalog,6840684,干混地面砂浆,created_catalog
49,eca68bba74e14a6d86b90099bbe4a418|沥青混凝土|AC-20C|m3,eca68bba74e14a6d86b90099bbe4a418,沥青混凝土,AC-20C,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,587572.77,1,1,create_catalog,6840685,沥青混凝土,created_catalog
50,f0f285ff96ed493aa7e6226a36b3a4a9|CPVC电力管|φ200*10mmSN≥8|m,f0f285ff96ed493aa7e6226a36b3a4a9,CPVC电力管,φ200*10mmSN≥8,m,1,四川保盛建设集团有限公司,confirmed,catalog_missing,561316.55,2,2,create_catalog,6840686,CPVC电力管,created_catalog
51,894c684f571f4d19980afcdaeb4bc342|商品混泥土|C20|立方米,894c684f571f4d19980afcdaeb4bc342,商品混泥土,C20,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,534300.0,1,1,create_catalog,6840687,商品混泥土,created_catalog
52,52a8ce327ab44189bcd4909fa8fc6e3e|仿花岗岩芝麻灰pc路缘石|1000*300*150|立方,52a8ce327ab44189bcd4909fa8fc6e3e,仿花岗岩芝麻灰pc路缘石,1000*300*150,立方,1,四川保盛建设集团有限公司,confirmed,catalog_missing,527999.88,5,5,create_catalog,6840688,仿花岗岩芝麻灰pc路缘石,created_catalog
53,1113eee7facf48b282d2887f25ef19f2|水泥|42.5袋装|吨,1113eee7facf48b282d2887f25ef19f2,水泥,42.5袋装,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,519495.0,7,7,create_catalog,6840689,水泥,created_catalog
54,df94bafca71c45c788f7f3b998ea4f83|花岗石透水砖|芝麻灰荔枝面 5cm厚|m2,df94bafca71c45c788f7f3b998ea4f83,花岗石透水砖,芝麻灰荔枝面 5cm厚,m2,1,四川保盛建设集团有限公司,confirmed,catalog_missing,512651.29,1,1,create_catalog,6840690,花岗石透水砖,created_catalog
55,cf3c336ad94744ba9fb1e0b97626d3b1|汉白玉栏杆||米,cf3c336ad94744ba9fb1e0b97626d3b1,汉白玉栏杆,,米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,495285.0,6,6,create_catalog,6840691,汉白玉栏杆,created_catalog
56,eeab71bc7b5448f198ccc88d1b1e0a89|商品混凝土|C25|m3,eeab71bc7b5448f198ccc88d1b1e0a89,商品混凝土,C25,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,482192.68,6,6,create_catalog,6840692,商品混凝土,created_catalog
57,8d3c135ba8394646b7f99c495570ba1f|电线电缆WDZN-YJV|5*25|M,8d3c135ba8394646b7f99c495570ba1f,电线电缆WDZN-YJV,5*25,M,1,四川保盛建设集团有限公司,confirmed,catalog_missing,468602.0,5,4,create_catalog,6840693,电线电缆WDZN-YJV,created_catalog
58,515fa5829f154642b97cab5400b4c3c5|螺纹钢HRB400E|16|吨,515fa5829f154642b97cab5400b4c3c5,螺纹钢HRB400E,16,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,448076.49,3,3,create_catalog,6840694,螺纹钢HRB400E,created_catalog
59,95b248d9069d4eaaa01084dfdd9e9e18|HDPE钢带增强聚乙烯螺旋波纹管|DN1600SN≥10|m,95b248d9069d4eaaa01084dfdd9e9e18,HDPE钢带增强聚乙烯螺旋波纹管,DN1600SN≥10,m,1,四川保盛建设集团有限公司,confirmed,catalog_missing,436500.0,1,1,create_catalog,6840695,HDPE钢带增强聚乙烯螺旋波纹管,created_catalog
60,db6b43eb0ac949b8a20290daae159226|沥青混凝土|AC-16C|立方米,db6b43eb0ac949b8a20290daae159226,沥青混凝土,AC-16C,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,425495.74,1,1,create_catalog,6840696,沥青混凝土,created_catalog
61,eb4c2881afc5489ebb01d48999b4587b|商品混泥土|C30|立方米,eb4c2881afc5489ebb01d48999b4587b,商品混泥土,C30,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,411600.0,1,1,create_catalog,6840697,商品混泥土,created_catalog
62,de4f4a2ac5304ddeacef70ebd49a0317|盘螺 HRB400E|Ф8|吨,de4f4a2ac5304ddeacef70ebd49a0317,盘螺 HRB400E,Ф8,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,402450.63,2,1,create_catalog,6840698,盘螺 HRB400E,created_catalog
63,d68fae4566ea46318afbd1905bea5b1a|胶合板（建筑模板）|1830*915*12|张,d68fae4566ea46318afbd1905bea5b1a,胶合板（建筑模板）,1830*915*12,张,1,四川保盛建设集团有限公司,confirmed,catalog_missing,378000.0,12,12,create_catalog,6840699,胶合板（建筑模板）,created_catalog
64,42663711adb940dcbe9306ffc090298b|铜芯电缆YJV5*120||米,42663711adb940dcbe9306ffc090298b,铜芯电缆YJV5*120,,米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,360000.0,1,1,create_catalog,6840700,铜芯电缆YJV5*120,created_catalog
65,bb9d830edf92476dbc824ac2f07bb98f|沥青混凝土|AC-13C|立方米,bb9d830edf92476dbc824ac2f07bb98f,沥青混凝土,AC-13C,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,339993.22,1,1,create_catalog,6840701,沥青混凝土,created_catalog
66,dbbd23881fe54b7782ceb349218d6620|毛条石|500mm~800mm|m3,dbbd23881fe54b7782ceb349218d6620,毛条石,500mm~800mm,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,337009.0,2,2,create_catalog,6840702,毛条石,created_catalog
67,a3e97b0639ed40dbb05a14624294f246|螺纹钢HRB400E|18|吨,a3e97b0639ed40dbb05a14624294f246,螺纹钢HRB400E,18,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,330990.5,4,4,create_catalog,6840703,螺纹钢HRB400E,created_catalog
68,79b47659423a4a229068e86103820754|螺纹钢|HRB400E 22|吨,79b47659423a4a229068e86103820754,螺纹钢,HRB400E 22,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,313484.24,3,3,create_catalog,6840704,螺纹钢,created_catalog
69,640b03c70a204807bfa1ddd9ebdb166a|商品水稳层|5%|吨,640b03c70a204807bfa1ddd9ebdb166a,商品水稳层,5%,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,302900.15,1,1,create_catalog,6840705,商品水稳层,created_catalog
70,60d5bf2f888e4908a5b56ae0a553e801|商品水稳层|4%|吨,60d5bf2f888e4908a5b56ae0a553e801,商品水稳层,4%,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,302900.15,1,1,create_catalog,6840706,商品水稳层,created_catalog
71,6fef288ead32418aa24d7d3aa5f8679e|商品混凝土|C20透水|m3,6fef288ead32418aa24d7d3aa5f8679e,商品混凝土,C20透水,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,289836.0,2,2,create_catalog,6840707,商品混凝土,created_catalog
72,b396169b14ba4131a0d02920b2ff8bd0|LED教室灯|1195*295*57mm   XTJQ3012-36N/T|,b396169b14ba4131a0d02920b2ff8bd0,LED教室灯,1195*295*57mm   XTJQ3012-36N/T,,1,四川保盛建设集团有限公司,confirmed,catalog_missing,286740.0,1,1,create_catalog,6840708,LED教室灯,created_catalog
73,04ad3b0223994cb5b2002bda62191477|仿花岗石盲道pc砖|300*600*50|平方,04ad3b0223994cb5b2002bda62191477,仿花岗石盲道pc砖,300*600*50,平方,1,四川保盛建设集团有限公司,confirmed,catalog_missing,276120.0,2,2,create_catalog,6840709,仿花岗石盲道pc砖,created_catalog
74,cf520000401d482a92370762c21aba04|钢带缠绕管|DN1600  SN10|米,cf520000401d482a92370762c21aba04,钢带缠绕管,DN1600  SN10,米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,274890.0,1,1,create_catalog,6840710,钢带缠绕管,created_catalog
75,79f0c10f12bc442188f0bcae6711dbb0|CPVC管|φ200|m,79f0c10f12bc442188f0bcae6711dbb0,CPVC管,φ200,m,1,四川保盛建设集团有限公司,confirmed,catalog_missing,270627.84,1,1,create_catalog,6840711,CPVC管,created_catalog
76,1bd3d6f1b22b409e860323db0a9ad430|芝麻灰花岗石路沿石|900*300*150|米,1bd3d6f1b22b409e860323db0a9ad430,芝麻灰花岗石路沿石,900*300*150,米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,270000.0,1,1,create_catalog,6840712,芝麻灰花岗石路沿石,created_catalog
77,fdc23934533f47909039feac328f372a|商砼|C20|m3,fdc23934533f47909039feac328f372a,商砼,C20,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,269700.0,3,3,create_catalog,6840713,商砼,created_catalog
78,076464c55e8a475ea13911e1120552d6|PVC-C|φ200*10mmSN≥8|m,076464c55e8a475ea13911e1120552d6,PVC-C,φ200*10mmSN≥8,m,1,四川保盛建设集团有限公司,confirmed,catalog_missing,265041.45,3,3,create_catalog,6840714,PVC-C,created_catalog
79,fc1203fdeabb4f7fb2d30a7051504cd8|商品混凝土|C40P6|m3,fc1203fdeabb4f7fb2d30a7051504cd8,商品混凝土,C40P6,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,261520.65,3,3,create_catalog,6840715,商品混凝土,created_catalog
80,b3ee27725ba641d7b4820911d72c4dc6|螺纹钢HRB400E|12|吨,b3ee27725ba641d7b4820911d72c4dc6,螺纹钢HRB400E,12,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,254801.32,8,8,create_catalog,6840716,螺纹钢HRB400E,created_catalog
81,ffb2811d7b2a4a0e9f40793e88f9ba97|花岗石人行道板芝麻灰烧面|30x60x5|平方米,ffb2811d7b2a4a0e9f40793e88f9ba97,花岗石人行道板芝麻灰烧面,30x60x5,平方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,249289.78,2,2,create_catalog,6840717,花岗石人行道板芝麻灰烧面,created_catalog
82,6fb7c5bab39a4b03b13e150e72d5e764|综合排管|DN125*4.5mm 热镀锌钢管|m,6fb7c5bab39a4b03b13e150e72d5e764,综合排管,DN125*4.5mm 热镀锌钢管,m,1,四川保盛建设集团有限公司,confirmed,catalog_missing,246984.19,2,2,create_catalog,6840718,综合排管,created_catalog
83,74aeb280d6054abcb88a34065df8440a|无缝钢管|168*8|吨,74aeb280d6054abcb88a34065df8440a,无缝钢管,168*8,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,246792.84,1,1,create_catalog,6840719,无缝钢管,created_catalog
84,99af91e664884fd2a547a0e2a9de5c1f|水泥稳定级配料|5%|吨,99af91e664884fd2a547a0e2a9de5c1f,水泥稳定级配料,5%,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,245874.0,2,2,create_catalog,6840720,水泥稳定级配料,created_catalog
85,3f1db50ddd7f40f89aeb1d477c1d5117|SBS改性沥青混凝土|AC-13C|m3,3f1db50ddd7f40f89aeb1d477c1d5117,SBS改性沥青混凝土,AC-13C,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,244474.14,1,1,create_catalog,6840721,SBS改性沥青混凝土,created_catalog
86,4951dc83d39448bc889c72778f98757c|碎石|10-30mm|吨,4951dc83d39448bc889c72778f98757c,碎石,10-30mm,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,240240.0,1,1,create_catalog,6840722,碎石,created_catalog
87,311efe8a29684cf09f76ad87a48f6e87|RPF格栅盖板||㎡,311efe8a29684cf09f76ad87a48f6e87,RPF格栅盖板,,㎡,1,四川保盛建设集团有限公司,confirmed,catalog_missing,237300.0,1,1,create_catalog,6840723,RPF格栅盖板,created_catalog
88,316c2b1eb6a1464a9495c1546aca9640|干混抹灰砂浆|M7.5|t,316c2b1eb6a1464a9495c1546aca9640,干混抹灰砂浆,M7.5,t,1,四川保盛建设集团有限公司,confirmed,catalog_missing,234600.0,3,3,create_catalog,6840724,干混抹灰砂浆,created_catalog
89,0d84fe22cdfb4701974263bc0e5a7c58|硅酸盐水泥|32.5号散装|吨,0d84fe22cdfb4701974263bc0e5a7c58,硅酸盐水泥,32.5号散装,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,231502.35,3,1,create_catalog,6840725,硅酸盐水泥,created_catalog
90,6c2044e8f159487e927b1a26ed069afa|块石|200mm800mm|m3,6c2044e8f159487e927b1a26ed069afa,块石,200mm800mm,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,229105.8,1,1,create_catalog,6840726,块石,created_catalog
91,6d988117d2814453be1c61e5472ca076|京式护栏|1.0m*3.0m；护栏80*80*3；横梁40*60*3；竖杆16圆*1.5厚；两边扁铁5.0厚；11个弯弧（厚度±0.2）|m,6d988117d2814453be1c61e5472ca076,京式护栏,1.0m*3.0m；护栏80*80*3；横梁40*60*3；竖杆16圆*1.5厚；两边扁铁5.0厚；11个弯弧（厚度±0.2）,m,1,四川保盛建设集团有限公司,confirmed,catalog_missing,226419.0,1,1,create_catalog,6840727,京式护栏,created_catalog
92,e1df2b9fe13642e997f5446f5c8cf72c|钢筋HRB400E|Φ14|吨,e1df2b9fe13642e997f5446f5c8cf72c,钢筋HRB400E,Φ14,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,224312.76,1,1,create_catalog,6840728,钢筋HRB400E,created_catalog
93,d11f5feb164d4ca79c91d51daadd4534|盘螺HRB400E|Φ8E|吨,d11f5feb164d4ca79c91d51daadd4534,盘螺HRB400E,Φ8E,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,218000.5,2,2,create_catalog,6840729,盘螺HRB400E,created_catalog
94,c1db75831a4d4b2b9856fc57a80b53f3|花岗石芝麻黑马蹄石|100*100*50|平方米,c1db75831a4d4b2b9856fc57a80b53f3,花岗石芝麻黑马蹄石,100*100*50,平方米,1,四川保盛建设集团有限公司,confirmed,catalog_missing,214970.0,5,3,create_catalog,6840730,花岗石芝麻黑马蹄石,created_catalog
95,0621825e114149dfad13b39d6015f4fd|砂石|自然砂|吨,0621825e114149dfad13b39d6015f4fd,砂石,自然砂,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,214065.1,5,5,create_catalog,6840731,砂石,created_catalog
96,f40f89a339c243f88c1bd24511dbe91a|非固化橡胶沥青防水涂料|20kg|kg,f40f89a339c243f88c1bd24511dbe91a,非固化橡胶沥青防水涂料,20kg,kg,1,四川保盛建设集团有限公司,confirmed,catalog_missing,211876.0,1,1,create_catalog,6840732,非固化橡胶沥青防水涂料,created_catalog
97,24446409da884e1fb465fcc3972b491c|仿芝麻灰烧面石英砖|300*900*20|㎡,24446409da884e1fb465fcc3972b491c,仿芝麻灰烧面石英砖,300*900*20,㎡,1,四川保盛建设集团有限公司,confirmed,catalog_missing,210112.16,1,1,create_catalog,6840733,仿芝麻灰烧面石英砖,created_catalog
98,277c57c920d54eab9456b52fbbe2e789|湿铺高分子膜基防水卷材(E类)|1.5mm|㎡,277c57c920d54eab9456b52fbbe2e789,湿铺高分子膜基防水卷材(E类),1.5mm,㎡,1,四川保盛建设集团有限公司,confirmed,catalog_missing,203580.0,1,1,create_catalog,6840734,湿铺高分子膜基防水卷材(E类),created_catalog
99,dd65864df5604e0986f98545ad195d4d|螺纹钢HRB400E|25|吨,dd65864df5604e0986f98545ad195d4d,螺纹钢HRB400E,25,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,201913.68,4,4,create_catalog,6840735,螺纹钢HRB400E,created_catalog
100,9666e677bd6b478a9334669deb47587c|CGP强粘高分子防水涂料||kg,9666e677bd6b478a9334669deb47587c,CGP强粘高分子防水涂料,,kg,1,四川保盛建设集团有限公司,confirmed,catalog_missing,200808.0,2,2,create_catalog,6840736,CGP强粘高分子防水涂料,created_catalog
101,770d50b61cf34ab99d15b36c359bc823|胶合板|1830*915*13|批,770d50b61cf34ab99d15b36c359bc823,胶合板,1830*915*13,批,1,四川保盛建设集团有限公司,confirmed,catalog_missing,200760.0,1,1,create_catalog,6840737,胶合板,created_catalog
102,59fc15cf7b5443b29319f55295629d99|仿花岗岩芝麻灰PC砖|300*300*50|㎡,59fc15cf7b5443b29319f55295629d99,仿花岗岩芝麻灰PC砖,300*300*50,㎡,1,四川保盛建设集团有限公司,confirmed,catalog_missing,200000.0,1,1,create_catalog,6840738,仿花岗岩芝麻灰PC砖,created_catalog
103,fbf950835adf47e983ed505547145938|螺纹钢HRB400E|20|吨,fbf950835adf47e983ed505547145938,螺纹钢HRB400E,20,吨,1,四川保盛建设集团有限公司,confirmed,catalog_missing,199967.11,4,4,create_catalog,6840739,螺纹钢HRB400E,created_catalog
104,20fb4003eeb644e69656a5324301a1a6|陶瓷承重砖|300*600*20|m3,20fb4003eeb644e69656a5324301a1a6,陶瓷承重砖,300*600*20,m3,1,四川保盛建设集团有限公司,confirmed,catalog_missing,198000.0,2,1,create_catalog,6840740,陶瓷承重砖,created_catalog
