external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_id
legacy_partner_sc_7064701716134e2e9d7f043aea62a32d,绵阳顺风同舟商贸有限公司,company,1,91510705MADK14873W,,,7064701716134e2e9d7f043aea62a32d,cooperat_company,绵阳顺风同舟商贸有限公司,91510705MADK14873W,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,7064701716134e2e9d7f043aea62a32d
legacy_partner_sc_707ba75375044312957de80cd98b3dd3,重庆弘烁科技有限责任公司,company,1,915001193316790708,,,707ba75375044312957de80cd98b3dd3,cooperat_company,重庆弘烁科技有限责任公司,915001193316790708,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,707ba75375044312957de80cd98b3dd3
legacy_partner_sc_707f5599dc214013aa4e965260de32b9,什邡市雍城街道恒永利建材经营部,company,1,,,,707f5599dc214013aa4e965260de32b9,cooperat_company,什邡市雍城街道恒永利建材经营部,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,707f5599dc214013aa4e965260de32b9
legacy_partner_sc_7083d14d32c8488a8fe2b0d0c0da11ab,德阳新星华建建筑工程有限公司,company,1,,,,7083d14d32c8488a8fe2b0d0c0da11ab,company_supplier,德阳新星华建建筑工程有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,7083d14d32c8488a8fe2b0d0c0da11ab
legacy_partner_sc_708a623aad61476c896ea812f657b158,四川蜀骁金属结构有限公司,company,1,91510100MA68QAXN2Y,,,708a623aad61476c896ea812f657b158,cooperat_company,四川蜀骁金属结构有限公司,91510100MA68QAXN2Y,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,708a623aad61476c896ea812f657b158
legacy_partner_sc_70b2cd194ff844f3bd5a71050b06612e,高新技术产业开发区圣达地板经营部,company,1,92500107MASUR1H44X,,,70b2cd194ff844f3bd5a71050b06612e,cooperat_company,高新技术产业开发区圣达地板经营部,92500107MASUR1H44X,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,70b2cd194ff844f3bd5a71050b06612e
legacy_partner_sc_70be9def23eb47078e4dc2f57bb741dd,天津市南开区兴宇鑫线缆销售中心,company,1,92120104MA05QPB790,,,70be9def23eb47078e4dc2f57bb741dd,cooperat_company,天津市南开区兴宇鑫线缆销售中心,92120104MA05QPB790,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,70be9def23eb47078e4dc2f57bb741dd
legacy_partner_sc_70e11fe157254762975553800e1cf9b6,喀什市利疆电线电缆销售部,company,1,92653101MA78PDHX7D,,,70e11fe157254762975553800e1cf9b6,cooperat_company,喀什市利疆电线电缆销售部,92653101MA78PDHX7D,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,70e11fe157254762975553800e1cf9b6
legacy_partner_sc_70f980eebed24310a4654e11c8b5ac67,广州市花都区炭步旺森花木场,company,1,92440101MA5CXFN63R,,,70f980eebed24310a4654e11c8b5ac67,cooperat_company,广州市花都区炭步旺森花木场,92440101MA5CXFN63R,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,70f980eebed24310a4654e11c8b5ac67
legacy_partner_sc_710efd248567448b85cb6a7eba07bbaa,绵阳蜀辰盘扣工程技术有限公司,company,1,91510700MACCMT3T5K,,,710efd248567448b85cb6a7eba07bbaa,cooperat_company,绵阳蜀辰盘扣工程技术有限公司,91510700MACCMT3T5K,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,710efd248567448b85cb6a7eba07bbaa
legacy_partner_sc_711f750d30b741029f0d92546e4d73e1,中江县凯江镇鸿盛彩钢经营部,company,1,92510623MA650NG15Y,,,711f750d30b741029f0d92546e4d73e1,company_supplier,中江县凯江镇鸿盛彩钢经营部,,92510623MA650NG15Y,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,711f750d30b741029f0d92546e4d73e1
legacy_partner_sc_7149f1b61d534b069aa3d417e02cd352,四川君泰鑫祥建材有限公司,company,1,91510112MA66QAJK74,,,7149f1b61d534b069aa3d417e02cd352,company_supplier,四川君泰鑫祥建材有限公司,,91510112MA66QAJK74,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,7149f1b61d534b069aa3d417e02cd352
legacy_partner_sc_714fb0c8401c4cc7848202a7752b931d,四川勇兴建筑工程有限公司,company,1,91510600558233364J,,,714fb0c8401c4cc7848202a7752b931d,cooperat_company,四川勇兴建筑工程有限公司,91510600558233364J,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,714fb0c8401c4cc7848202a7752b931d
legacy_partner_sc_71a1d50b26ba4de39c5b26eb12175f8c,重庆芳美嘉建材有限公司,company,1,91500107MA60C1DGX0,,,71a1d50b26ba4de39c5b26eb12175f8c,cooperat_company,重庆芳美嘉建材有限公司,91500107MA60C1DGX0,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,71a1d50b26ba4de39c5b26eb12175f8c
legacy_partner_sc_71a32753049b40fab7b68a39b47bcdc5,成都方迪九舟建材有限公司,company,1,91510108MAACHJHGXJ,,,71a32753049b40fab7b68a39b47bcdc5,cooperat_company,成都方迪九舟建材有限公司,91510108MAACHJHGXJ,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,71a32753049b40fab7b68a39b47bcdc5
legacy_partner_sc_71b63095e6994969b1fa5b08fdcdde50,麦盖提县盛源水利电力工程有限公司,company,1,91653127MA77702T48,,,71b63095e6994969b1fa5b08fdcdde50,cooperat_company,麦盖提县盛源水利电力工程有限公司,91653127MA77702T48,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,71b63095e6994969b1fa5b08fdcdde50
legacy_partner_sc_71e1964be28743e4a69e4f62fd841050,四川日升昌科技有限公司,company,1,,,,71e1964be28743e4a69e4f62fd841050,company_supplier,四川日升昌科技有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,71e1964be28743e4a69e4f62fd841050
legacy_partner_sc_71eba2c3a3004d54ae6dc10b794232be,四川方元绿洲新材料科技有限公司,company,1,91510600076131269A,,,71eba2c3a3004d54ae6dc10b794232be,cooperat_company,四川方元绿洲新材料科技有限公司,91510600076131269A,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,71eba2c3a3004d54ae6dc10b794232be
legacy_partner_sc_71fb682551c540179ca52c602f545bcc,四川厚裕建设工程有限公司,company,1,,,,71fb682551c540179ca52c602f545bcc,company_supplier,四川厚裕建设工程有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,71fb682551c540179ca52c602f545bcc
legacy_partner_sc_7200c51fd8fc42ca8feb09832a8ba63c,德阳钰坤金属材料有限公司,company,1,915106000953283237,,,7200c51fd8fc42ca8feb09832a8ba63c,company_supplier,德阳钰坤金属材料有限公司,,915106000953283237,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,7200c51fd8fc42ca8feb09832a8ba63c
legacy_partner_sc_7219df46460a4257b0cab5119dd6f2bf,四川鸿丰源道路材料科技有限公司,company,1,9151072434576679X6,,,7219df46460a4257b0cab5119dd6f2bf,company_supplier,四川鸿丰源道路材料科技有限公司,,9151072434576679X6,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,7219df46460a4257b0cab5119dd6f2bf
legacy_partner_sc_72326a7e2428425e96a65c08da67f6ef,四川裕途建设工程有限公司,company,1,91513400MA64CJ7P8W,,,72326a7e2428425e96a65c08da67f6ef,company_supplier,四川裕途建设工程有限公司,,91513400MA64CJ7P8W,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,72326a7e2428425e96a65c08da67f6ef
legacy_partner_sc_7252244061084be1876628e5135b1808,京东五星电器（四川）集团有限公司德阳分公司,company,1,,,,7252244061084be1876628e5135b1808,company_supplier,京东五星电器（四川）集团有限公司德阳分公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,7252244061084be1876628e5135b1808
legacy_partner_sc_726b48a8e63b4aceaa16a5a0973dc8e7,重庆嘉南控股（集团）有限公司,company,1,91500119208702378M,,,726b48a8e63b4aceaa16a5a0973dc8e7,company_supplier,重庆嘉南控股（集团）有限公司,,91500119208702378M,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,726b48a8e63b4aceaa16a5a0973dc8e7
legacy_partner_sc_726e3ab25ec94d22881cea1ff9c429af,德阳鑫腾晖电力有限公司,company,1,91510600MA7LF59R2M,,,726e3ab25ec94d22881cea1ff9c429af,company_supplier,德阳鑫腾晖电力有限公司,,91510600MA7LF59R2M,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,726e3ab25ec94d22881cea1ff9c429af
