project_id,name,project_code,current_operation_strategy,target_operation_strategy,action,reason,other_system_id,legacy_project_id,project_environment
802,齐家堰流域（高槐村-桂花村）河段水生态修复项目,PRJ260805,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:齐家堰流域（高槐村-桂花村）河段水生态修复项目,齐家堰流域（高槐村-桂花村）河段水生态修复项目,legacy_scbs_project_fact
803,玉山街道路工程,PRJ260806,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:玉山街道路工程,玉山街道路工程,legacy_scbs_project_fact
804,崴和路滑坡整治工程,PRJ260807,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路滑坡整治工程,崴和路滑坡整治工程,legacy_scbs_project_fact
805,德阳市烈士陵园建设项目,PRJ260808,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:德阳市烈士陵园建设项目,德阳市烈士陵园建设项目,legacy_scbs_project_fact
806,孝感翠竹街西路改造,PRJ260809,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:孝感翠竹街西路改造,孝感翠竹街西路改造,legacy_scbs_project_fact
807,面粉厂等小区改造项目,PRJ260810,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:面粉厂等小区改造项目,面粉厂等小区改造项目,legacy_scbs_project_fact
808,烈士陵园装修项目,PRJ260811,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:烈士陵园装修项目,烈士陵园装修项目,legacy_scbs_project_fact
809,凯江大回湾景区融合提升项目,PRJ260812,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:凯江大回湾景区融合提升项目,凯江大回湾景区融合提升项目,legacy_scbs_project_fact
810,东一环北延线,PRJ260813,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:东一环北延线,东一环北延线,legacy_scbs_project_fact
811,城市花园等老旧小区改造,PRJ260814,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:城市花园等老旧小区改造,城市花园等老旧小区改造,legacy_scbs_project_fact
812,寿崴路,PRJ260815,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:寿崴路,寿崴路,legacy_scbs_project_fact
813,太行山路（钱塘江路-信江路）道路工程,PRJ260816,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:太行山路（钱塘江路-信江路）道路工程,太行山路（钱塘江路-信江路）道路工程,legacy_scbs_project_fact
814,宋家堰景观工程,PRJ260817,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:宋家堰景观工程,宋家堰景观工程,legacy_scbs_project_fact
815,高地搅拌站,PRJ260818,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高地搅拌站,高地搅拌站,legacy_scbs_project_fact
816,汾河路（挂靠）,PRJ260819,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:汾河路（挂靠）,汾河路（挂靠）,legacy_scbs_project_fact
817,崴和路二标段,PRJ260820,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路二标段,崴和路二标段,legacy_scbs_project_fact
818,旌阳区2025年老旧小区改造-包5,PRJ260821,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区2025年老旧小区改造-包5,旌阳区2025年老旧小区改造-包5,legacy_scbs_project_fact
819,嘉陵江路库房,PRJ260822,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:嘉陵江路库房,嘉陵江路库房,legacy_scbs_project_fact
820,德阳凹街办公室,PRJ260823,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:德阳凹街办公室,德阳凹街办公室,legacy_scbs_project_fact
821,崴和路一标段,PRJ260824,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路一标段,崴和路一标段,legacy_scbs_project_fact
822,成都市龙泉驿区同安中学校光环境改造项目,PRJ260825,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:成都市龙泉驿区同安中学校光环境改造项目,成都市龙泉驿区同安中学校光环境改造项目,legacy_scbs_project_fact
823,旌阳区2025年老旧小区改造-包1,PRJ260826,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区2025年老旧小区改造-包1,旌阳区2025年老旧小区改造-包1,legacy_scbs_project_fact
824,成都市龙泉驿区人行道维修整治提升,PRJ260827,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:成都市龙泉驿区人行道维修整治提升,成都市龙泉驿区人行道维修整治提升,legacy_scbs_project_fact
825,旌北新区（龙泉山路）雨水管网项目,PRJ260828,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌北新区（龙泉山路）雨水管网项目,旌北新区（龙泉山路）雨水管网项目,legacy_scbs_project_fact
826,柏隆粮油园区项目,PRJ260829,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:柏隆粮油园区项目,柏隆粮油园区项目,legacy_scbs_project_fact
827,中江驾考校,PRJ260830,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:中江驾考校,中江驾考校,legacy_scbs_project_fact
828,蓥华山路道路工程-包2,PRJ260831,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:蓥华山路道路工程-包2,蓥华山路道路工程-包2,legacy_scbs_project_fact
829,旌阳区供水项目(柏隆水厂及管网）,PRJ260832,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目(柏隆水厂及管网）,旌阳区供水项目(柏隆水厂及管网）,legacy_scbs_project_fact
1,演示项目 · 城市快速路提升工程,PRJ260001,direct,joint,set,existing_new_system_project,,,
4,德阳市罗江区鄢家镇高垭村山坪塘整治项目,PRJ260003,direct,joint,set,existing_new_system_project,162253,00a4bb196d944fa5a8c56e3bd3f1e448,
5,石亭江-绵远河生态廊道场地平整工程,PRJ260004,direct,joint,set,existing_new_system_project,109745,00c73f013e234461883beac337e8d75d,正式项目
6,渝数科技公司重庆数字大厦第6层办公用房装修改造项目,PRJ260005,direct,joint,set,existing_new_system_project,109396,00db8d3baa894d1e8efd7acd181f6499,正式项目
7,四川艺术职业学院消防隐患整治工程,PRJ260006,direct,joint,set,existing_new_system_project,109506,0201344da1b74e008006a7a96f90be6f,正式项目
8,龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）,PRJ260007,direct,joint,set,existing_new_system_project,109702,020eddc09afb4260a5843a84ee58d826,正式项目
9,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）,PRJ260008,direct,joint,set,existing_new_system_project,109507,027c5b467ae94e52aabb6f6218d310d4,正式项目
10,剑阁县文化广电新闻出版局人才基地建设项目,PRJ260009,direct,joint,set,existing_new_system_project,109812,02df67b4ddb6469b81ed551e9b544d25,正式项目
11,中江县仓山镇郪江桥梁工程,PRJ260010,direct,joint,set,existing_new_system_project,109716,037fddc6219449c3840477989cc06f82,正式项目
12,工程部后油库油罐清洗,PRJ260011,direct,joint,set,existing_new_system_project,178417,03f8997135504039a36557ec6e57909b,
13,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-（TD）,PRJ260012,direct,joint,set,existing_new_system_project,,045206e3bf2f49b6b6b544b1be1aff22,
14,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力,PRJ260013,direct,joint,set,existing_new_system_project,109359,04c36990cc144f04b8f2423c36e5f713,
15,中江公司变电检修班“工人先锋号”环境整治,PRJ260014,direct,joint,set,existing_new_system_project,109703,04d0a65675424e41b8c65ba26ef48b4e,正式项目
16,2022年日常维护项目（竞标12）,PRJ260015,direct,joint,set,existing_new_system_project,109474,05139ca820724561bee71e016b22fd55,正式项目
17,准环对称仿星器项目,PRJ260016,direct,joint,set,existing_new_system_project,191777,0550ea3a2e1b4161b25a697476e344b5,
18,ALC预制隔墙板供应及施工分包合同,PRJ260017,direct,joint,set,existing_new_system_project,109622,059742d9ac094c018b91894306d5fc2d,正式项目
19,和田地区于田县高速公路10千伏线路迁改工程,PRJ260018,direct,joint,set,existing_new_system_project,109570,069cd56871fd4307b836a3167fddf14b,正式项目
20,崴和路边坡滑坡治理,PRJ260019,direct,joint,set,existing_new_system_project,,06c94694eb3e418bb4ceb5e55a987583,
21,白鹤花园修建建筑垃圾池,PRJ260020,direct,joint,set,existing_new_system_project,191770,06cd855d5ede4a279a81568903836256,
22,珠峰文化旅游创意产业园区基础设施项目一期工程第三标段,PRJ260021,direct,joint,set,existing_new_system_project,109667,072425c9c9ad453eb60c137fd4215459,正式项目
23,中国移动四川西区二枢纽“车库改机房”土建工程,PRJ260022,direct,joint,set,existing_new_system_project,109735,076d8bcae3064dca8927f4f629bf2356,正式项目
24,德阳市天府旌城石亭江河段堤防改建给水迁改工程,PRJ260023,direct,joint,set,existing_new_system_project,115139,07e6484cc40d4609b0bcafcf187dd9af,
25,2017年公路水毁修复工程（双石镇）,PRJ260024,direct,joint,set,existing_new_system_project,109681,080a2d8ee204424a8b7edd08817eee20,正式项目
26,浪卡子县白地乡龙桑村水塘工程项目(1标段),PRJ260025,direct,joint,set,existing_new_system_project,190048,088193c97f1443b58f1489b321c1288a,
27,德昌县宽裕镇花园村文化休闲广场,PRJ260026,direct,joint,set,existing_new_system_project,109837,08ac2e586f574d39a3272852fa22bf71,正式项目
28,永川区卫星中型灌区续建配套与节水改造工程,PRJ260027,direct,joint,set,existing_new_system_project,109492,08fa00e1bf9d4c88bcbfa652610aa347,正式项目
29,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包,PRJ260028,direct,joint,set,existing_new_system_project,109750,092bc953078b42ab89b7a9d07fecab66,正式项目
30,林芝市财富阳光建设项目消防工程,PRJ260029,direct,joint,set,existing_new_system_project,109688,09a62a54dcf645d6b7030d40fbdac1cb,正式项目
31,焙浸车间硫酸罐区防腐项目工程,PRJ260030,direct,joint,set,existing_new_system_project,214321,09ba719dfd18431a951ec77d29ea6194,
32,中建天投天河区育新街南侧AT0304011-1地块项目,PRJ260031,direct,joint,set,existing_new_system_project,,0a098ceefc5046c380028104a3caa2af,正式项目
33,岳普湖县防沙治沙电力配套设施建设项目,PRJ260032,direct,joint,set,existing_new_system_project,261151,0b3b88a05d6d454b9cbbe6b4c3c342d5,
34,公司综合管理平台,PRJ260033,direct,joint,set,existing_new_system_project,,0bb1dac8c9a94e39b421b3a619491c1f,
35,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目,PRJ260034,direct,joint,set,existing_new_system_project,181031,0c028a6f51ea4e728448ce29b1e2eaab,
36,太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包,PRJ260035,direct,joint,set,existing_new_system_project,109654,0c4f914eee3547c185a2108fc1f768df,正式项目
37,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包,PRJ260036,direct,joint,set,existing_new_system_project,109363,0c8c213e89204a6fb61a4c8ac79f0d4a,
38,何埂小学生化池及室外污水管网,PRJ260037,direct,joint,set,existing_new_system_project,109583,0cdd82e96265456494a1de15f36c433e,正式项目
39,重庆文理学院2025年附属工程项目(不可预测的零星维修工程),PRJ260038,direct,joint,set,existing_new_system_project,223773,0d21826a7ebb4dbfb7317338baaf57a0,
40,2025年西南石油工程公司钻前主体工程劳务框架招标（6标段：罗江、黄许等地区）项目,PRJ260039,direct,joint,set,existing_new_system_project,212778,0dac2896cb43443eaaf4d5247683a40b,
41,巫山县大昌镇树木修剪及路灯更换服务合同,PRJ260040,direct,joint,set,existing_new_system_project,109527,0db43c29f642442292d30f6b34c328a9,正式项目
42,53019工程、3644-3、4、3617消防工程,PRJ260041,direct,joint,set,existing_new_system_project,109619,0dde523bf5414461b937c9d5d4c220cf,正式项目
43,绵阳金能集中办公室维修改造项目,PRJ260042,direct,joint,set,existing_new_system_project,109510,0e04e445c6304b5f9e3b79ffdde72eb1,正式项目
44,2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目,PRJ260043,direct,joint,set,existing_new_system_project,109549,0e4c810fe22644c399650bca0528898a,正式项目
45,绵竹市星旺大桥与货运通道连接匝道工程项目,PRJ260044,direct,joint,set,existing_new_system_project,224475,0f314b7eb259455f8ad3bb3419f66957,
46,米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目,PRJ260045,direct,joint,set,existing_new_system_project,109718,0f3c19a871e446fc8cc9781f108d58e5,正式项目
47,旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）,PRJ260046,direct,joint,set,existing_new_system_project,109480,0fe3fceb5f4b4c4fa5fae8527912fb93,正式项目
48,德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）,PRJ260047,direct,joint,set,existing_new_system_project,162252,102a738d1fee481fb215df95de82490c,
49,德阳市罗江区公路建设养护所2025农村公路维修,PRJ260048,direct,joint,set,existing_new_system_project,238362,106e8ac916084f398b89d0a564f2473f,
50,龙泉山路与旌湖路交会处东北角土地围挡项目,PRJ260049,direct,joint,set,existing_new_system_project,223771,108141059f724a008d2250d7c01449c8,
51,古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目,PRJ260050,direct,joint,set,existing_new_system_project,109804,11e56ccc546e4532a323597457133e8c,正式项目
52,洛碛餐厨污水处理厂基础设施修复及零星工程项目,PRJ260051,direct,joint,set,existing_new_system_project,163477,125f0ae46d734ad68124ddadc3d5eb19,
53,青龙工业园区雨污水管网应急修复项目,PRJ260052,direct,joint,set,existing_new_system_project,109623,12bab8c00273463cae235c1615796bb3,正式项目
54,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程,PRJ260053,direct,joint,set,existing_new_system_project,109727,12dc2d35442c43f481d6e3880f8a306e,正式项目
55,开挖修复359机位消防主管道爆管项目,PRJ260054,direct,joint,set,existing_new_system_project,109403,1357e63a4149468ea5b484a53ec1efa4,正式项目
56,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段,PRJ260055,direct,joint,set,existing_new_system_project,109801,135be6807d2043619fde2b6efe531cf6,正式项目
57,中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议,PRJ260056,direct,joint,set,existing_new_system_project,109360,1375f96aeadd4e518c7b0574d3965a4b,
58,安宁新能源磷铁项目,PRJ260057,direct,joint,set,existing_new_system_project,109409,1428742882bf4fc5988efcc289c8d5e8,正式项目
59,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）,PRJ260058,direct,joint,set,existing_new_system_project,109640,1496d77696814bca8ab7b5d1423b5d5f,正式项目
60,旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）,PRJ260059,direct,joint,set,existing_new_system_project,223775,14b62e4158d24596a0e04828e39362b5,
61,广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）,PRJ260060,direct,joint,set,existing_new_system_project,109433,14c4325bb56b408788e6f442f4384374,正式项目
62,广汉市郑州路东段雨污水管网工程,PRJ260061,direct,joint,set,existing_new_system_project,109807,14fe0f48d2af4716b1b3b24f8a4286c8,正式项目
63,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,PRJ260062,direct,joint,set,existing_new_system_project,238993,1524f421b94c41698305394cf8691f44,
64,西昌卷烟厂2021年厂区环境改造工程综合经营业务用房配套设施改造标段,PRJ260063,direct,joint,set,existing_new_system_project,109512,152f26736dd64da29f1b4f494fcfef41,正式项目
65,重庆江北国际机场飞行区服务综合服务外包项目,PRJ260064,direct,joint,set,existing_new_system_project,109825,15bc8bfa1f964a609140a3c52c72efaa,正式项目
66,秦岭山道路项目道路照明专业分包工程,PRJ260065,direct,joint,set,existing_new_system_project,,15f176434d074d2ab18710410f83bd92,
67,162井场外墙,PRJ260066,direct,joint,set,existing_new_system_project,109505,162fdc7c89564d5189f449bce9454395,正式项目
68,旌阳区综合管廊项目泰山路段支护及防水工程二标,PRJ260067,direct,joint,set,existing_new_system_project,115130,16979c84c8ba410eab2e7117be52eddf,
69,绵竹市农业科技碳循环双创产业融合示范园项目(二期)一标段-大棚B区劳务、机械采购项目(第二次),PRJ260068,direct,joint,set,existing_new_system_project,259218,16d5db4fb73845ab92b4b2c5bcaf9488,
70,明源电力公寓小区路灯维修改造,PRJ260069,direct,joint,set,existing_new_system_project,109440,16f30c8b960c4e6dbedd7a507d96f4ce,测试项目
71,四川省绵阳外国语学校高中部教学综合楼室外电梯工程,PRJ260070,direct,joint,set,existing_new_system_project,109599,16fce53311764d6c84b08f1357acf0ba,正式项目
72,南充市高坪区恒大悦龙台至三环6期厂区段损毁道路恢复工程建材及配套服务采购项目,PRJ260071,direct,joint,set,existing_new_system_project,109782,1710364e78bc40b48396fe20e5f0e9bd,正式项目
73,天府国际机场航站区配套市政工程施工三标段（二工区）雨污管网及土石方回填工程,PRJ260072,direct,joint,set,existing_new_system_project,109822,17510e7ec153446ca14f6efa72d6c899,正式项目
74,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,PRJ260073,direct,joint,set,existing_new_system_project,190047,1791ed98bcc5407a9476f93365909791,
75,经开物业小区门卫翻新工程,PRJ260074,direct,joint,set,existing_new_system_project,109655,17cfa82ebcfb4d15baf187890f9e934d,正式项目
76,水韵江南小区维修,PRJ260075,direct,joint,set,existing_new_system_project,109639,18345028af09432ab7505fe2ce46d2b1,正式项目
77,德阳市旌合建设工程有限公司3#、4#、5#、6#楼幕墙工程专业分包,PRJ260076,direct,joint,set,existing_new_system_project,237363,18b103d698be404b80f9bf782c1a174d,
78,德阳市旌阳区供水建设项目（柏隆净水厂）,PRJ260077,direct,joint,set,existing_new_system_project,258462,1914e7b88af24bf0adc89495e5233c60,
79,绵阳市安州区高级职业中学空调电力改造安装工程,PRJ260078,direct,joint,set,existing_new_system_project,239737,1989ad3a331c42308a06490ef6d777b0,
80,金谷油脂项目进场道路工程二标段,PRJ260079,direct,joint,set,existing_new_system_project,109517,19b80dff5f32439cbbf6a31107f05832,正式项目
81,万航模锻有限公司配电系统扩容工程,PRJ260080,direct,joint,set,existing_new_system_project,,1a27d87129a543c5939e8a5129b75f63,正式项目
82,凯州新城城乡一体化项目配套建设工程钢结构工程专业分包（第二次）,PRJ260081,direct,joint,set,existing_new_system_project,109426,1abe1430e27d4765b61cf3ae4b341c24,正式项目
83,自贡航空产业园航空大道南延线二标段（K1+860-K2+670）施工劳务,PRJ260082,direct,joint,set,existing_new_system_project,109624,1aca2027a967401792f1c4b18ef02451,正式项目
84,龙岗001-20井气田水回注安装工程,PRJ260083,direct,joint,set,existing_new_system_project,109478,1aef1f14fbf64e46a61e70d6cef5955f,正式项目
85,合阳城街道2024年老旧小区改造工程(二期),PRJ260084,direct,joint,set,existing_new_system_project,259221,1b714bfd78a14049b98c6f2b8a63073e,
86,2025年西南石油工程公司钻前辅助工程劳务框架招标（5标段：中江、孝泉等地区）项目,PRJ260085,direct,joint,set,existing_new_system_project,212782,1b94da17ad1a42c291a59a5ec6d4996b,
87,东河农贸市场场内厕所改造,PRJ260086,direct,joint,set,existing_new_system_project,115128,1bc8c1acc81d4a47af1318a718bf72db,
88,中国移动四川分公司成都片区2018-2020年渠道零星维修项目（标包1）,PRJ260087,direct,joint,set,existing_new_system_project,109769,1ce3b31d6d8544479618158ea59ed160,正式项目
89,德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资 EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程（园路JLC）分包合同,PRJ260088,direct,joint,set,existing_new_system_project,109670,1ceeb10c5d5745879b20d438e2e69534,正式项目
90,德阳市什邡市社会福利救助中心护理能力提档升级项目,PRJ260089,direct,joint,set,existing_new_system_project,109402,1d23f106099449a0a88894c9f5458efa,正式项目
91,百合公园维修工程,PRJ260090,direct,joint,set,existing_new_system_project,109405,1d69b18850554e28b5c4b4f8c7c83e77,正式项目
92,德阳市烈士陵园建设项目专业分包（总平）,PRJ260091,direct,joint,set,existing_new_system_project,109460,1d7c02e968a146e3ac209f95ac712682,正式项目
93,石船镇农村公路（关兴村）井环路堡坎修复工程,PRJ260092,direct,joint,set,existing_new_system_project,237382,1da16136281c46fc9fb1d3038e68f983,
94,中国移动四川公司乐山分公司2020-2022年渠道维修采购项目框架协议,PRJ260093,direct,joint,set,existing_new_system_project,109704,1e7aa5f1a92e46b1a4385a5daac440a6,正式项目
95,中铁八局集团有限公司德阳经开区市政道路工程项目(齐湖路、黔江街)土石方工程,PRJ260094,direct,joint,set,existing_new_system_project,168385,1e8cf6baef1d4627adb1a1d68231ba1e,
96,德阳太行山路（钱塘江路-信江路）道路工程,PRJ260095,direct,joint,set,existing_new_system_project,,1f0d1455b090418eb292f359a8a19caf,正式项目
97,德阳市旌阳区德新镇胜利村2024年省级财政乡村振兴转移支付资金项目(第二次),PRJ260096,direct,joint,set,existing_new_system_project,224476,1f8cc9fd9b7145bbb9c265431d95c3a4,
98,玖龙纸业（重庆）有限公司年产55万吨牛卡及瓦楞纸生产线配套湿式造纸联合厂房工程第三方整改（25.4496）,PRJ260097,direct,joint,set,existing_new_system_project,109739,1ffb0ce01fdf4dc984ec3df9432623cb,正式项目
99,绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程,PRJ260098,direct,joint,set,existing_new_system_project,109746,2001f5127b3e4265b198bef8a7553358,正式项目
100,国网新疆喀什莎车县供电公司荒地供电所扩建项目,PRJ260099,direct,joint,set,existing_new_system_project,181661,2039a46ae2944d438ef930b4773ab002,
101,中央公园西一游客服务中心工程项目,PRJ260100,direct,joint,set,existing_new_system_project,109821,204822a6a35f4e76963dbeec9c3240d3,正式项目
102,苍溪县2020年高标准农田建设（施工六）,PRJ260101,direct,joint,set,existing_new_system_project,109699,2065db3e97a8409f9a30f027c2c1553e,正式项目
103,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目(二期)-L4-E线道路及配套工程－路缘石,PRJ260102,direct,joint,set,existing_new_system_project,111746,208e534eab2d47c6b23bd0576523922c,
104,会理县外北乡兴荣村三、四组道路硬化工程二标段,PRJ260103,direct,joint,set,existing_new_system_project,109762,21038f8a911b4a90938a58c8e36caa86,正式项目
105,中国电信泸州分公司2024-2026年房屋装修、维修服务项目,PRJ260104,direct,joint,set,existing_new_system_project,142339,211003ff687e41d2a4bc46c78036f640,
106,德阳凯州新城检验检测创新产业园建设项目-实验室装修项目,PRJ260105,direct,joint,set,existing_new_system_project,109417,211a1be6b5ee4d6c830d2cf06378107b,正式项目
107,长虹金嶺1号项目二期高层外墙装饰工程（二标段）,PRJ260106,direct,joint,set,existing_new_system_project,109392,212cf7a3248c48e68bc3f4a24383536a,正式项目
108,欧麓花园入口地面维修,PRJ260107,direct,joint,set,existing_new_system_project,109376,215041536acd48be89b14758cd923649,正式项目
109,重庆电子科技职业大学应急与抢险工程,PRJ260108,direct,joint,set,existing_new_system_project,191773,21959dda2000462c95b82b966657b312,
110,都兰县香日德镇移民灌区农业水价综合改革,PRJ260109,direct,joint,set,existing_new_system_project,109597,2201ed763b854099b6c8f9f72cd6bb5b,正式项目
111,喀什地区塔什库尔干县生活垃圾分类收运及处置建设项目工程总承包第三标段,PRJ260110,direct,joint,set,existing_new_system_project,178234,22aa38f6dc0c44649d0a397653bce651,
112,中核中原建设 2022-2023 年度华北、西北区域脚手架专业分包框架协议,PRJ260111,direct,joint,set,existing_new_system_project,109451,23aa1343ca99440abf7bd7315fd60c6a,正式项目
113,某部机关院内及教导队营房维修项目,PRJ260112,direct,joint,set,existing_new_system_project,109485,23cc90c8afb441639a37ac3d7a9e4fe5,正式项目
114,东风水库、高脚水水库水毁应急抢险工程,PRJ260113,direct,joint,set,existing_new_system_project,109561,240dd8ff5659498887a53149a9bb0d8c,正式项目
115,陈小刚零星劳务工程,PRJ260114,direct,joint,set,existing_new_system_project,258461,2455ba28390e4456a6d81d35f170b305,
116,绵阳外国语学校校园防水维修服务,PRJ260115,direct,joint,set,existing_new_system_project,109577,24be53b1b08345649d8f3786e0725e60,正式项目
