legacy_contract_id,legacy_project_id,contract_subject,direction,counterparty_text,legacy_partner_source_type,design_action,contract_retry_after_partner_anchor,db_write_authorized,rollback_key
4d89ae3135154de6a568fcc1ba63e332,208e534eab2d47c6b23bd0576523922c,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目(二期)-L4-E线道路及配套工程－路缘石,out,四川高竹工程建设有限公司,company,prepare_partner_anchor_candidate,yes,no,4d89ae3135154de6a568fcc1ba63e332
4dd3cbf1f2d64bd287d9ee3ab6b79485,9ebba094a48443a39dd7e1421da8dfbb,四川宝烨金属制品有限公司燃气报警系统安装,out,四川宝烨金属制品有限公司,company,prepare_partner_anchor_candidate,yes,no,4dd3cbf1f2d64bd287d9ee3ab6b79485
5016ff407edc491abe55517e49bec0ca,4bbff2852e8e46d38ceb8ed5b1c9de84,专业分包合同补充协议,out,中国铁建大桥工程局集团有限公司,company,prepare_partner_anchor_candidate,yes,no,5016ff407edc491abe55517e49bec0ca
54d3a0628269470ca75e58295a5e1694,c2ee2572f2e64330acc9922be5d292e6,广东南华工商职业学院清远校区二期人防工程一期,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,54d3a0628269470ca75e58295a5e1694
5c36c166b4d546a2bb91fcde20d3f22b,4bbff2852e8e46d38ceb8ed5b1c9de84,旌阳区综合管廊项目庐山路段支护及防水3标工程,out,中国铁建大桥工程局集团有限公司,company,prepare_partner_anchor_candidate,yes,no,5c36c166b4d546a2bb91fcde20d3f22b
616bf77c6ab346ea88383c05d490fc9f,a7f1cabfc69e4b0e9a8f93a295c8ee03,广东南华工商职业学院清远校区二期人防工程一期项目路面工程施工分包合同,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,616bf77c6ab346ea88383c05d490fc9f
66806256a2534878b9709f7c12130b8e,a74d16f8345a4e29a837fb2ea222deea,广清城际轨道交通项目（花都段）安置区工程（狮岭镇军田安置区一期工程）项目（市政道路）工程,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,66806256a2534878b9709f7c12130b8e
6c1b289a464340ff97a11be1d4807bbe,9ebba094a48443a39dd7e1421da8dfbb,四川美丰化工股份有限公司燃气报警系统工程安装合同,out,四川锦泰致远智能工程有限公司,company,prepare_partner_anchor_candidate,yes,no,6c1b289a464340ff97a11be1d4807bbe
6dfc40f317ae4b3db6bddad8ad13956d,e712d2cd1f10406abfd3f4857656495d,西南大数据创新应用中心项目-深潜土石方工程,out,中国建筑第八工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,6dfc40f317ae4b3db6bddad8ad13956d
6e2fb713017243d8843588bbc698fc0f,d673283d7f064228aa3bcdb822c8d425,【广州白云国际机场三期扩建工程交通中心综 合体项目施工总承包】项目 【办公区绿化工程】专业分包,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,6e2fb713017243d8843588bbc698fc0f
78547196420f4e5182e5f9a08a26d58d,c0fec62dffee4c0cbcf8eaab7e4a5477,【广清城际轨道交通项目（花都段）安置区工程 （狮岭镇军田安置区一期工程）施工总承包】项目 【挡土墙】工程专业分包合同,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,78547196420f4e5182e5f9a08a26d58d
78cd6b3b928243c3a7efa741124a155b,3ddb4ef7f09a4280b7ef904a6f6e5275,简乃华工程（八角卫生院项目）,out,德阳市旌阳区八角井镇卫生院,company,prepare_partner_anchor_candidate,yes,no,78cd6b3b928243c3a7efa741124a155b
7b84c091718e4a7dad4f0cf7cdf2e9a8,d673283d7f064228aa3bcdb822c8d425,【白云机场三期扩建工程周边临空经济产业园区基础设施二 期工程（平西二期安置区）施工总承包（标段一）项目室外管网工程】,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,7b84c091718e4a7dad4f0cf7cdf2e9a8
7de4f64ea5e341f79ef1a8ed1aee35f7,a7f1cabfc69e4b0e9a8f93a295c8ee03,连山壮族瑶族自治县生态产业园(永和片区)建设(一期)施工图设计、施工总承包项目,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,7de4f64ea5e341f79ef1a8ed1aee35f7
