legacy_project_id,contract_rows,source_project_rows,active_source_project_rows,source_project_name,source_project_deleted,source_project_state,sample_contract_id,sample_contract_subject,recovery_route,recovery_note
59d7cd4425ee44829169c1508238104c,1,0,0,,,,5edd69e15c334c81981a0aacbabd7a7c,老寨子乡司法所,legacy_project_source_missing,legacy project id is not present in project.csv
6299baaa7579423e84de319c9cb57447,1,0,0,,,,c3e28d3e5b36484cb278406a2c03d62e,宁南县土地增减挂钩项目,legacy_project_source_missing,legacy project id is not present in project.csv
62f933a9f88a4c71909a4d26bfa765a3,1,0,0,,,,2ee276de6d704a34b7d30d2ef667410c,昭觉县2019年彝家新寨基础设施建设,legacy_project_source_missing,legacy project id is not present in project.csv
6cca5509da2f42d0b9376a9a67990474,1,0,0,,,,0dcc45f743f34992bdde50452f4ee54f,八一镇小学校教学楼厕所及附属工程建设,legacy_project_source_missing,legacy project id is not present in project.csv
7419608c0466401e88f3f42a569b41b4,1,0,0,,,,c7fba6a7a5e24f49b01c03cde5e7e624,德溪乡中心校教学综合楼建设,legacy_project_source_missing,legacy project id is not present in project.csv
8142331173514ba7a4c218b3c4da0805,1,0,0,,,,911f2a95854a44c19e680a427819fc4a,万兴一品四组团区域景观土建工程,legacy_project_source_missing,legacy project id is not present in project.csv
89e4f0b434dd40be8c6b7e452d8123c3,10,0,0,,,,0d64492586c549ecba5656d64b7994fc,铜梁区永嘉镇2020年断头路、联网路建设圣水村八组、塘坪村十一组、十七组公路工程,legacy_project_source_missing,legacy project id is not present in project.csv
8e9ed2cf43864b91b23147d4fa8176f4,1,0,0,,,,5d01be19ac6f4d2d84f3a082c306c7f5,WBHTGL-20201125-001,legacy_project_source_missing,legacy project id is not present in project.csv
8f6741b427cd4d49a55ac4ff49984ad2,1,0,0,,,,dd604259bc314d43a345437cf1d58709,万兴一品一组3#楼区域景观土建增加工程,legacy_project_source_missing,legacy project id is not present in project.csv
95f63da6ca6143df980fee07b36c5b5a,1,0,0,,,,cc0d9269d8534751b1f1e32003733ad6,金阳县尔觉西乡来来寨村至吉史里口集中安置点安全住房施工便道等建设,legacy_project_source_missing,legacy project id is not present in project.csv
9b29799342fe47ffaa5f4bc17badb5b6,1,0,0,,,,ac3050705dd0445abaea4a690493d4df,WBHTGL-20200311-003,legacy_project_source_missing,legacy project id is not present in project.csv
