review_priority,suggested_action,decision,decision_note,target_material_catalog_id,accepted_material_catalog_id,coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count
4,create_or_map_material_catalog,,,,,catalog_missing,199a5f0ff9ad4835b44c83bc01a73181,HDPE缠绕结构壁B型管,DN1000,m,1,1,63.6300,132225.38,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,e00a377d93e5441590f04b06dbe1d1f3,沥青,70#,吨,1,1,35.0000,131306.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,097aa027b8df4a0ca86bfed87025467e,双高筋增强聚乙烯HDPE缠绕管,DN500 SN10,米,1,1,462.0000,131208.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,f2e3ce0c209342edbd253f15898a6028,螺纹钢HRB400E,Φ14E,吨,2,2,34.6080,130818.24,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,882cb0dba66d410fb647e7fd2ab8a5ef,干混抹灰砂浆,M20,t,2,2,270.0000,127980.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,a66b45805299481e9be256b1e922e714,螺纹钢,HRB400E 12,吨,1,1,35.4620,126953.96,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0176224eabc4420b8d69c641aa0aeca1,混凝土,C30,立方米,1,1,325.0000,123500.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,96d46e3fb9a549b5bbc44230acee33a2,仿花岗岩芝麻灰PC砖,300*600*50,平方,1,1,1580.0000,123239.02,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,79e292945fe24bb3b9184c62582471f5,HDPE缠绕结构壁B型管,DN1200,m,1,1,42.4200,122317.02,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,c0405ab3352b4a478396062c4ea58602,乳化沥青,30#,吨,1,1,65.8130,120437.80,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b0878089dcd34294af97feab21ee10e8,双高筋增强聚乙烯HDPE缠绕管,DN1000 SN10,米,1,1,114.0000,119700.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,f9938571619249ca96c7ae322ee92863,HDPE钢带增强管,DN600,米,1,1,270.0000,118800.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,8b0b477752044b4cb16e223032ac55f8,镀锌圆管,114,,2,1,19.1560,118204.32,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,fabd74dd36e6430dae20cb0c671668f9,干混地面砂浆,M10,t,4,4,276.7000,117801.08,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,d37ce450dc2f4942a1326da758d1dd94,花岗石*芝麻灰路缘石,600*150*150,立方米,3,2,71.9685,115037.10,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,c47c364f5fad4309899702abd2a3b671,全自动升降柱,LZYZ-D1-JT2023,套,1,1,29.0000,114550.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b82f3e8530b9433b837cd5ef702c0e8b,干混地面砂浆,M10,t,1,1,326.3600,113573.28,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,3a4e637ea43948fe9038014bcc65aca3,不锈钢井盖,800*800*80,,6,2,432.0000,112396.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,159361f63df0402595269094e03bb819,花岗石石材,花岗石路缘石1000*150*350,立方米,1,1,65.2600,112247.20,,0,,0
