external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_00ff2af27bb043cd84b8ccbb43890797,5393,PRQ2605393,268650.80,1,268650.80,legacy_actual_outflow_sc_da15236aa26c4988be8218a16fe9571f,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01134d912e0749e89697ca885875cc76,5394,PRQ2605394,17000.00,1,17000.00,legacy_actual_outflow_sc_5983d7353eae447a88e55bb091c4cc26,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01181fe00bed4d9fa61aaca19664ef72,5395,PRQ2605395,91476.00,1,91476.00,legacy_actual_outflow_sc_a45788f1d45a42ed910d6489aa34246a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0122d6888f3c437c8bfcb54a3dcf4fea,5396,PRQ2605396,30000.00,1,30000.00,legacy_actual_outflow_sc_bdb684b993944eb3be634a6e57ec8508,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0128ec2f788b43a6a857fe0a4ed235e3,5397,PRQ2605397,435526.84,1,435526.84,legacy_actual_outflow_sc_97a04d6d016b4f9cbc59c24133a79805,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_012c25aad8444ba4b15d15553f3f8d0d,5398,PRQ2605398,500000.00,1,500000.00,legacy_actual_outflow_sc_d6bc761044024550b73d81bc19d2a585,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_012c9ae42df741b49def25d7ee1a2be6,5399,PRQ2605399,50000.00,1,50000.00,legacy_actual_outflow_sc_0c219fc97b994e85a9ec22c2ea31259c,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_012d707f7b634446be9a585f4b373bc0,5400,PRQ2605400,370000.00,1,370000.00,legacy_actual_outflow_sc_548164ae804b47fd806c5d989b39684f,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0130c82fe7934bccae8215a0efe0ff0a,5401,PRQ2605401,43561.00,1,43561.00,legacy_actual_outflow_sc_b89f12a7b7e9480a8ca0ce4b15b7655c,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0131a251efaf43cdaa9753d62da29ac7,5402,PRQ2605402,36840.00,1,36840.00,legacy_actual_outflow_sc_1eed45cee8964e16800fb8da003aef84,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0132878ec035425497d35ea07cb312e2,5403,PRQ2605403,7671.00,1,7671.00,legacy_actual_outflow_sc_0760b4039bf24a4cb7bdaa373ac6fb7f,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_013552c944944dd79727610752093a1b,5404,PRQ2605404,1200000.00,1,1200000.00,legacy_actual_outflow_sc_7abb5b2891bb4afea1ba2cbe297291ce,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_013f917bd62f4626974ebc7e39174f68,5405,PRQ2605405,300000.00,1,300000.00,legacy_actual_outflow_sc_9cc888c08a1c463eb7cffd72e497fbf8,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_013fe8c6caec422d98ba0cb7a65a3ed8,5406,PRQ2605406,32996.00,1,32996.00,legacy_actual_outflow_sc_6340e4697e824f24b7f1c755b7305fa1,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0141959f1e9249fc9316c0f514557298,5407,PRQ2605407,106962.41,1,106962.41,legacy_actual_outflow_sc_ad86a53fbbec45d4aa2d552db53387b1,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0141afb6d63c481496ea149483f69f33,5408,PRQ2605408,359425.00,1,359425.00,legacy_actual_outflow_sc_96634f3f1578425bad4d213a0508fa4b,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0141b0e2d5a243358f8ad18c950b0c83,5409,PRQ2605409,12600.00,1,12600.00,legacy_actual_outflow_sc_d0ec6cc59f5944b1b94e4073d4a1f4a7,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0146ed706005498d806f52f6ae775181,5410,PRQ2605410,30000.00,1,30000.00,legacy_actual_outflow_sc_58e5e7c1d11a4164b6aa436c10485d75,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_014dbf90dfe94b3b8266b4f6c0f104b9,5411,PRQ2605411,245800.00,1,245800.00,legacy_actual_outflow_sc_c3ac0678e69247a9a1898a5b52248437,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0152863c0b4345bc891a454b33513eb7,5412,PRQ2605412,3465.00,1,3465.00,legacy_actual_outflow_sc_7609bf6108d84adc80188ae8c099c9cd,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0155589eb5ca4bfe837fd03968e628b2,5413,PRQ2605413,21389.07,1,21389.07,legacy_actual_outflow_sc_0754002e74e34813929ebdf0814abf50,done,validated,historical_paid_by_downstream_business_fact
