id,legacy_project_id,name,lifecycle_state,phase_key,sc_execution_state,stage_id,owner_id,location,boq_line_count,contract_count,request_count,ledger_count,receipt_count,expense_count,invoice_count,loan_count,fund_count
559,bb463f5786a54cbeb158e5a7972e53af,"{""en_US"": ""拉萨市柳梧新区污水分流部分区域改造""}",in_progress,execution,in_progress,6,,,0,4,11,4,3,0,7,0,0
560,bb479eae09634eca926443b260524e78,"{""en_US"": ""重庆丰都龙城华府（三期）二组团10#、11#住宅屋顶分布式光伏项目""}",in_progress,execution,in_progress,6,,,0,2,3,1,1,0,2,0,0
561,bb522fee21af41b384c8fc7647fe63f3,"{""en_US"": ""合格土销售项目""}",in_progress,execution,in_progress,6,,,0,14,37,17,2,0,2,0,0
562,bb77cc54c910443da84b9a2c7d6f10f3,"{""en_US"": ""天元街道产业园区配套道路建设项目""}",in_progress,execution,in_progress,6,,,0,19,55,25,4,0,10,3,0
563,bbe61b7f1a754c2a9998c3cec3e80260,"{""en_US"": ""巴楚县中心敬老院消防改造提升建设项目""}",in_progress,execution,in_progress,6,,,0,3,45,17,6,4,6,0,0
564,bbea9e93630f48eea51296e418ad83b7,"{""en_US"": ""射洪县仁和中学校教学用房及相关附属设施建设项目""}",in_progress,execution,in_progress,6,,,0,2,13,5,2,6,1,1,0
565,bc8a3285e9af4dcda5895313440be16a,"{""en_US"": ""九寨沟县漳扎镇小学校等灾后重建项目部-九寨沟干部职工周转房""}",in_progress,execution,in_progress,6,,,0,14,100,44,7,0,14,5,0
567,bd0099f172af405e8eb98f712df92127,"{""en_US"": ""1851-20项目消防联调联试及通风系统安装工程""}",in_progress,execution,in_progress,6,,,0,1,9,2,2,0,6,0,0
569,bdaa2a6cd8fc429b89053c278f6ed3b6,"{""en_US"": ""53019工程、3644-3、4、3617工程（2022.01.17）""}",in_progress,execution,in_progress,6,,,0,1,1,0,0,0,0,0,0
570,bdcac58b05554a5c98e5d6afeb3f7f9f,"{""en_US"": ""旌阳区保密局办公室改造""}",in_progress,execution,in_progress,6,,,0,1,4,1,1,0,2,0,0
571,bde18269fcd04d00910a9b456d0a4813,"{""en_US"": ""南川区第三中学扩建工程""}",in_progress,execution,in_progress,6,,,0,48,282,119,19,4,69,0,0
572,be3f89e0cb294643bdbc6f62c5a242c2,"{""en_US"": ""2021年柳梧新区雨污水管网及防洪渠维保服务采购项目一标段""}",in_progress,execution,in_progress,6,,,0,2,13,4,2,0,4,0,0
573,bedcf08fe3a040b6a2123a148f45dd5c,"{""en_US"": ""川北幼儿师范高等专科学校三期工程-室外附属一批次工程""}",in_progress,execution,in_progress,6,,,0,2,3,1,1,4,2,0,0
574,beea539bc3a94a7d8d2c4852c1f08c25,"{""en_US"": ""黄许镇绵远河袁家大桥建设项目农房拆迁安置 基础设施配套项目一村道、排水沟、管网建设项目""}",in_progress,execution,in_progress,6,,,0,3,7,2,2,0,2,0,0
575,bfa15c3cc6544332a4573e54f79a5b98,"{""en_US"": ""越西县普雄镇消防站建设项目""}",in_progress,execution,in_progress,6,,,0,14,42,19,4,0,9,1,0
576,bfd2012972084181b83a6f7e885ada70,"{""en_US"": ""柳梧新区地下雨污水管网（部分路段）改造项目""}",in_progress,execution,in_progress,6,,,0,1,17,6,3,0,12,0,0
577,c0751730f07349fb9d2b573a765484eb,"{""en_US"": ""鸿图府项目第一期建筑安装工程""}",in_progress,execution,in_progress,6,,,0,147,1316,611,31,0,251,6,0
578,c0fec62dffee4c0cbcf8eaab7e4a5477,"{""en_US"": ""【广清城际轨道交通项目（花都段）安置区工程 （狮岭镇军田安置区一期工程）施工总承包】项目 【挡土墙】工程专业分包合同""}",in_progress,execution,in_progress,6,,,0,2,30,14,2,4,4,4,0
579,c14136ad1c52463bbde74fe5f3498398,"{""en_US"": ""瑜园小区配套基础设施及环境改造工程""}",in_progress,execution,in_progress,6,,,0,61,171,78,4,0,4,0,0
581,c1ffdc83503e4cce9d2801316060bed7,"{""en_US"": ""重庆轨道交通15号线一期土建工程03标绣湖路DN400给水管道迁改工程""}",in_progress,execution,in_progress,6,,,0,4,8,3,2,0,2,0,0
582,c217fd220f2e4caa882c878faab9ab1d,"{""en_US"": ""环壁南路至环湖北路（青白江河）DN800管安装工程""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
583,c2924b9b428d4542a346a60c82b82231,"{""en_US"": ""马尔康市卓克基水厂挡墙恢复工程""}",in_progress,execution,in_progress,6,,,0,1,3,1,1,0,2,0,0
584,c2a0156bc72d457da0145ca8241ea734,"{""en_US"": ""重庆市璧山区璧泉街道老旧小区改造项目（天门社区）""}",in_progress,execution,in_progress,6,,,0,10,22,7,1,0,6,0,0
585,c2ee2572f2e64330acc9922be5d292e6,"{""en_US"": ""刘兴宇项目""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
587,c42de1a899dd4c6cb44252bd70299691,"{""en_US"": ""旌阳区德新镇国家农业产业强镇建设二期稻谷产地初加工提升项目""}",in_progress,execution,in_progress,6,,,0,2,3,1,0,0,0,0,0
588,c46a561b9aa24ebfb3f0dd11e4b14280,"{""en_US"": ""中国移动四川分公司成都分公司2021-2025年管理用房及生产枢纽楼办公区域维修服务项目-通服""}",in_progress,execution,in_progress,6,,,0,11,30,10,6,0,8,0,0
589,c482406a0a254922800ed08a40707fc5,"{""en_US"": ""棉县高层安置小区消防系统维修项目（向阳小区）消防专业分包""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
591,c4fa49e392464a0b811c60e8a1e13eef,"{""en_US"": ""66号楼整修项目""}",in_progress,execution,in_progress,6,,,0,4,11,4,2,0,2,0,0
592,c4fd674a84cc4c2bbeae55d8207443ce,"{""en_US"": ""堆龙德庆区乃琼亲子公园建设项目""}",in_progress,execution,in_progress,6,,,0,13,33,14,4,0,4,0,0
