row_no,proposed_action,target_model,target_company_type,target_customer_rank,target_supplier_rank,target_tax_number_policy,legacy_partner_source,legacy_partner_id,legacy_partner_name,legacy_source_evidence,future_rollback_key,design_blocker
51,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,eb97fa979b904053a283c4c1b137c2e4,中华联合财产保险股份有限公司克孜勒苏柯尔克孜自治州分,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:eb97fa979b904053a283c4c1b137c2e4,
52,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,4612fc3b055c454cb6b33aade23b0af0,中华联合财产保险股份有限公司克孜勒苏柯尔克孜自治州分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:4612fc3b055c454cb6b33aade23b0af0,
53,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,4c7d2910a9fd454db476265490db646a,中国中铁股份有限公司重庆轨道交通15号线一期土建工程总承包部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:4c7d2910a9fd454db476265490db646a,
54,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,DA1CBDB43B4A4257A778A7ECE6BAFAEA,中国二重型机械集团德阳万航模锻有限责任公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:DA1CBDB43B4A4257A778A7ECE6BAFAEA,
55,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,b91fcafd897d421bb1678b817b60a2f8,中国人寿保险股份有限公司喀什分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:b91fcafd897d421bb1678b817b60a2f8,
57,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,8aa1fd1488aa44288c96f29a50b3242e,中国人寿财产保险股份有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:8aa1fd1488aa44288c96f29a50b3242e,
58,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,4adef577665e4956be95216f47a885c0,中国人寿财产保险股份有限公司喀什地区中心支公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:4adef577665e4956be95216f47a885c0,
60,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,8ddb1e53ed8a41e49110e09604099ae4,中国人寿财产保险股份有限公司德阳市中心支公司（供应商）,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:8ddb1e53ed8a41e49110e09604099ae4,
63,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,970ab18486a8479599787c16776216a3,中国人寿财产保险股份有限公司重庆市荣昌区支公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:970ab18486a8479599787c16776216a3,
65,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,18f8838dbc8246a98be7319a977d41b1,中国人民武装警察部队新疆维吾尔自治区总队机动第五支队保障处,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:18f8838dbc8246a98be7319a977d41b1,
