id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,other_system_id,other_system_code
2152,0db43c29f642442292d30f6b34c328a9,巫山县大昌镇树木修剪及路灯更换服务合同,draft,5,筹备中,109527,16982984963050000
2153,0dde523bf5414461b937c9d5d4c220cf,53019工程、3644-3、4、3617消防工程,draft,5,筹备中,109619,16982985660850001
2154,0e04e445c6304b5f9e3b79ffdde72eb1,绵阳金能集中办公室维修改造项目,draft,5,筹备中,109510,16982984938830000
2155,0e4c810fe22644c399650bca0528898a,2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目,draft,5,筹备中,109549,16982984990550001
2156,0f314b7eb259455f8ad3bb3419f66957,绵竹市星旺大桥与货运通道连接匝道工程项目,draft,5,筹备中,224475,17554790972650000
2157,0f3c19a871e446fc8cc9781f108d58e5,米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目,draft,5,筹备中,109718,16982985787420001
2158,0fe3fceb5f4b4c4fa5fae8527912fb93,旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）,draft,5,筹备中,109480,16982984901330000
2159,102a738d1fee481fb215df95de82490c,德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）,draft,5,筹备中,162252,17137750274650000
2160,106e8ac916084f398b89d0a564f2473f,德阳市罗江区公路建设养护所2025农村公路维修,draft,5,筹备中,238362,17649154939060000
2161,108141059f724a008d2250d7c01449c8,龙泉山路与旌湖路交会处东北角土地围挡项目,draft,5,筹备中,223771,17543642791370000
2162,11e56ccc546e4532a323597457133e8c,古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目,draft,5,筹备中,109804,16982986201630001
2163,125f0ae46d734ad68124ddadc3d5eb19,洛碛餐厨污水处理厂基础设施修复及零星工程项目,draft,5,筹备中,163477,17156811082780000
2164,12bab8c00273463cae235c1615796bb3,青龙工业园区雨污水管网应急修复项目,draft,5,筹备中,109623,16982985666170000
2165,12dc2d35442c43f481d6e3880f8a306e,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程,draft,5,筹备中,109727,16982985799760001
2166,1357e63a4149468ea5b484a53ec1efa4,开挖修复359机位消防主管道爆管项目,draft,5,筹备中,109403,16982984804300001
