counterparty_text,normalized_name,contract_rows,match_type,recommended_action,manual_confirm_required,auto_create_allowed,existing_partner_hint,company_candidate_count,supplier_candidate_count,source,source_id,source_name,source_short_name,source_code,source_address,source_contact,source_phone,confirm_result,confirmed_partner_action,confirmed_source,confirmed_source_id,review_note
德阳市人民医院,德阳市人民医院,4,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,833A62CA18E248829A724CD1FDEC42B7,德阳市人民医院,,,,,,,,,,
中国移动通信集团四川有限公司,中国移动通信集团四川,4,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,287c461b2f76478697038144e47b9279,中国移动通信集团四川有限公司,,,,,,,,,,
四川汉南供水有限公司,四川汉南供水,4,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,9a259d34ce444e3db6bbd3f3823bff51,四川汉南供水有限公司,,,,,,,,,,
四川省玻纤集团有限公司,四川省玻纤,4,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,C73B5808228B49DC9DE0BB66013C589B,四川省玻纤集团有限公司,,,,,,,,,,
重庆市渝北区双龙水库管理所,重庆市渝北区双龙水库管理所,4,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,5FD43D6B998C4E8B8C808903F38A9B19,重庆市渝北区双龙水库管理所,,,,,,,,,,
重庆帆盾环保设备有限公司,重庆帆盾环保设备,4,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,3c56a7c412714e0f9d1bc9c7c1c5ed5c,重庆帆盾环保设备有限公司,,,,,,,,,,
绵竹市金申建筑有限公司,绵竹市金申建筑,4,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,9A0BFF6765494602AFD9EC38891D664E,绵竹市金申建筑有限公司,,,,,,,,,,
中国华西企业股份有限公司,中国华西企业,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,C0D75F520DE543C690CE8D9E105447DA,中国华西企业股份有限公司,,,,,,,,,,
德阳华润燃气有限公司,德阳华润燃气,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,014189e76b1746c1ae4aec5a65033814,德阳华润燃气有限公司,,,,,,,,,,
德阳市旌合建设工程有限公司,德阳市旌合建设工程,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,db4536268b824d21b9e0059f97b17ffa,德阳市旌合建设工程有限公司,,,,,,,,,,
四川曜道杰建筑工程有限公司,四川曜道杰建筑工程,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,CCA6FED9457D4A5EB0A230172F25E145,四川曜道杰建筑工程有限公司,,,,,,,,,,
中国核工业中原建设有限公司,中国核工业中原建设,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,9D1DEAFCBB2D410185C657F95D399C19,中国核工业中原建设有限公司,,,,,,,,,,
四川省绵阳外国语学校,四川省绵阳外国语学校,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,065130C5E95F421294894C8C429705BA,四川省绵阳外国语学校,,,,,,,,,,
德阳市罗江区综合行政执法局,德阳市罗江区综合行政执法局,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,7b21ea9402ee45ea94f865812d500e52,德阳市罗江区综合行政执法局,,,,,,,,,,
中国建筑一局（集团）有限公司,中国建筑一局,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,269D7E9D1400424683B5F4E04C1B1A06,中国建筑一局（集团）有限公司,,,,,,,,,,
成都秦川物联网科技股份有限公司,成都秦川物联网科技,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,062420f967c846b9bdd446d11c1f717d,成都秦川物联网科技股份有限公司,,,,,,,,,,
