legacy_contract_id,legacy_project_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,partner_name,partner_legacy_source,partner_legacy_id,recovery_family
28d5343d4cc5475bb925d9a5af03628f,9ebba094a48443a39dd7e1421da8dfbb,德阳开放大学厨房送排风系统安装工程,out,DYS2023-112,WBHTGL-20230825-002,16929442298110000,2,0,德阳开发大学,德阳开放大学,cooperat_company,427cba4e01f34510b2390ab56d007e96,strong_evidence_promotion_gap_19
2e9bfcf0107a4c60bbe81d34ddc4c107,b7f07bc4b72c4cd29b5d1b445b499386,混凝土浇筑合同,out,DYS2023-175,WBHTGL-20231121-001,17005594212120000,2,0,德阳工院精工科技有限公司,四川工程职业技术学院,company_supplier,de40e9a7f8fc45d0b3191d1f9280c249,strong_evidence_promotion_gap_19
4a3e6eca2f7d41e889fad2a3a61a069a,b024fdce92fc4c7d9a196718ad0734a8,德阳站综合交通枢纽改造项目桥梁地下室主体结构工程,out,DYS2026-24,WBHTGL-20260213-001,17709453306420000,2,0,中建三局基础设施建设投资有限公司,中建三局集团有限公司,cooperat_company,9e78e723b0d246369e29f3f243345d5f,strong_evidence_promotion_gap_19
4b79bd768ce644c4a1957126bbe23d03,910ed968bceb422f9ce302e2799da9b8,西藏方向军事设施建设项目施工总承包合同90项目工程工序劳务作业,out,XZ2024-18,WBHTGL-20240123-012,17060027403880000,2,0,中铁十九局集团第五工程有限公司1951项目经理部,中铁十九局集团第五工程有限公司,cooperat_company,4799E1C864514190BAC0FC885FA0E991,strong_evidence_promotion_gap_19
57e5161c923143ba9821dda76da2f744,9f9532c518f646cc8f518111de5c4505,喀什某单位锅炉房锅炉扩容改造项目,out,XJ2025-222,WBHTGL-20251205-003,17649189354370000,2,0,喀什某单位,武警新疆总队机动第五支队,cooperat_company,196126a7bf2b4caba6dd0be44e78001a,strong_evidence_promotion_gap_19
a049d8dc69e54f65a3cd5f7b277e1369,7a9e747d055946fe91da93e794819a4e,阿坝-成都东线路工程14标,out,MYS2026-16,WBHTGL-20260127-002,17694780096420000,2,0,绵阳市安州区桑枣镇干柏村村民委员会,河北省送变电有限公司,cooperat_company,33687b850d6445219ae57488c140c815,strong_evidence_promotion_gap_19
a07b47241cc643fd8cc5ca9df0532c53,088193c97f1443b58f1489b321c1288a,浪卡子县白地乡龙桑村水塘工程,out,XZ2024-256,WBHTGL-20241216-001,17343300186640000,2,0,浪卡子县人民政府,西藏浪卡子县农业农村局零余额账户,cooperat_company,953930b5888c4b9d9eb17da1979a6146,strong_evidence_promotion_gap_19
ae8a483819584297a38268ccd6629ae6,bb77cc54c910443da84b9a2c7d6f10f3,天元街道产业园区配套道路建设项目,out,DYS2021-60,WBHTGL-20210720-001,1000000477,2,,旌阳区天元街道楠树村股份经济联合社,旌阳区天元街道楠树村股份经济合作联合社,cooperat_company,A62A0C75189F4F38BC81407AFCDDA065,strong_evidence_promotion_gap_19
bc45eefc891648839f481c9e125691cf,63151c4e794243ec8a52e85d9c0eb410,中国移动四川公司成都分公司2023-2025年渠道维修采购项目,out,CDS2023-143,WBHTGL-20231219-031,17029519138150000,2,0,中移动通信集团四川有限公司成都分公司,中国移动通信集团四川有限公司成都分公司,cooperat_company,BC479EED8D8B4B3485D9309AE05265AF,strong_evidence_promotion_gap_19
c1a0c575b6de4a3caa783df6713bb2b7,211003ff687e41d2a4bc46c78036f640,中国电信泸州分公司2024-2026年房屋装修、维修服务项目,out,LZS2024-49,WBHTGL-20240311-001,17101258591630000,2,0,中国电信股份/集团有限公司泸州分公司,中国电信股份有限公司泸州分公司,cooperat_company,4d1dc8c755b34fdfb7eb9c8fcf0e181f,strong_evidence_promotion_gap_19
d209acaaf4f7405b849c007287ab50b3,c1ffdc83503e4cce9d2801316060bed7,重庆轨道交通15号线一期土建工程03标绣湖路DN400给水管道迁改工程,out,CQS2023-163,WBHTGL-20231113-001,16998373650320000,2,0,中铁隧道局集团有限公司重庆轨道交通15号线一期土建工程03标项目经理部,中铁隧道局集团有限公司,cooperat_company,dbd1b7db6521452a86e7dff4b9fd31e6,strong_evidence_promotion_gap_19
e1319f0165e54ee0ab937496693c4870,cf1710ce2cc140c2b0710924a59a216b,喀什地区英吉沙县 2022 年停车场建设项目,out,XJ2023-153,WBHTGL-20231024-002,16981376497690000,2,0,英吉沙县代建中心,英吉沙县财政局,cooperat_company,d5fe6cbb4c824b29861586b2f439fa7e,strong_evidence_promotion_gap_19
ec796ee5e80c4c518452f72d7e0e1058,4ecb23acaad749acb971656d3f92322b,仙足岛阜康医院前人行道改造项目,out,XZ2025-94,WBHTGL-20250627-001,17510123332790000,2,0,两岛街道仙足岛社区,西藏拉萨市城关区两岛街道办事处,cooperat_company,9423f1bf60cd49a4b78298d9db2e97e8,strong_evidence_promotion_gap_19
