id,legacy_contract_id,name,type,state,target_state,project_id,partner_id,company_id,amount_total,request_count,line_count,audit_count,approved_audit_count
5240,b5f260d2d99d4e7ebdfe7f2339caba0e,CONOUT2603760,in,running,running,432,6201,1,339000.0,0,1,2,2
5241,b5fd4cde21594ffe97a61538f49d34e6,CONOUT2603761,in,running,running,546,1699,1,596075.0,0,1,2,2
5242,b61c1d39c79e4a79a2749eea021888d2,CONOUT2603762,in,confirmed,confirmed,320,5291,1,2288250.0,0,0,3,3
5243,b61fa30fe666439385d89ad823b2e2a7,CONOUT2603763,in,running,running,335,4902,1,83297.95,0,1,2,2
5244,b62152ac4099425085f177e3a75874b1,CONOUT2603764,in,running,running,41,5116,1,32111.21,0,1,2,2
5245,b62f9a3181af4fca95d67c0dee4d3081,CONOUT2603765,in,running,running,103,4398,1,49381.0,0,1,2,2
5246,b63359baf7c04ca78f9086143be84377,CONOUT2603766,in,confirmed,confirmed,98,2247,1,3616.0,0,0,2,2
5247,b633716e41fe4ba2bd486f881325a417,CONOUT2603767,in,running,running,7,4798,1,158200.0,0,2,3,3
5248,b6367d7efe444369b22fbebf94dffbc2,CONOUT2603768,in,running,running,628,3821,1,58667.34,0,1,2,2
5250,b649f1bfc518400c9575925f100e2910,CONOUT2603770,in,running,running,35,4675,1,90761.6,0,1,3,3
5251,b64c9573f0094a9195300a7fc3ffda54,CONOUT2603771,in,running,running,80,2871,1,169500.0,0,1,3,3
5252,b6612cff945548f89cb44b8fd389e0f6,CONOUT2603772,in,confirmed,confirmed,422,4675,1,0.0,0,0,2,2
5253,b66c97836eb242fbac9369e7324f684c,CONOUT2603773,in,running,running,650,3389,1,76388.0,0,1,3,3
5254,b679d3a54b164ab3b0d7fba577dd40b7,CONOUT2603774,in,confirmed,confirmed,129,957,1,22600.0,0,0,2,2
5255,b68164b2a75849d69a68de96224727b4,CONOUT2603775,in,running,running,134,1856,1,8136.0,0,1,2,2
