coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,target_material_catalog_id,target_catalog_name,target_spec_model,target_uom_text,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count,has_promoted_product
catalog_ready_by_legacy_id,dd65864df5604e0986f98545ad195d4d,螺纹钢HRB400E,25,吨,4,4,57.1120,201913.68,6840735,螺纹钢HRB400E,25,吨,6840735,1,6840735,1,no
catalog_ready_by_legacy_id,9666e677bd6b478a9334669deb47587c,CGP强粘高分子防水涂料,,kg,2,2,8367.0000,200808.00,6840736,CGP强粘高分子防水涂料,,kg,6840736,1,6840736,1,no
catalog_ready_by_legacy_id,770d50b61cf34ab99d15b36c359bc823,胶合板,1830*915*13,批,1,1,4182.5000,200760.00,6840737,胶合板,1830*915*13,批,6840737,1,6840737,1,no
catalog_ready_by_legacy_id,59fc15cf7b5443b29319f55295629d99,仿花岗岩芝麻灰PC砖,300*300*50,㎡,1,1,2564.1026,200000.00,6840738,仿花岗岩芝麻灰PC砖,300*300*50,㎡,6840738,1,6840738,1,no
catalog_candidate_name_spec,1d9f01a0113148aeb185eadd300de04e,花岗石,,M3,2,2,80.0000,200000.00,,,,,,0,1497123,1,no
catalog_ready_by_legacy_id,fbf950835adf47e983ed505547145938,螺纹钢HRB400E,20,吨,4,4,55.0480,199967.11,6840739,螺纹钢HRB400E,20,吨,6840739,1,6840739,1,no
catalog_ready_by_legacy_id,20fb4003eeb644e69656a5324301a1a6,陶瓷承重砖,300*600*20,m3,2,1,3000.0000,198000.00,6840740,陶瓷承重砖,300*600*20,m3,6840740,1,6840740,1,no
catalog_ready_by_legacy_id,ee235e87ffc14e668267426257412e70,水泥基渗透结晶型防水涂料,25kg,kg,1,1,11400.0000,193800.00,6840741,水泥基渗透结晶型防水涂料,25kg,kg,6840741,1,6840741,1,no
catalog_ready_by_legacy_id,01b4377510734bc989b7530ac4f9345f,矿渣硅酸盐水泥,32.5号袋装,t,4,3,503.2606,189623.38,6840742,矿渣硅酸盐水泥,32.5号袋装,t,6840742,1,6840742,1,no
catalog_ready_by_legacy_id,9d675faf37dc4a8291d267712ca790b6,HDPE缠绕结构壁B型管,DN600,m,1,1,243.4100,188602.64,6840743,HDPE缠绕结构壁B型管,DN600,m,6840743,1,6840743,1,no
catalog_ready_by_legacy_id,71aedd4b9d3144d9bac7dbbf282771a8,HDPE钢带增强聚乙烯螺旋波纹管,DN1000SN≥10,m,1,1,366.0000,187392.00,6840744,HDPE钢带增强聚乙烯螺旋波纹管,DN1000SN≥10,m,6840744,1,6840744,1,no
catalog_candidate_name_spec,440d53bc5e9d4a2a94071a0ccad5de0a,连砂石,,m2,1,1,1700.0000,187000.00,,,,,,0,1977939,3,no
catalog_ready_by_legacy_id,52ca5d74142045ca8a4259b5d3e2b6e9,商品混凝土,C35,立方米,2,2,425.0000,187000.00,6840745,商品混凝土,C35,立方米,6840745,1,6840745,1,no
catalog_ready_by_legacy_id,6e6b088e97e94b57acf5091e4e4bdbde,混凝土,C15细石,立方米,2,2,498.0000,186841.32,6840746,混凝土,C15细石,立方米,6840746,1,6840746,1,no
catalog_candidate_exact_text,1c622a75f3da49b6a04e438838b5b3b9,页岩砖,,匹,2,2,432900.0000,181958.00,,,,,1742023,1,1494670,126,no
catalog_ready_by_legacy_id,826312f1c5964a8dae8c2742b022a721,芝麻灰花岗石路沿石,15x30x50,米,2,2,1705.9400,175224.70,6840747,芝麻灰花岗石路沿石,15x30x50,米,6840747,1,6840747,1,no
catalog_ready_by_legacy_id,1ffa67b8816144e0840d62d7d832841a,仿花岗岩芝麻白pc嵌边石,500*100*100,立方,1,1,125.0000,175000.00,6840748,仿花岗岩芝麻白pc嵌边石,500*100*100,立方,6840748,1,6840748,1,no
catalog_ready_by_legacy_id,0ad4f18f3c3e42409212ca48a55b9b8d,蒸压加气混凝土砌块,600*200*200,立方米,1,1,791.6200,174789.70,6840749,蒸压加气混凝土砌块,600*200*200,立方米,6840749,1,6840749,1,no
catalog_ready_by_legacy_id,be2d0e7849314ec6b4846da03299a18a,细石商品砼,C20,m3,4,4,422.0000,173020.00,6840750,细石商品砼,C20,m3,6840750,1,6840750,1,no
catalog_ready_by_legacy_id,06e5b6763a17430f81a633fc21b4cb79,JS-II 型聚合物水泥防水涂料,1.5mm,kg,1,1,15555.0000,171105.00,6840751,JS-II 型聚合物水泥防水涂料,1.5mm,kg,6840751,1,6840751,1,no
catalog_ready_by_legacy_id,1f07b44f009c41048b333a65e5b185dc,镀锌矩管,60*120,t,1,1,33.5330,169676.98,6840752,镀锌矩管,60*120,t,6840752,1,6840752,1,no
catalog_ready_by_legacy_id,b73f7cbe640e42a18a132f028b9ece1a,花岗石浮雕,,立方,2,2,70.9998,168386.20,6840753,花岗石浮雕,,立方,6840753,1,6840753,1,no
catalog_ready_by_legacy_id,6de42a529cbe4952b89bf848bf7468b2,热轧带肋钢筋,25定尺9米,t,2,1,40.3690,168304.29,6840754,热轧带肋钢筋,25定尺9米,t,6840754,1,6840754,1,no
catalog_ready_by_legacy_id,d38371002a9e4be4b8c913959037196a,HDPE缠绕结构壁B型管,DN500,m,1,1,273.7100,167988.75,6840755,HDPE缠绕结构壁B型管,DN500,m,6840755,1,6840755,1,no
catalog_ready_by_legacy_id,9510291e770d494eb93501a70fd051d2,水泥,32.5袋装,吨,5,5,494.5000,167680.00,6840756,水泥,32.5袋装,吨,6840756,1,6840756,1,no
catalog_ready_by_legacy_id,18478a44a5434714a777c840ecee0d38,商品混泥土,C35,立方米,1,1,380.0000,167200.00,6840757,商品混泥土,C35,立方米,6840757,1,6840757,1,no
catalog_ready_by_legacy_id,7dd97ce4ed104a91a80b2953332fb6b3,砂石,碎石,吨,1,1,2350.0000,164500.00,6840758,砂石,碎石,吨,6840758,1,6840758,1,no
catalog_ready_by_legacy_id,724258d6130545dd95f38d41c9760a98,商品混凝土,C25P6,立方米,1,1,396.0000,164340.00,6840759,商品混凝土,C25P6,立方米,6840759,1,6840759,1,no
catalog_ready_by_legacy_id,b31ebce1facd4126aab2db0efc88ae40,护栏,,米,1,1,1160.0000,163560.00,6840760,护栏,,米,6840760,1,6840760,1,no
catalog_candidate_exact_text,b02972abc30240f68b6520d45af266fd,商品混凝土,C25,m3,1,1,466.4080,163415.93,,,,,6840692,1,6840665,2,no
catalog_ready_by_legacy_id,3365db161f494f10a45ab721589a8cd4,公交站台,7800mm*2920mm*1500mm,座,1,1,2.0000,163000.00,6840761,公交站台,7800mm*2920mm*1500mm,座,6840761,1,6840761,1,no
catalog_ready_by_legacy_id,b6f6d85993b840ecbfa0df62aee0d27a,聚苯板,厚40mm,㎡,2,2,4857.2000,162716.20,6840762,聚苯板,厚40mm,㎡,6840762,1,6840762,1,no
catalog_ready_by_legacy_id,7eef5a08234f4abab542667d4b450c0c,高分子膜基防水卷材(H类),1.5mm,㎡,1,1,3060.0000,159120.00,6840763,高分子膜基防水卷材(H类),1.5mm,㎡,6840763,1,6840763,1,no
catalog_ready_by_legacy_id,1ef7f79676d7468d8cabde7e8c43a2d8,螺纹钢HRB400E,Φ14E,吨,2,2,42.0240,158850.72,6840764,螺纹钢HRB400E,Φ14E,吨,6840764,1,6840764,1,no
catalog_ready_by_legacy_id,0227c841ef3a4b2d96a66ed02300d2ab,楼梯栏杆,成品,㎡,1,1,1171.3714,158100.00,6840765,楼梯栏杆,成品,㎡,6840765,1,6840765,1,no
catalog_ready_by_legacy_id,89e5e9ca61c048deab85ca6c221786ca,有机肥,40kg/袋,吨,1,1,181.0000,155660.00,6840766,有机肥,40kg/袋,吨,6840766,1,6840766,1,no
catalog_ready_by_legacy_id,173f7f6f63b4469a9201ae9c887d8c7e,细粒式改性沥青混凝土,AC-10,m3,1,1,140.0000,154678.47,6840767,细粒式改性沥青混凝土,AC-10,m3,6840767,1,6840767,1,no
catalog_ready_by_legacy_id,bd6417965b37455f8c47d899e72b3cc8,elastopave C,6551/202 C-A,KG,1,1,3200.0000,153600.00,6840768,elastopave C,6551/202 C-A,KG,6840768,1,6840768,1,no
