external_id,request_ref,sequence,legacy_invoice_line_id,legacy_receipt_id,legacy_invoice_id,legacy_invoice_child_id,legacy_pid,legacy_file_bill_id,invoice_no,invoice_party_name,invoice_issue_company,source_document_no,source_table_name,amount_source,invoice_amount,current_receipt_amount,invoiced_before_amount,note,idempotency_key,replay_action
legacy_receipt_invoice_line_sc_a07becfaf3a44d21bde5ec26f6cd5b3c,legacy_receipt_sc_79cdf11eca164aa4a923602aa2a5867c,28300,a07becfaf3a44d21bde5ec26f6cd5b3c,79cdf11eca164aa4a923602aa2a5867c,,1a13d3bce9664d27992e70c6e867f9f4,17679292982300000,,26512000000049926541,武警新疆总队机动第五支队,,,C_JFHKLR_CB,KPJE,449809.16,449809.16,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a07becfaf3a44d21bde5ec26f6cd5b3c; legacy_receipt_id=79cdf11eca164aa4a923602aa2a5867c; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a07becfaf3a44d21bde5ec26f6cd5b3c,create_if_missing
legacy_receipt_invoice_line_sc_a09715de99934cac9c9789f4f7c67cdd,legacy_receipt_sc_8275a1d532c042238d13f94272617480,28310,a09715de99934cac9c9789f4f7c67cdd,8275a1d532c042238d13f94272617480,,189d572b65e54d4a8301502f0e4be312,17072986501030002,,26135015,中国建筑一局（集团）有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,200000.00,200000.00,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a09715de99934cac9c9789f4f7c67cdd; legacy_receipt_id=8275a1d532c042238d13f94272617480; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a09715de99934cac9c9789f4f7c67cdd,create_if_missing
legacy_receipt_invoice_line_sc_a0a20d150dbf4d8aaafcf079cb1e49a4,legacy_receipt_sc_a2f4a57aa24941e09d40b80948685d08,28320,a0a20d150dbf4d8aaafcf079cb1e49a4,a2f4a57aa24941e09d40b80948685d08,8ab1171862004136b7992760bd3ddae9,ae890e3b0423415e8b7fc664a68733f8,486,,09065728,德阳国信建设工程有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1000000.00,500000.00,500000.00,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0a20d150dbf4d8aaafcf079cb1e49a4; legacy_receipt_id=a2f4a57aa24941e09d40b80948685d08; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0a20d150dbf4d8aaafcf079cb1e49a4,create_if_missing
legacy_receipt_invoice_line_sc_a0a7c82ebbfc479787debc3c8a557acf,legacy_receipt_sc_b3d2fe71c9934357bcf58c4523ee8e76,28330,a0a7c82ebbfc479787debc3c8a557acf,b3d2fe71c9934357bcf58c4523ee8e76,32cdcdfb8d6d450393342e3af758ae67,61c5ac8f944042518e629034e05b1d37,17056551736250000,,22512000000002215192,四川工程职业技术学院,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,47930.00,47930.00,47930.00,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0a7c82ebbfc479787debc3c8a557acf; legacy_receipt_id=b3d2fe71c9934357bcf58c4523ee8e76; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0a7c82ebbfc479787debc3c8a557acf,create_if_missing
legacy_receipt_invoice_line_sc_a0b7bcdfe2da42d5b3e0feda5cca092a,legacy_receipt_sc_84dc67b5bcf545dd9518abed7711f213,28340,a0b7bcdfe2da42d5b3e0feda5cca092a,84dc67b5bcf545dd9518abed7711f213,,a75fc2af3e124bf6a36de8b9eadfe482,17070358277500000,,24512000000011354802,四川中彩源建设工程有限公司,,,C_JFHKLR_CB,KPJE,88454.66,88454.66,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0b7bcdfe2da42d5b3e0feda5cca092a; legacy_receipt_id=84dc67b5bcf545dd9518abed7711f213; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0b7bcdfe2da42d5b3e0feda5cca092a,create_if_missing
legacy_receipt_invoice_line_sc_a0e7f5fa9aac482cb172e3684ad796cf,legacy_receipt_sc_02601cdd2ca948149e871d19e47c0429,28350,a0e7f5fa9aac482cb172e3684ad796cf,02601cdd2ca948149e871d19e47c0429,,58b85e063ae04cb59fe66436ec3888d4,16980579347220000,,02341509,中江县御河中学校,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1903698.00,271072.00,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0e7f5fa9aac482cb172e3684ad796cf; legacy_receipt_id=02601cdd2ca948149e871d19e47c0429; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0e7f5fa9aac482cb172e3684ad796cf,create_if_missing
legacy_receipt_invoice_line_sc_a0e8ee9ba5f047eaab3c69b02eaaa13a,legacy_receipt_sc_95e5c70ace17499ca1cd0cfcd57099b6,28360,a0e8ee9ba5f047eaab3c69b02eaaa13a,95e5c70ace17499ca1cd0cfcd57099b6,,943e89e1b5d24dbcb3239a4ce1a446a8,17205999978320000,,24512000000113341232,德阳市旌阳区八角社区卫生服务中心,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,25440.90,25440.90,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0e8ee9ba5f047eaab3c69b02eaaa13a; legacy_receipt_id=95e5c70ace17499ca1cd0cfcd57099b6; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0e8ee9ba5f047eaab3c69b02eaaa13a,create_if_missing
legacy_receipt_invoice_line_sc_a0ef34ee01ab4256a62a4f21d4b9645b,legacy_receipt_sc_1cfe7e8789f84994a027eb47c7335b11,28370,a0ef34ee01ab4256a62a4f21d4b9645b,1cfe7e8789f84994a027eb47c7335b11,,4e1016ba8cc74bc68af25218b5aab826,17171261247160000,,24512000000090021271,德阳经开建设工程有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,136000.00,136000.00,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0ef34ee01ab4256a62a4f21d4b9645b; legacy_receipt_id=1cfe7e8789f84994a027eb47c7335b11; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0ef34ee01ab4256a62a4f21d4b9645b,create_if_missing
legacy_receipt_invoice_line_sc_a0f337dffa3f4a2cb267471566bef0d0,legacy_receipt_sc_9164341420f74cbcb278c3936fbcb58d,28380,a0f337dffa3f4a2cb267471566bef0d0,9164341420f74cbcb278c3936fbcb58d,,a46bc35d4bdf426cb008bc5870e3ad35,17345093407570000,,23512000000004333122,重庆市南岸区人民政府花园路街道办事处,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1376860.60,117000.00,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0f337dffa3f4a2cb267471566bef0d0; legacy_receipt_id=9164341420f74cbcb278c3936fbcb58d; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0f337dffa3f4a2cb267471566bef0d0,create_if_missing
legacy_receipt_invoice_line_sc_a0fc314594924e02a1797ec71d1509c9,legacy_receipt_sc_85327dc37f8049f88fc20e0f2f685c12,28390,a0fc314594924e02a1797ec71d1509c9,85327dc37f8049f88fc20e0f2f685c12,,b5338c6e08d842cf976cf5bf4304f810,17294939673390000,,23512000000096035283,四川纹江致远建筑开发工程有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,153426.02,153426.02,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0fc314594924e02a1797ec71d1509c9; legacy_receipt_id=85327dc37f8049f88fc20e0f2f685c12; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0fc314594924e02a1797ec71d1509c9,create_if_missing
