schema,table,rows,role_like_columns,columns
dbo,wx_tr_RoleToUser_History,0,roleId,"Id, userId, roleId, GSID, BZ, SCRID, SCR, SCSJ"
dbo,XM_LWFB_LWFD_LWRYGZBS,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GZYF, LWFZR, DWMC, BZ, DWMCID, f_BZHTBH, Pid, DEL"
dbo,XM_LWFB_LWFD_LWRYGZBS_CB,0,"GWGZ, GWJT, GWZJ","Id, ZBID, XM, BM, GWZJ, GDGZBF, DKDJ, FDGZBF, KK, YFGZ, SFGZ, GZKZH, FKFS, SFJQ, LJYFGZ, QZ, BZ, JBGZ, GWGZ, JXGZJS, SB, GJJ, GS, YFJX, BSJ, GWJT, SLGZ, BZHU, JJ, Pid"
dbo,XM_QTFY_FYD_GLRYGZBS,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GZYF, ZBR, BZ, Pid, DEL"
dbo,XM_QTFY_FYD_GLRYGZBS_CB,0,"GWGZ, GWJT, GWZJ","Id, ZBID, XM, BM, GWZJ, GDGZBF, DJKK, FDGZBF, KK, YFGZ, SFGZ, GZKH, FKFS, SFJS, LJYFGZ, QZ, BZ, 系统编码, 系统名称, 系统层级, JBGZ, GWGZ, JXGZJS, SB, GJJ, GS, YFJX, BSJ, GWJT, SLGZ, BUZHU, JJ, Pid"
dbo,XMGL_LWFB_LWYG_RYCJ,0,,"Id, SJBMC, DJBH, DJRQ, XMID, XMMC, DJZT, GLYWID, RYID, RYMC, ZJLXID, ZJLX, ZJHM, LWGSID, LWGS, BZID, BZMC, FJ, LRRID, LRR, LRSJ, XGRID, XGR, XGSJ, Pid"
dbo,ZTB_TBGL_XMSZFA_XMGLRYBS,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, SQR, SQRQ, BZ, SysCode, SysName, SysLev, Pid, DEL"
dbo,ZTB_TBGL_XMSZFA_XMGLRYBS_CBE,0,XRGW,"Id, ZBID, XM, GH, XRGW, ZGJZG, SXRQ, BZ, Pid"
dbo,ZTB_TBGL_XMSZFA_XMGLRYBS_CBY,0,XRGW,"Id, ZBID, XM, GH, XRGW, ZGJZG, SXRQ, BZ, Pid"
dbo,ZTB_TBGL_XMSZFA_XMRYPB,0,GWMC,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GWMC, ZGJZG, SXZT, XM, GH, KSRQ, JSRQ, SysCode, SysName, SysLev, Pid, DEL"
